signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-01-20T12:15:00+07:00,2026-01-20T12:25:00+07:00,SELL,4699.2,4701.75,4656.1,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=2.11 fat-tail regime; structural sweep reclaimed
2026-01-21T08:55:00+07:00,2026-01-21T09:05:00+07:00,SELL,4838.64,4844.91,4732.67,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=2.06 fat-tail regime; structural sweep reclaimed
2026-01-22T00:35:00+07:00,2026-01-22T00:45:00+07:00,BUY,4811.78,4801.75,4981.29,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=3.92 fat-tail regime; structural sweep reclaimed
2026-01-22T02:45:00+07:00,2026-01-22T02:50:00+07:00,BUY,4770.37,4761.3,4923.66,SL,-9.27,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=3.52 fat-tail regime; structural sweep reclaimed
2026-01-23T12:50:00+07:00,2026-01-23T15:20:00+07:00,SELL,4965.31,4967.4,4929.98,TP,35.13,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=4.18 fat-tail regime; structural sweep reclaimed
2026-01-23T16:30:00+07:00,2026-01-26T08:10:00+07:00,BUY,4907.92,4899.15,5056.14,TP,148.02,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=4.87 fat-tail regime; structural sweep reclaimed
2026-01-26T08:35:00+07:00,2026-01-26T08:45:00+07:00,SELL,5078.66,5086.17,4951.74,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=10.90 fat-tail regime; structural sweep reclaimed
2026-01-27T14:10:00+07:00,2026-01-27T14:20:00+07:00,SELL,5089.34,5095.1,4991.99,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=4.41 fat-tail regime; structural sweep reclaimed
2026-01-28T20:05:00+07:00,2026-01-28T20:30:00+07:00,SELL,5284.59,5290.0,5193.16,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=5.19 fat-tail regime; structural sweep reclaimed
2026-02-09T21:45:00+07:00,2026-02-09T21:55:00+07:00,SELL,5035.77,5040.62,4953.8,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=2.13 fat-tail regime; structural sweep reclaimed
2026-02-10T09:25:00+07:00,2026-02-10T09:45:00+07:00,SELL,5051.59,5057.1,4958.47,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=4.54 fat-tail regime; structural sweep reclaimed
2026-02-17T07:30:00+07:00,2026-02-17T07:40:00+07:00,BUY,4975.32,4970.66,5054.08,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=5.01 fat-tail regime; structural sweep reclaimed
2026-02-26T03:50:00+07:00,2026-02-26T03:55:00+07:00,BUY,5176.32,5166.44,5343.3,SL,-10.08,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=2.52 fat-tail regime; structural sweep reclaimed
2026-02-26T08:05:00+07:00,2026-02-26T08:15:00+07:00,SELL,5188.96,5199.13,5017.08,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=7.24 fat-tail regime; structural sweep reclaimed
2026-03-03T12:40:00+07:00,2026-03-03T12:45:00+07:00,BUY,5340.51,5334.03,5450.03,SL,-6.68,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=4.54 fat-tail regime; structural sweep reclaimed
2026-03-05T08:10:00+07:00,2026-03-05T09:05:00+07:00,SELL,5181.32,5186.9,5087.01,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=2.59 fat-tail regime; structural sweep reclaimed
2026-03-05T22:10:00+07:00,2026-03-05T23:10:00+07:00,BUY,5076.04,5059.31,5358.78,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=4.82 fat-tail regime; structural sweep reclaimed
2026-03-13T23:05:00+07:00,2026-03-14T02:40:00+07:00,BUY,5028.14,5018.02,5199.17,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=3.04 fat-tail regime; structural sweep reclaimed
2026-04-01T12:20:00+07:00,2026-04-01T15:35:00+07:00,BUY,4670.82,4666.68,4740.79,TP,69.77,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=2.83 fat-tail regime; structural sweep reclaimed
2026-04-02T22:25:00+07:00,2026-04-02T22:35:00+07:00,SELL,4668.02,4677.31,4511.01,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=3.63 fat-tail regime; structural sweep reclaimed
2026-04-06T16:05:00+07:00,2026-04-06T16:25:00+07:00,SELL,4688.02,4695.17,4567.18,SL,-7.35,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=4.37 fat-tail regime; structural sweep reclaimed
2026-04-07T22:10:00+07:00,2026-04-08T07:20:00+07:00,BUY,4618.93,4606.68,4825.96,TP,206.83,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=2.40 fat-tail regime; structural sweep reclaimed
2026-04-21T22:50:00+07:00,2026-04-21T23:05:00+07:00,BUY,4731.51,4722.99,4875.5,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=2.79 fat-tail regime; structural sweep reclaimed
2026-04-27T11:45:00+07:00,2026-04-27T11:55:00+07:00,SELL,4725.98,4729.8,4661.42,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=16.07 fat-tail regime; structural sweep reclaimed
2026-04-28T09:35:00+07:00,2026-04-28T09:45:00+07:00,BUY,4687.33,4683.77,4747.5,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=3.82 fat-tail regime; structural sweep reclaimed
2026-04-28T14:25:00+07:00,2026-04-28T14:45:00+07:00,BUY,4628.19,4622.99,4716.07,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=4.23 fat-tail regime; structural sweep reclaimed
2026-04-29T14:00:00+07:00,2026-04-29T14:10:00+07:00,BUY,4594.56,4590.09,4670.11,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=7.54 fat-tail regime; structural sweep reclaimed
2026-05-04T22:25:00+07:00,2026-05-04T22:40:00+07:00,SELL,4574.15,4582.74,4428.97,SL,-8.79,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=2.02 fat-tail regime; structural sweep reclaimed
2026-05-06T09:50:00+07:00,2026-05-06T10:00:00+07:00,SELL,4626.31,4629.18,4577.8,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=3.33 fat-tail regime; structural sweep reclaimed
2026-05-06T12:30:00+07:00,2026-05-06T12:45:00+07:00,SELL,4650.93,4653.92,4600.39,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=2.03 fat-tail regime; structural sweep reclaimed
2026-05-06T18:45:00+07:00,2026-05-06T18:50:00+07:00,SELL,4711.6,4716.66,4626.08,SL,-5.26,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=3.55 fat-tail regime; structural sweep reclaimed
2026-05-07T09:20:00+07:00,2026-05-07T09:40:00+07:00,SELL,4710.99,4717.04,4608.74,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=3.44 fat-tail regime; structural sweep reclaimed
2026-05-08T20:55:00+07:00,2026-05-08T21:15:00+07:00,SELL,4726.33,4732.58,4620.7,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=2.54 fat-tail regime; structural sweep reclaimed
2026-05-11T21:25:00+07:00,2026-05-11T21:30:00+07:00,SELL,4730.8,4736.26,4638.52,SL,-5.66,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=6.82 fat-tail regime; structural sweep reclaimed
2026-05-11T21:45:00+07:00,2026-05-12T06:00:00+07:00,SELL,4742.45,4749.22,4628.03,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=6.19 fat-tail regime; structural sweep reclaimed
2026-05-12T09:40:00+07:00,2026-05-12T10:25:00+07:00,BUY,4724.96,4719.72,4813.52,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=2.30 fat-tail regime; structural sweep reclaimed
2026-05-15T08:45:00+07:00,2026-05-15T09:00:00+07:00,BUY,4623.12,4613.04,4793.48,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=5.16 fat-tail regime; structural sweep reclaimed
2026-05-18T08:45:00+07:00,2026-05-19T21:30:00+07:00,BUY,4488.43,4479.58,4638.0,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=10.16 fat-tail regime; structural sweep reclaimed
2026-05-21T18:40:00+07:00,2026-05-21T18:55:00+07:00,BUY,4511.58,4504.47,4631.74,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=5.92 fat-tail regime; structural sweep reclaimed
2026-05-21T21:00:00+07:00,2026-05-21T21:10:00+07:00,BUY,4505.83,4499.02,4620.92,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=4.18 fat-tail regime; structural sweep reclaimed
2026-05-27T10:20:00+07:00,2026-05-27T10:40:00+07:00,BUY,4502.12,4498.83,4557.73,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=4.29 fat-tail regime; structural sweep reclaimed
2026-05-27T13:45:00+07:00,2026-05-27T14:05:00+07:00,BUY,4495.15,4491.39,4558.7,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=2.08 fat-tail regime; structural sweep reclaimed
2026-05-27T19:35:00+07:00,2026-05-27T19:55:00+07:00,BUY,4438.35,4431.72,4550.4,SL,-6.83,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=3.44 fat-tail regime; structural sweep reclaimed
2026-05-27T20:00:00+07:00,2026-05-27T21:00:00+07:00,BUY,4433.02,4424.36,4579.38,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=3.49 fat-tail regime; structural sweep reclaimed
2026-05-27T21:20:00+07:00,2026-05-27T21:25:00+07:00,BUY,4411.49,4404.88,4523.2,SL,-6.81,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=4.32 fat-tail regime; structural sweep reclaimed
2026-05-27T21:30:00+07:00,2026-05-28T09:50:00+07:00,BUY,4414.44,4400.52,4649.69,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=3.94 fat-tail regime; structural sweep reclaimed
2026-05-28T10:05:00+07:00,2026-05-28T10:10:00+07:00,BUY,4405.72,4402.33,4463.02,SL,-3.59,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=2.61 fat-tail regime; structural sweep reclaimed
2026-06-01T22:00:00+07:00,2026-06-01T22:25:00+07:00,BUY,4451.16,4446.96,4522.14,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=3.59 fat-tail regime; structural sweep reclaimed
2026-06-04T21:45:00+07:00,2026-06-05T11:20:00+07:00,SELL,4511.39,4515.88,4435.5,TP,75.69,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=2.98 fat-tail regime; structural sweep reclaimed
2026-06-05T21:00:00+07:00,2026-06-05T21:25:00+07:00,BUY,4409.22,4399.21,4578.39,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=12.92 fat-tail regime; structural sweep reclaimed
2026-06-09T22:20:00+07:00,2026-06-09T22:35:00+07:00,BUY,4314.81,4305.32,4475.2,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=10.15 fat-tail regime; structural sweep reclaimed
2026-06-09T23:40:00+07:00,2026-06-10T00:00:00+07:00,BUY,4274.63,4262.16,4485.38,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=5.54 fat-tail regime; structural sweep reclaimed
2026-06-10T00:20:00+07:00,2026-06-10T00:35:00+07:00,BUY,4258.41,4252.34,4361.0,SL,-6.27,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=4.53 fat-tail regime; structural sweep reclaimed
2026-06-10T21:50:00+07:00,2026-06-11T04:00:00+07:00,SELL,4181.29,4187.29,4079.89,TP,101.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=3.70 fat-tail regime; structural sweep reclaimed
2026-06-12T01:45:00+07:00,2026-06-12T02:15:00+07:00,SELL,4160.08,4170.77,3979.41,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=18.54 fat-tail regime; structural sweep reclaimed
