signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2025-07-22T21:10:00+07:00,2025-07-22T21:20:00+07:00,SELL,3412.14,3414.51,3372.08,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=3.57 fat-tail regime; structural sweep reclaimed
2025-07-23T09:40:00+07:00,2025-07-23T10:00:00+07:00,BUY,3423.49,3420.89,3467.43,SL,-2.8,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=3.36 fat-tail regime; structural sweep reclaimed
2025-07-28T22:00:00+07:00,2025-07-28T22:10:00+07:00,BUY,3305.4,3301.48,3371.65,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=14.47 fat-tail regime; structural sweep reclaimed
2025-07-29T03:55:00+07:00,2025-07-29T04:05:00+07:00,SELL,3317.76,3318.92,3298.15,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=11.57 fat-tail regime; structural sweep reclaimed
2025-07-30T21:15:00+07:00,2025-07-30T21:25:00+07:00,BUY,3309.88,3306.96,3359.23,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=4.85 fat-tail regime; structural sweep reclaimed
2025-07-30T21:30:00+07:00,2025-07-30T21:40:00+07:00,BUY,3304.87,3301.37,3364.02,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=3.56 fat-tail regime; structural sweep reclaimed
2025-08-01T15:05:00+07:00,2025-08-01T15:15:00+07:00,BUY,3290.88,3289.38,3316.23,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=2.87 fat-tail regime; structural sweep reclaimed
2025-08-01T15:40:00+07:00,2025-08-01T15:50:00+07:00,BUY,3286.78,3285.52,3308.08,SL,-1.46,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=2.00 fat-tail regime; structural sweep reclaimed
2025-08-05T21:40:00+07:00,2025-08-05T22:00:00+07:00,SELL,3377.98,3379.9,3345.53,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=2.15 fat-tail regime; structural sweep reclaimed
2025-08-07T09:45:00+07:00,2025-08-07T09:55:00+07:00,SELL,3380.7,3382.23,3354.84,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=3.65 fat-tail regime; structural sweep reclaimed
2025-08-08T09:25:00+07:00,2025-08-08T09:35:00+07:00,BUY,3384.11,3381.69,3425.01,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=2.07 fat-tail regime; structural sweep reclaimed
2025-08-11T15:40:00+07:00,2025-08-11T15:45:00+07:00,BUY,3361.26,3358.53,3407.4,SL,-2.93,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=6.29 fat-tail regime; structural sweep reclaimed
2025-08-12T01:45:00+07:00,2025-08-12T02:40:00+07:00,SELL,3356.89,3359.05,3320.38,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=6.70 fat-tail regime; structural sweep reclaimed
2025-08-12T20:50:00+07:00,2025-08-12T21:40:00+07:00,SELL,3353.82,3358.44,3275.74,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=8.60 fat-tail regime; structural sweep reclaimed
2025-08-18T08:50:00+07:00,2025-08-18T09:00:00+07:00,SELL,3341.65,3343.03,3318.32,SL,-1.58,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=5.39 fat-tail regime; structural sweep reclaimed
2025-08-19T08:20:00+07:00,2025-08-19T10:55:00+07:00,SELL,3337.07,3339.36,3298.36,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=5.17 fat-tail regime; structural sweep reclaimed
2025-08-20T22:50:00+07:00,2025-08-21T01:50:00+07:00,SELL,3347.95,3350.53,3304.34,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=4.90 fat-tail regime; structural sweep reclaimed
2025-08-22T23:05:00+07:00,2025-08-22T23:15:00+07:00,SELL,3376.19,3378.3,3340.53,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=12.96 fat-tail regime; structural sweep reclaimed
2025-08-26T08:35:00+07:00,2025-08-26T08:40:00+07:00,SELL,3380.49,3382.58,3345.16,SL,-2.29,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=16.41 fat-tail regime; structural sweep reclaimed
2025-08-26T16:05:00+07:00,2025-08-26T16:25:00+07:00,SELL,3378.0,3379.75,3348.42,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=2.11 fat-tail regime; structural sweep reclaimed
2025-08-29T21:05:00+07:00,2025-08-29T21:10:00+07:00,SELL,3415.62,3418.42,3368.29,SL,-3.0,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=2.59 fat-tail regime; structural sweep reclaimed
2025-09-02T15:25:00+07:00,2025-09-02T15:45:00+07:00,BUY,3482.97,3479.88,3535.2,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=3.95 fat-tail regime; structural sweep reclaimed
2025-09-04T14:35:00+07:00,2025-09-04T15:05:00+07:00,SELL,3537.86,3541.92,3469.24,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=4.81 fat-tail regime; structural sweep reclaimed
2025-09-08T09:20:00+07:00,2025-09-08T09:30:00+07:00,BUY,3586.93,3584.65,3625.47,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=4.67 fat-tail regime; structural sweep reclaimed
2025-09-08T14:15:00+07:00,2025-09-08T14:25:00+07:00,SELL,3592.31,3594.63,3553.1,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=3.55 fat-tail regime; structural sweep reclaimed
2025-09-10T03:50:00+07:00,2025-09-10T03:55:00+07:00,BUY,3630.72,3628.87,3661.99,SL,-2.05,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=4.54 fat-tail regime; structural sweep reclaimed
2025-09-12T16:55:00+07:00,2025-09-12T17:05:00+07:00,BUY,3640.6,3639.46,3659.87,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=4.20 fat-tail regime; structural sweep reclaimed
2025-09-16T17:25:00+07:00,2025-09-16T17:35:00+07:00,SELL,3696.47,3698.12,3668.58,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=5.59 fat-tail regime; structural sweep reclaimed
2025-09-16T23:10:00+07:00,2025-09-16T23:30:00+07:00,BUY,3682.49,3679.6,3731.34,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=2.71 fat-tail regime; structural sweep reclaimed
2025-09-19T23:05:00+07:00,2025-09-19T23:10:00+07:00,SELL,3667.52,3670.5,3617.15,SL,-3.18,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=3.43 fat-tail regime; structural sweep reclaimed
2025-09-24T09:50:00+07:00,2025-09-24T10:00:00+07:00,BUY,3756.76,3754.81,3789.72,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=5.52 fat-tail regime; structural sweep reclaimed
2025-09-25T20:55:00+07:00,2025-09-25T21:05:00+07:00,BUY,3736.32,3730.32,3837.72,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=3.39 fat-tail regime; structural sweep reclaimed
2025-09-29T14:15:00+07:00,2025-09-29T14:35:00+07:00,SELL,3816.16,3818.74,3772.55,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=3.50 fat-tail regime; structural sweep reclaimed
2025-09-29T14:45:00+07:00,2025-09-29T16:10:00+07:00,SELL,3815.96,3820.25,3743.45,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=2.91 fat-tail regime; structural sweep reclaimed
2025-10-02T23:40:00+07:00,2025-10-08T07:45:00+07:00,BUY,3828.6,3818.76,3994.9,TP,166.1,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=3.82 fat-tail regime; structural sweep reclaimed
2025-10-09T22:00:00+07:00,2025-10-09T22:20:00+07:00,BUY,4018.61,4012.06,4129.31,SL,-6.75,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=2.90 fat-tail regime; structural sweep reclaimed
2025-10-20T14:05:00+07:00,2025-10-20T14:25:00+07:00,BUY,4237.59,4230.6,4355.73,SL,-7.19,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=2.16 fat-tail regime; structural sweep reclaimed
2025-10-21T16:15:00+07:00,2025-10-21T17:10:00+07:00,BUY,4257.82,4243.97,4491.89,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=5.71 fat-tail regime; structural sweep reclaimed
2025-10-29T07:05:00+07:00,2025-10-29T07:15:00+07:00,SELL,3965.52,3969.63,3896.06,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=5.01 fat-tail regime; structural sweep reclaimed
2025-10-30T02:45:00+07:00,2025-10-30T03:05:00+07:00,BUY,3936.88,3926.73,4108.42,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=11.54 fat-tail regime; structural sweep reclaimed
2025-11-03T07:20:00+07:00,2025-11-03T07:50:00+07:00,BUY,3967.86,3961.95,4067.74,BE,-0.2,S199 BUY Fat-Tail Sweep 16.9R,Excess kurtosis=3.31 fat-tail regime; structural sweep reclaimed
2025-11-10T15:40:00+07:00,2025-11-10T15:50:00+07:00,SELL,4081.67,4085.41,4018.46,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=5.04 fat-tail regime; structural sweep reclaimed
2025-11-12T22:50:00+07:00,2025-11-12T23:00:00+07:00,SELL,4180.25,4186.26,4078.68,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=7.52 fat-tail regime; structural sweep reclaimed
2025-11-12T23:35:00+07:00,2025-11-12T23:45:00+07:00,SELL,4191.84,4196.72,4109.36,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=5.21 fat-tail regime; structural sweep reclaimed
2025-11-18T15:40:00+07:00,2025-11-18T15:55:00+07:00,SELL,4039.86,4043.28,3982.06,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=2.47 fat-tail regime; structural sweep reclaimed
2025-11-21T16:20:00+07:00,2025-11-21T16:35:00+07:00,SELL,4059.29,4064.02,3979.35,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=3.94 fat-tail regime; structural sweep reclaimed
2025-11-21T19:50:00+07:00,2025-11-21T20:10:00+07:00,SELL,4065.17,4072.14,3947.37,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=2.85 fat-tail regime; structural sweep reclaimed
2025-12-03T08:10:00+07:00,2025-12-03T08:35:00+07:00,SELL,4217.15,4221.39,4145.49,BE,-0.2,S199 SELL Fat-Tail Sweep 16.9R,Excess kurtosis=2.70 fat-tail regime; structural sweep reclaimed
