TF,Sub-Pattern,Trades,WinRate(%),P/L($),AvgWin($),AvgLoss($),MaxSLStreak
M1,S20.1.Defect,91,51.6,20.46,5.48,-5.39,9
M1,S20.2.Small_2H,134,58.2,9.96,3.72,-5.01,5
M1,S20.2.Small_2L,161,48.4,-81.58,4.76,-5.45,11
M1,S20.3.Solid,127,21.3,-7.78,11.27,-3.12,18
M1,S20.4.Pullback80,81,46.9,-120.02,2.55,-5.05,5
M1,S20.5.Fibo_Entry_3Test1,20,20.0,-23.31,12.28,-4.53,6
M1,S20.5.Fibo_Entry_Hit1,228,15.8,-114.35,21.19,-4.57,36
M1,S20.5.Fibo_Entry_Hit2,77,22.1,42.3,16.22,-3.89,11
M1,S20.5.Fibo_Entry_RunTest2,21,23.8,-18.07,17.86,-6.71,14
M5,S20.1.Defect,32,68.8,132.32,13.44,-16.34,3
M5,S20.2.Small_2H,41,46.3,-75.5,9.19,-11.37,5
M5,S20.2.Small_2L,43,53.5,-32.69,10.11,-13.26,4
M5,S20.3.Solid,30,6.7,-137.98,24.79,-6.7,13
M5,S20.4.Pullback80,26,46.2,-115.49,5.2,-12.7,4
M5,S20.5.Fibo_Entry_3Test1,3,33.3,21.48,39.7,-9.11,2
M5,S20.5.Fibo_Entry_Hit1,46,17.4,142.05,46.14,-5.98,10
M5,S20.5.Fibo_Entry_Hit2,13,30.8,39.43,24.9,-6.69,5
M5,S20.5.Fibo_Entry_RunTest2,1,0.0,-23.86,0.0,-23.86,1
M15,S20.1.Defect,6,33.3,-33.01,19.77,-18.14,4
M15,S20.2.Small_2H,12,66.7,62.56,16.79,-17.94,2
M15,S20.2.Small_2L,17,52.9,-1.74,17.6,-20.02,3
M15,S20.3.Solid,14,7.1,-23.11,70.08,-7.17,12
M15,S20.4.Pullback80,8,75.0,12.88,8.78,-19.89,1
M15,S20.5.Fibo_Entry_3Test1,2,50.0,52.25,70.22,-17.97,1
M15,S20.5.Fibo_Entry_Hit1,23,8.7,-90.78,54.75,-9.54,11
M15,S20.5.Fibo_Entry_Hit2,6,0.0,-53.37,0.0,-8.89,6
M15,S20.5.Fibo_Entry_RunTest2,2,100.0,109.85,54.93,0.0,0
M30,S20.1.Defect,5,40.0,8.44,44.34,-26.75,3
M30,S20.2.Small_2H,7,57.1,12.08,19.93,-22.55,3
M30,S20.2.Small_2L,6,66.7,39.29,22.27,-24.9,1
M30,S20.3.Solid,3,33.3,83.2,119.62,-18.21,1
M30,S20.4.Pullback80,10,50.0,-99.96,11.03,-31.02,2
M30,S20.5.Fibo_Entry_3Test1,1,0.0,-32.13,0.0,-32.13,1
M30,S20.5.Fibo_Entry_Hit1,6,16.7,24.88,78.77,-10.78,5
H1,S20.1.Defect,5,20.0,-114.77,50.02,-41.2,3
H1,S20.2.Small_2H,5,80.0,105.67,34.63,-32.84,1
H1,S20.2.Small_2L,6,33.3,-92.66,44.54,-45.44,2
H1,S20.3.Solid,3,66.7,172.93,95.06,-17.18,1
H1,S20.4.Pullback80,1,0.0,-43.26,0.0,-43.26,1
H1,S20.5.Fibo_Entry_3Test1,2,50.0,116.09,139.28,-23.19,1
H1,S20.5.Fibo_Entry_Hit1,7,28.6,210.53,149.68,-17.77,4
H1,S20.5.Fibo_Entry_Hit2,6,0.0,-119.78,0.0,-19.96,6
H1,S20.5.Fibo_Entry_RunTest2,3,0.0,-117.95,0.0,-39.32,3
H4,S20.1.Defect,3,66.7,202.53,145.25,-87.98,1
H4,S20.2.Small_2H,3,66.7,-68.88,43.48,-155.84,1
H4,S20.2.Small_2L,5,0.0,-510.67,0.0,-102.13,5
H4,S20.3.Solid,3,33.3,212.75,279.87,-33.56,2
H4,S20.4.Pullback80,1,100.0,50.94,50.94,0.0,0
H4,S20.5.Fibo_Entry_3Test1,2,0.0,-103.51,0.0,-51.76,2
H4,S20.5.Fibo_Entry_Hit1,7,0.0,-330.69,0.0,-47.24,7
H4,S20.5.Fibo_Entry_Hit2,1,0.0,-38.56,0.0,-38.56,1
