signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-01-19T17:40:00+07:00,2026-01-19T17:45:00+07:00,SELL,4661.58,4665.03,4626.86,SL,-3.65,S236 SELL Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.52)
2026-01-20T18:45:00+07:00,2026-01-20T18:50:00+07:00,BUY,4733.72,4731.33,4757.95,SL,-2.59,S236 BUY Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.54)
2026-01-22T18:45:00+07:00,2026-01-22T19:00:00+07:00,BUY,4833.24,4830.1,4864.97,SL,-3.34,S236 BUY Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.41)
2026-02-03T18:20:00+07:00,2026-02-03T18:25:00+07:00,SELL,4884.95,4900.01,4734.13,SL,-15.26,S236 SELL Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.51)
2026-02-12T18:50:00+07:00,2026-02-12T18:55:00+07:00,BUY,5067.91,5064.2,5105.24,SL,-3.91,S236 BUY Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.40)
2026-02-17T17:10:00+07:00,2026-02-17T17:30:00+07:00,BUY,4936.2,4927.85,5019.59,SL,-8.55,S236 BUY Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.38)
2026-02-24T17:20:00+07:00,2026-02-24T17:30:00+07:00,BUY,5180.46,5173.59,5249.38,SL,-7.07,S236 BUY Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.45)
2026-02-24T18:40:00+07:00,2026-02-24T18:45:00+07:00,BUY,5178.08,5175.4,5204.56,SL,-2.88,S236 BUY Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.36)
2026-02-27T18:45:00+07:00,2026-02-27T20:15:00+07:00,BUY,5181.24,5177.44,5219.03,TP,37.59,S236 BUY Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.47)
2026-03-04T17:05:00+07:00,2026-03-04T17:30:00+07:00,BUY,5194.8,5184.79,5295.46,SL,-10.21,S236 BUY Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.62)
2026-03-04T18:30:00+07:00,2026-03-04T18:40:00+07:00,BUY,5198.14,5193.67,5242.73,SL,-4.67,S236 BUY Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.41)
2026-03-05T17:50:00+07:00,2026-03-05T18:35:00+07:00,BUY,5166.24,5159.65,5231.71,SL,-6.79,S236 BUY Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.53)
2026-03-12T18:15:00+07:00,2026-03-12T18:30:00+07:00,SELL,5174.44,5179.59,5123.04,SL,-5.35,S236 SELL Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.63)
2026-03-24T17:55:00+07:00,2026-03-24T18:00:00+07:00,BUY,4438.65,4425.23,4572.2,SL,-13.62,S236 BUY Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.54)
2026-03-25T18:00:00+07:00,2026-03-25T19:15:00+07:00,BUY,4566.14,4555.61,4671.55,BE,-0.2,S236 BUY Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.51)
2026-04-02T18:15:00+07:00,2026-04-02T18:40:00+07:00,SELL,4614.86,4627.43,4489.49,SL,-12.77,S236 SELL Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.42)
2026-04-21T18:50:00+07:00,2026-04-21T19:05:00+07:00,BUY,4790.1,4786.55,4825.82,SL,-3.75,S236 BUY Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.47)
2026-04-28T18:55:00+07:00,2026-04-28T19:25:00+07:00,SELL,4603.13,4610.54,4531.01,BE,-0.2,S236 SELL Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.52)
2026-05-04T17:10:00+07:00,2026-05-04T17:50:00+07:00,BUY,4584.27,4579.17,4635.38,SL,-5.3,S236 BUY Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.57)
2026-05-08T18:35:00+07:00,2026-05-08T18:45:00+07:00,BUY,4727.07,4721.62,4781.47,SL,-5.65,S236 BUY Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.54)
2026-05-11T17:15:00+07:00,2026-05-11T18:20:00+07:00,SELL,4664.98,4667.93,4635.69,BE,-0.2,S236 SELL Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.57)
2026-05-20T18:35:00+07:00,2026-05-20T18:50:00+07:00,BUY,4495.73,4491.94,4533.75,SL,-3.99,S236 BUY Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.59)
2026-05-25T17:25:00+07:00,2026-05-25T20:05:00+07:00,BUY,4558.95,4556.24,4586.28,BE,-0.2,S236 BUY Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.53)
2026-05-27T18:00:00+07:00,2026-05-27T19:20:00+07:00,SELL,4486.42,4490.89,4442.37,TP,43.85,S236 SELL Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.58)
2026-06-08T17:05:00+07:00,2026-06-08T17:35:00+07:00,SELL,4285.3,4291.4,4224.41,BE,-0.2,S236 SELL Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.47)
2026-06-11T17:05:00+07:00,2026-06-11T17:15:00+07:00,SELL,4081.02,4087.68,4013.43,SL,-6.86,S236 SELL Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.65)
2026-06-11T17:25:00+07:00,2026-06-11T17:35:00+07:00,SELL,4079.47,4085.5,4019.28,SL,-6.23,S236 SELL Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.58)
2026-06-16T18:55:00+07:00,2026-06-16T19:00:00+07:00,BUY,4348.99,4346.5,4373.56,SL,-2.69,S236 BUY Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.39)
2026-06-19T18:00:00+07:00,2026-06-19T20:00:00+07:00,SELL,4157.92,4163.4,4102.68,BE,-0.2,S236 SELL Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.49)
2026-06-23T17:55:00+07:00,2026-06-23T18:50:00+07:00,BUY,4122.46,4115.03,4195.01,BE,-0.2,S236 BUY Dual Compression Break 10R,US-window efficient break with RS/Parkinson compression agreement (Parkinson=0.40)
