signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-05-27T19:55:00+07:00,2026-05-27T20:15:00+07:00,BUY,4428.65,4424.36,4471.45,BE,-0.2,S255 BUY VPIN Toxic-Flow Climax Fade 10R,Fade trapped toxic-flow breakout; original=SELL
2026-06-01T17:30:00+07:00,2026-06-01T18:45:00+07:00,BUY,4490.88,4488.89,4508.58,TP,17.5,S255 BUY VPIN Toxic-Flow Climax Fade 10R,Fade trapped toxic-flow breakout; original=SELL
2026-06-04T19:55:00+07:00,2026-06-04T21:35:00+07:00,SELL,4511.62,4515.2,4476.7,BE,-0.2,S255 SELL VPIN Toxic-Flow Climax Fade 10R,Fade trapped toxic-flow breakout; original=BUY
2026-06-05T20:55:00+07:00,2026-06-05T21:00:00+07:00,BUY,4406.15,4404.11,4427.88,SL,-2.24,S255 BUY VPIN Toxic-Flow Climax Fade 10R,Fade trapped toxic-flow breakout; original=SELL
2026-06-18T18:55:00+07:00,2026-06-18T19:00:00+07:00,BUY,4255.6,4254.39,4266.93,SL,-1.41,S255 BUY VPIN Toxic-Flow Climax Fade 10R,Fade trapped toxic-flow breakout; original=SELL
2026-06-18T19:05:00+07:00,2026-06-18T19:10:00+07:00,BUY,4248.09,4246.37,4265.07,SL,-1.92,S255 BUY VPIN Toxic-Flow Climax Fade 10R,Fade trapped toxic-flow breakout; original=SELL
2026-06-22T20:00:00+07:00,2026-06-22T20:20:00+07:00,SELL,4210.68,4211.36,4203.33,BE,-0.2,S255 SELL VPIN Toxic-Flow Climax Fade 10R,Fade trapped toxic-flow breakout; original=BUY
2026-06-24T20:20:00+07:00,2026-06-24T20:25:00+07:00,BUY,4032.92,4031.9,4043.67,SL,-1.22,S255 BUY VPIN Toxic-Flow Climax Fade 10R,Fade trapped toxic-flow breakout; original=SELL
2026-07-01T19:10:00+07:00,2026-07-01T19:15:00+07:00,SELL,4016.08,4019.78,3978.85,SL,-3.9,S255 SELL VPIN Toxic-Flow Climax Fade 10R,Fade trapped toxic-flow breakout; original=BUY
2026-07-01T19:45:00+07:00,2026-07-01T19:50:00+07:00,SELL,4034.12,4035.49,4020.31,SL,-1.57,S255 SELL VPIN Toxic-Flow Climax Fade 10R,Fade trapped toxic-flow breakout; original=BUY
2026-07-08T17:55:00+07:00,2026-07-08T18:05:00+07:00,BUY,4043.46,4040.97,4067.93,BE,-0.2,S255 BUY VPIN Toxic-Flow Climax Fade 10R,Fade trapped toxic-flow breakout; original=SELL
2026-07-08T19:30:00+07:00,2026-07-08T19:35:00+07:00,BUY,4047.33,4045.57,4065.04,SL,-1.96,S255 BUY VPIN Toxic-Flow Climax Fade 10R,Fade trapped toxic-flow breakout; original=SELL
