signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-01-23T19:50:00+07:00,2026-01-23T20:00:00+07:00,SELL,4941.54,4942.96,4927.12,BE,-0.2,S255 SELL VPIN Toxic-Flow Climax Fade 10R,Fade trapped toxic-flow breakout; original=BUY
2026-02-17T17:10:00+07:00,2026-02-17T19:05:00+07:00,SELL,4936.2,4939.84,4899.68,BE,-0.2,S255 SELL VPIN Toxic-Flow Climax Fade 10R,Fade trapped toxic-flow breakout; original=BUY
2026-02-18T18:40:00+07:00,2026-02-18T18:45:00+07:00,BUY,4911.38,4910.64,4919.22,SL,-0.94,S255 BUY VPIN Toxic-Flow Climax Fade 10R,Fade trapped toxic-flow breakout; original=SELL
2026-02-27T20:15:00+07:00,2026-02-27T20:20:00+07:00,SELL,5218.9,5221.38,5187.94,SL,-2.68,S255 SELL VPIN Toxic-Flow Climax Fade 10R,Fade trapped toxic-flow breakout; original=BUY
2026-03-11T20:45:00+07:00,2026-03-11T20:50:00+07:00,BUY,5159.97,5158.01,5179.13,SL,-2.16,S255 BUY VPIN Toxic-Flow Climax Fade 10R,Fade trapped toxic-flow breakout; original=SELL
2026-03-12T20:45:00+07:00,2026-03-12T20:50:00+07:00,BUY,5151.83,5151.15,5157.87,SL,-0.88,S255 BUY VPIN Toxic-Flow Climax Fade 10R,Fade trapped toxic-flow breakout; original=SELL
2026-03-18T18:40:00+07:00,2026-03-18T18:45:00+07:00,BUY,4939.17,4934.02,4990.78,SL,-5.35,S255 BUY VPIN Toxic-Flow Climax Fade 10R,Fade trapped toxic-flow breakout; original=SELL
2026-03-18T19:30:00+07:00,2026-03-18T19:35:00+07:00,BUY,4887.73,4883.93,4925.84,SL,-4.0,S255 BUY VPIN Toxic-Flow Climax Fade 10R,Fade trapped toxic-flow breakout; original=SELL
2026-03-18T19:45:00+07:00,2026-03-18T19:50:00+07:00,BUY,4874.02,4872.31,4891.67,SL,-1.91,S255 BUY VPIN Toxic-Flow Climax Fade 10R,Fade trapped toxic-flow breakout; original=SELL
2026-03-19T17:15:00+07:00,2026-03-19T17:20:00+07:00,BUY,4693.77,4687.29,4761.1,SL,-6.68,S255 BUY VPIN Toxic-Flow Climax Fade 10R,Fade trapped toxic-flow breakout; original=SELL
2026-03-27T17:40:00+07:00,2026-03-27T17:45:00+07:00,BUY,4415.97,4412.15,4453.63,SL,-4.02,S255 BUY VPIN Toxic-Flow Climax Fade 10R,Fade trapped toxic-flow breakout; original=SELL
2026-03-27T18:00:00+07:00,2026-03-27T18:05:00+07:00,BUY,4409.57,4408.88,4418.57,SL,-0.89,S255 BUY VPIN Toxic-Flow Climax Fade 10R,Fade trapped toxic-flow breakout; original=SELL
