signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-05-18T20:40:00+07:00,2026-05-18T20:45:00+07:00,SELL,4569.62,4570.48,4545.91,SL,-1.06,S257 SELL Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=BUY
2026-05-19T19:55:00+07:00,2026-05-19T20:00:00+07:00,BUY,4530.45,4529.51,4568.08,SL,-1.14,S257 BUY Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=SELL
2026-05-20T17:25:00+07:00,2026-05-20T22:10:00+07:00,BUY,4474.19,4472.36,4528.66,BE,-0.2,S257 BUY Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=SELL
2026-05-21T17:15:00+07:00,2026-05-21T17:20:00+07:00,SELL,4540.6,4541.55,4513.55,SL,-1.15,S257 SELL Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=BUY
2026-05-21T20:20:00+07:00,2026-05-21T20:25:00+07:00,BUY,4506.72,4505.83,4532.27,SL,-1.09,S257 BUY Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=SELL
2026-05-21T20:55:00+07:00,2026-05-21T21:00:00+07:00,BUY,4504.13,4502.12,4564.95,SL,-2.21,S257 BUY Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=SELL
2026-05-26T18:10:00+07:00,2026-05-26T18:15:00+07:00,SELL,4529.45,4532.51,4439.52,SL,-3.26,S257 SELL Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=BUY
2026-05-26T19:20:00+07:00,2026-05-26T19:25:00+07:00,BUY,4525.74,4525.05,4555.84,SL,-0.89,S257 BUY Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=SELL
2026-05-28T17:20:00+07:00,2026-05-28T17:35:00+07:00,SELL,4395.36,4399.39,4275.92,BE,-0.2,S257 SELL Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=BUY
2026-05-28T20:35:00+07:00,2026-05-28T20:40:00+07:00,SELL,4398.81,4402.78,4279.0,SL,-4.17,S257 SELL Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=BUY
2026-05-29T17:05:00+07:00,2026-05-29T17:10:00+07:00,SELL,4523.79,4524.47,4505.49,SL,-0.88,S257 SELL Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=BUY
2026-05-29T20:20:00+07:00,2026-05-29T20:30:00+07:00,BUY,4523.54,4519.69,4638.81,SL,-4.05,S257 BUY Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=SELL
2026-06-01T17:30:00+07:00,2026-06-01T21:10:00+07:00,BUY,4490.88,4488.89,4544.56,BE,-0.2,S257 BUY Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=SELL
2026-06-02T20:45:00+07:00,2026-06-02T20:50:00+07:00,BUY,4520.31,4519.49,4544.69,SL,-1.02,S257 BUY Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=SELL
2026-06-03T17:25:00+07:00,2026-06-03T17:35:00+07:00,BUY,4439.72,4438.91,4459.75,BE,-0.2,S257 BUY Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=SELL
2026-06-03T20:25:00+07:00,2026-06-03T20:30:00+07:00,BUY,4452.81,4451.67,4487.44,SL,-1.34,S257 BUY Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=SELL
