signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-01-19T18:30:00+07:00,2026-01-19T18:45:00+07:00,SELL,4665.17,4667.8,4639.3,BE,-0.2,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.44)
2026-01-20T18:50:00+07:00,2026-01-20T20:50:00+07:00,SELL,4730.89,4735.54,4685.04,BE,-0.2,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.33)
2026-01-22T18:05:00+07:00,2026-01-22T18:30:00+07:00,SELL,4829.74,4832.06,4805.88,BE,-0.2,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.42)
2026-01-23T19:15:00+07:00,2026-01-23T19:35:00+07:00,SELL,4931.11,4937.54,4862.96,SL,-6.63,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.45)
2026-01-27T20:15:00+07:00,2026-01-27T22:55:00+07:00,SELL,5088.88,5093.4,5044.01,BE,-0.2,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.39)
2026-01-29T19:15:00+07:00,2026-01-29T19:25:00+07:00,SELL,5531.81,5540.39,5445.67,SL,-8.78,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.36)
2026-01-30T19:00:00+07:00,2026-01-30T19:30:00+07:00,SELL,5130.56,5147.6,4960.7,BE,-0.2,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.45)
2026-02-05T18:15:00+07:00,2026-02-05T18:20:00+07:00,SELL,4880.92,4891.12,4776.28,SL,-10.4,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.38)
2026-02-11T18:35:00+07:00,2026-02-11T18:40:00+07:00,SELL,5102.43,5109.06,5035.9,SL,-6.83,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.16)
2026-02-18T17:10:00+07:00,2026-02-18T19:05:00+07:00,SELL,4920.19,4924.77,4874.16,BE,-0.2,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.30)
2026-02-18T19:10:00+07:00,2026-02-18T19:15:00+07:00,SELL,4921.84,4926.62,4872.93,SL,-4.98,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.35)
2026-03-02T20:30:00+07:00,2026-03-03T16:25:00+07:00,SELL,5400.97,5417.26,5233.56,TP,167.21,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.35)
2026-03-12T20:00:00+07:00,2026-03-12T22:10:00+07:00,SELL,5179.84,5186.56,5113.4,TP,66.24,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.33)
2026-03-13T17:15:00+07:00,2026-03-13T17:45:00+07:00,SELL,5092.48,5097.27,5044.35,BE,-0.2,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.22)
2026-03-13T18:45:00+07:00,2026-03-13T18:55:00+07:00,SELL,5094.16,5098.15,5054.48,SL,-4.19,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.42)
2026-03-17T19:35:00+07:00,2026-03-17T20:05:00+07:00,SELL,5017.25,5024.25,4948.24,BE,-0.2,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.43)
2026-03-24T17:10:00+07:00,2026-03-24T17:15:00+07:00,SELL,4426.14,4432.02,4367.0,SL,-6.08,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.32)
2026-04-01T18:30:00+07:00,2026-04-01T18:40:00+07:00,SELL,4727.11,4732.65,4671.6,SL,-5.74,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.34)
2026-04-08T20:05:00+07:00,2026-04-08T20:10:00+07:00,SELL,4800.4,4806.53,4736.46,SL,-6.33,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.39)
2026-04-09T17:25:00+07:00,2026-04-09T17:50:00+07:00,SELL,4729.79,4733.67,4692.09,BE,-0.2,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.21)
2026-04-09T18:55:00+07:00,2026-04-09T19:25:00+07:00,SELL,4741.12,4747.12,4681.88,SL,-6.2,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.17)
2026-04-09T19:30:00+07:00,2026-04-09T19:35:00+07:00,SELL,4745.09,4748.21,4713.56,SL,-3.32,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.35)
2026-04-15T19:30:00+07:00,2026-04-15T19:45:00+07:00,SELL,4803.12,4809.04,4743.7,SL,-6.12,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.43)
2026-04-20T20:05:00+07:00,2026-04-20T20:10:00+07:00,SELL,4807.76,4812.7,4758.14,SL,-5.14,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.31)
2026-04-21T17:55:00+07:00,2026-04-21T18:50:00+07:00,SELL,4783.65,4789.9,4720.82,SL,-6.45,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.27)
2026-04-22T19:20:00+07:00,2026-04-22T20:00:00+07:00,SELL,4757.26,4761.14,4718.67,BE,-0.2,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.44)
2026-04-27T20:20:00+07:00,2026-04-27T23:00:00+07:00,SELL,4709.23,4712.89,4672.96,TP,36.07,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.43)
2026-04-30T17:30:00+07:00,2026-04-30T18:20:00+07:00,SELL,4624.36,4632.18,4546.49,SL,-8.02,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.21)
2026-05-07T19:45:00+07:00,2026-05-07T19:55:00+07:00,SELL,4736.27,4740.12,4698.1,SL,-4.05,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.40)
2026-05-19T20:35:00+07:00,2026-05-19T21:25:00+07:00,SELL,4542.53,4547.57,4492.46,TP,49.87,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.24)
2026-05-26T18:15:00+07:00,2026-05-26T18:25:00+07:00,SELL,4528.16,4533.41,4475.22,SL,-5.45,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.43)
2026-05-26T18:50:00+07:00,2026-05-27T18:35:00+07:00,SELL,4534.74,4540.9,4472.48,TP,62.06,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.44)
2026-05-29T17:50:00+07:00,2026-05-29T18:35:00+07:00,SELL,4532.64,4539.96,4459.54,SL,-7.52,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.38)
2026-06-01T18:35:00+07:00,2026-06-01T18:40:00+07:00,SELL,4503.14,4507.06,4466.13,SL,-4.12,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.24)
2026-06-01T18:50:00+07:00,2026-06-01T19:15:00+07:00,SELL,4507.32,4511.28,4467.83,BE,-0.2,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.23)
2026-06-01T19:20:00+07:00,2026-06-01T20:05:00+07:00,SELL,4508.65,4513.27,4462.88,BE,-0.2,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.24)
2026-06-01T20:45:00+07:00,2026-06-01T21:20:00+07:00,SELL,4506.62,4510.88,4466.55,TP,39.87,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.34)
2026-06-02T20:25:00+07:00,2026-06-02T20:35:00+07:00,SELL,4529.3,4534.37,4478.81,BE,-0.2,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.37)
2026-06-03T20:50:00+07:00,2026-06-04T07:45:00+07:00,SELL,4460.31,4467.65,4390.1,BE,-0.2,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.38)
2026-06-05T20:20:00+07:00,2026-06-05T21:35:00+07:00,SELL,4468.43,4476.2,4391.27,TP,76.96,S275 SELL DFA Anti-Persistent Reclaim 10R,Failed sweep in multi-scale DFA anti-persistent regime (alpha=0.43)
