signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-05-18T20:30:00+07:00,2026-05-18T22:05:00+07:00,BUY,4562.1,4549.21,4691.55,BE,-0.2,S287 BUY Pettitt Shift Resume 10R,"Pettitt location shift resumes after one-bar pullback (age=11, p=0.008, shift=1.03 ATR, U=-493)"
2026-05-21T17:45:00+07:00,2026-05-21T18:25:00+07:00,BUY,4531.48,4527.56,4570.79,SL,-4.12,S287 BUY Pettitt Shift Resume 10R,"Pettitt location shift resumes after one-bar pullback (age=19, p=0.020, shift=1.45 ATR, U=-451)"
2026-05-25T18:30:00+07:00,2026-05-25T18:40:00+07:00,BUY,4572.67,4569.76,4601.66,SL,-3.11,S287 BUY Pettitt Shift Resume 10R,"Pettitt location shift resumes after one-bar pullback (age=13, p=0.000, shift=4.34 ATR, U=-630)"
2026-05-25T19:30:00+07:00,2026-05-25T19:50:00+07:00,BUY,4573.21,4569.35,4613.24,BE,-0.2,S287 BUY Pettitt Shift Resume 10R,"Pettitt location shift resumes after one-bar pullback (age=24, p=0.000, shift=5.97 ATR, U=-959)"
2026-05-29T18:55:00+07:00,2026-05-29T19:05:00+07:00,BUY,4538.55,4535.06,4573.12,SL,-3.69,S287 BUY Pettitt Shift Resume 10R,"Pettitt location shift resumes after one-bar pullback (age=22, p=0.000, shift=2.81 ATR, U=-908)"
2026-06-01T19:45:00+07:00,2026-06-01T19:55:00+07:00,BUY,4508.55,4506.17,4532.68,SL,-2.58,S287 BUY Pettitt Shift Resume 10R,"Pettitt location shift resumes after one-bar pullback (age=15, p=0.003, shift=1.46 ATR, U=-541)"
2026-06-03T19:45:00+07:00,2026-06-03T20:05:00+07:00,BUY,4462.26,4458.26,4501.6,SL,-4.2,S287 BUY Pettitt Shift Resume 10R,"Pettitt location shift resumes after one-bar pullback (age=20, p=0.011, shift=1.31 ATR, U=-482)"
2026-06-04T19:15:00+07:00,2026-06-04T22:35:00+07:00,BUY,4477.93,4473.21,4524.7,BE,-0.2,S287 BUY Pettitt Shift Resume 10R,"Pettitt location shift resumes after one-bar pullback (age=19, p=0.001, shift=1.27 ATR, U=-567)"
2026-06-08T19:50:00+07:00,2026-06-08T20:10:00+07:00,BUY,4326.73,4320.82,4385.73,BE,-0.2,S287 BUY Pettitt Shift Resume 10R,"Pettitt location shift resumes after one-bar pullback (age=16, p=0.000, shift=2.56 ATR, U=-644)"
2026-06-08T20:15:00+07:00,2026-06-08T21:05:00+07:00,BUY,4325.1,4319.65,4379.71,BE,-0.2,S287 BUY Pettitt Shift Resume 10R,"Pettitt location shift resumes after one-bar pullback (age=21, p=0.000, shift=3.83 ATR, U=-781)"
2026-06-09T19:40:00+07:00,2026-06-09T20:20:00+07:00,BUY,4338.9,4336.57,4361.99,BE,-0.2,S287 BUY Pettitt Shift Resume 10R,"Pettitt location shift resumes after one-bar pullback (age=18, p=0.001, shift=1.67 ATR, U=-569)"
2026-06-12T17:00:00+07:00,2026-06-12T17:20:00+07:00,BUY,4221.47,4216.71,4269.18,BE,-0.2,S287 BUY Pettitt Shift Resume 10R,"Pettitt location shift resumes after one-bar pullback (age=13, p=0.000, shift=4.08 ATR, U=-641)"
2026-06-12T17:30:00+07:00,2026-06-12T18:15:00+07:00,BUY,4225.93,4218.77,4295.88,SL,-7.36,S287 BUY Pettitt Shift Resume 10R,"Pettitt location shift resumes after one-bar pullback (age=19, p=0.000, shift=5.92 ATR, U=-849)"
2026-06-15T17:00:00+07:00,2026-06-15T19:45:00+07:00,BUY,4341.4,4333.63,4418.88,SL,-7.97,S287 BUY Pettitt Shift Resume 10R,"Pettitt location shift resumes after one-bar pullback (age=12, p=0.001, shift=2.25 ATR, U=-584)"
2026-06-22T18:20:00+07:00,2026-06-22T18:45:00+07:00,BUY,4211.22,4207.82,4245.0,SL,-3.6,S287 BUY Pettitt Shift Resume 10R,"Pettitt location shift resumes after one-bar pullback (age=17, p=0.000, shift=3.36 ATR, U=-765)"
2026-06-22T18:50:00+07:00,2026-06-22T18:55:00+07:00,BUY,4208.09,4204.18,4246.97,SL,-4.11,S287 BUY Pettitt Shift Resume 10R,"Pettitt location shift resumes after one-bar pullback (age=22, p=0.000, shift=4.08 ATR, U=-918)"
2026-06-23T19:20:00+07:00,2026-06-23T19:30:00+07:00,BUY,4129.48,4124.11,4183.29,SL,-5.57,S287 BUY Pettitt Shift Resume 10R,"Pettitt location shift resumes after one-bar pullback (age=21, p=0.000, shift=3.15 ATR, U=-755)"
