timestamp,label,entry_tf,trades,wr,total_pnl,avg_per_day_span,avg_per_day_active,trades_per_active_day,n_days_with_trades,span_days,days_hit_1000,max_dd_usd,max_dd_pct,lot_min,lot_max,risk_pct,final_equity,max_consec_loss,avg_r_multiple,profit_factor,sweep_min_atr,sweep_max_atr,body_rev_pct,sl_atr_mult,tp_rr,min_range_atr,max_range_atr,max_trades_per_day,rsi_filter,momentum_filter,volume_filter,atr_regime_filter
2026-06-26 21:26:31,baseline_M5_30d,M5,10,30.0,-26.29,-0.88,-5.26,2.0,5,30,0,118.89,10.88,0.01,0.03,2.0,973.71,5,-0.112,0.83,0.1,3.0,0.5,0.3,2.0,0.3,5.0,3,False,False,False,False
2026-06-26 21:26:41,baseline_M1_30d,M1,2,0.0,-41.98,-1.4,-41.98,2.0,1,30,0,41.98,4.2,0.01,0.04,2.0,958.02,2,-1.061,0.0,0.1,3.0,0.5,0.3,2.0,0.3,5.0,3,False,False,False,False
2026-06-26 21:26:50,relax_M5,M5,15,26.7,-110.72,-3.69,-18.45,2.5,6,30,0,195.41,18.37,0.01,0.04,2.0,889.28,6,-0.377,0.51,0.01,3.0,0.2,0.3,1.5,0.3,5.0,10,False,False,False,False
2026-06-26 21:28:34,relaxed_M5_30d,M5,148,25.7,-550.71,-18.36,-19.67,5.3,28,30,0,1106.5,72.48,0.01,0.08,2.0,449.29,20,-0.252,0.73,0.02,5.0,0.3,0.3,2.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:29:36,g001_A_M1_sw0.02_br0.2_sl0.2_rr1.0,M1,152,53.9,-29.72,-0.99,-1.29,6.6,23,30,0,474.04,32.82,0.02,0.29,2.0,970.28,7,-0.0,0.98,0.02,5.0,0.2,0.2,1.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:29:38,g002_A_M1_sw0.02_br0.2_sl0.2_rr1.5,M1,152,45.4,106.77,3.56,4.64,6.6,23,30,0,396.12,26.36,0.02,0.3,2.0,1106.77,7,0.049,1.05,0.02,5.0,0.2,0.2,1.5,0.3,20.0,10,False,False,False,False
2026-06-26 21:29:39,g003_A_M1_sw0.02_br0.2_sl0.2_rr2.0,M1,152,36.2,-35.55,-1.18,-1.55,6.6,23,30,0,595.06,38.16,0.02,0.27,2.0,964.45,10,0.008,0.99,0.02,5.0,0.2,0.2,2.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:29:40,g004_A_M1_sw0.02_br0.2_sl0.2_rr3.0,M1,152,23.0,-435.05,-14.5,-18.92,6.6,23,30,0,797.69,58.54,0.01,0.24,2.0,564.95,18,-0.16,0.82,0.02,5.0,0.2,0.2,3.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:29:41,g005_A_M1_sw0.02_br0.2_sl0.5_rr1.0,M1,152,53.9,18.46,0.62,0.8,6.6,23,30,0,343.04,25.2,0.02,0.2,2.0,1018.46,7,0.016,1.01,0.02,5.0,0.2,0.5,1.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:29:43,g006_A_M1_sw0.02_br0.2_sl0.5_rr1.5,M1,152,44.1,95.72,3.19,4.16,6.6,23,30,0,358.53,25.76,0.02,0.2,2.0,1095.72,7,0.046,1.04,0.02,5.0,0.2,0.5,1.5,0.3,20.0,10,False,False,False,False
2026-06-26 21:29:44,g007_A_M1_sw0.02_br0.2_sl0.5_rr2.0,M1,152,35.5,-51.69,-1.72,-2.25,6.6,23,30,0,569.81,38.64,0.02,0.19,2.0,948.31,10,0.003,0.98,0.02,5.0,0.2,0.5,2.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:29:45,g008_A_M1_sw0.02_br0.2_sl0.5_rr3.0,M1,152,22.4,-470.0,-15.67,-20.43,6.6,23,30,0,842.64,61.43,0.01,0.15,2.0,530.0,19,-0.181,0.8,0.02,5.0,0.2,0.5,3.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:29:47,g009_A_M1_sw0.02_br0.4_sl0.2_rr1.0,M1,142,52.8,-93.31,-3.11,-4.06,6.2,23,30,0,503.2,36.1,0.02,0.26,2.0,906.69,6,-0.024,0.94,0.02,5.0,0.4,0.2,1.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:29:48,g010_A_M1_sw0.02_br0.4_sl0.2_rr1.5,M1,142,43.7,-12.79,-0.43,-0.56,6.2,23,30,0,495.08,34.48,0.02,0.25,2.0,987.21,7,0.011,0.99,0.02,5.0,0.4,0.2,1.5,0.3,20.0,10,False,False,False,False
2026-06-26 21:29:50,g011_A_M1_sw0.02_br0.4_sl0.2_rr2.0,M1,142,36.6,-1.78,-0.06,-0.08,6.2,23,30,0,628.0,40.99,0.02,0.25,2.0,998.22,13,0.02,1.0,0.02,5.0,0.4,0.2,2.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:29:51,g012_A_M1_sw0.02_br0.4_sl0.2_rr3.0,M1,142,23.9,-332.05,-11.07,-14.44,6.2,23,30,0,729.79,55.11,0.01,0.22,2.0,667.95,16,-0.113,0.85,0.02,5.0,0.4,0.2,3.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:29:52,g013_A_M1_sw0.02_br0.4_sl0.5_rr1.0,M1,142,52.1,-93.97,-3.13,-4.09,6.2,23,30,0,408.57,31.46,0.02,0.17,2.0,906.03,7,-0.025,0.94,0.02,5.0,0.4,0.5,1.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:29:54,g014_A_M1_sw0.02_br0.4_sl0.5_rr1.5,M1,142,44.4,92.93,3.1,4.04,6.2,23,30,0,404.4,29.3,0.02,0.18,2.0,1092.93,7,0.047,1.05,0.02,5.0,0.4,0.5,1.5,0.3,20.0,10,False,False,False,False
2026-06-26 21:29:55,g015_A_M1_sw0.02_br0.4_sl0.5_rr2.0,M1,142,36.6,55.21,1.84,2.4,6.2,23,30,0,429.75,31.25,0.02,0.18,2.0,1055.21,8,0.039,1.03,0.02,5.0,0.4,0.5,2.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:29:56,g016_A_M1_sw0.02_br0.4_sl0.5_rr3.0,M1,142,22.5,-433.1,-14.44,-18.83,6.2,23,30,0,787.88,58.16,0.01,0.15,2.0,566.9,19,-0.173,0.81,0.02,5.0,0.4,0.5,3.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:29:57,g017_A_M1_sw0.05_br0.2_sl0.2_rr1.0,M1,152,52.6,-121.26,-4.04,-5.27,6.6,23,30,0,514.36,36.92,0.02,0.26,2.0,878.74,7,-0.032,0.93,0.05,5.0,0.2,0.2,1.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:29:59,g018_A_M1_sw0.05_br0.2_sl0.2_rr1.5,M1,152,44.7,86.68,2.89,3.77,6.6,23,30,0,357.26,24.74,0.02,0.25,2.0,1086.68,7,0.043,1.04,0.05,5.0,0.2,0.2,1.5,0.3,20.0,10,False,False,False,False
2026-06-26 21:30:00,g019_A_M1_sw0.05_br0.2_sl0.2_rr2.0,M1,152,34.9,-149.65,-4.99,-6.51,6.6,23,30,0,617.69,42.08,0.02,0.26,2.0,850.35,10,-0.033,0.94,0.05,5.0,0.2,0.2,2.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:30:01,g020_A_M1_sw0.05_br0.2_sl0.2_rr3.0,M1,152,22.4,-470.41,-15.68,-20.45,6.6,23,30,0,856.85,61.8,0.01,0.24,2.0,529.59,18,-0.182,0.8,0.05,5.0,0.2,0.2,3.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:30:03,g021_A_M1_sw0.05_br0.2_sl0.5_rr1.0,M1,152,52.6,-64.88,-2.16,-2.82,6.6,23,30,0,351.28,27.31,0.02,0.16,2.0,935.12,7,-0.012,0.96,0.05,5.0,0.2,0.5,1.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:30:04,g022_A_M1_sw0.05_br0.2_sl0.5_rr1.5,M1,152,42.8,-21.23,-0.71,-0.92,6.6,23,30,0,366.72,27.3,0.02,0.15,2.0,978.77,7,0.008,0.99,0.05,5.0,0.2,0.5,1.5,0.3,20.0,10,False,False,False,False
2026-06-26 21:30:05,g023_A_M1_sw0.05_br0.2_sl0.5_rr2.0,M1,152,34.2,-168.1,-5.6,-7.31,6.6,23,30,0,567.85,40.57,0.02,0.16,2.0,831.9,10,-0.04,0.93,0.05,5.0,0.2,0.5,2.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:30:07,g024_A_M1_sw0.05_br0.2_sl0.5_rr3.0,M1,152,21.1,-511.68,-17.06,-22.25,6.6,23,30,0,810.37,62.61,0.01,0.15,2.0,488.32,22,-0.208,0.77,0.05,5.0,0.2,0.5,3.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:30:08,g025_A_M1_sw0.05_br0.4_sl0.2_rr1.0,M1,142,52.1,-108.67,-3.62,-4.72,6.2,23,30,0,506.68,36.67,0.02,0.26,2.0,891.33,7,-0.031,0.93,0.05,5.0,0.4,0.2,1.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:30:10,g026_A_M1_sw0.05_br0.4_sl0.2_rr1.5,M1,142,43.7,-12.73,-0.42,-0.55,6.2,23,30,0,434.18,31.58,0.02,0.24,2.0,987.27,7,0.011,0.99,0.05,5.0,0.4,0.2,1.5,0.3,20.0,10,False,False,False,False
2026-06-26 21:30:12,g027_A_M1_sw0.05_br0.4_sl0.2_rr2.0,M1,142,35.9,-56.07,-1.87,-2.44,6.2,23,30,0,575.97,40.27,0.02,0.25,2.0,943.93,13,0.0,0.97,0.05,5.0,0.4,0.2,2.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:30:13,g028_A_M1_sw0.05_br0.4_sl0.2_rr3.0,M1,142,23.2,-402.45,-13.41,-17.5,6.2,23,30,0,763.13,57.82,0.01,0.22,2.0,597.55,16,-0.153,0.82,0.05,5.0,0.4,0.2,3.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:30:15,g029_A_M1_sw0.05_br0.4_sl0.5_rr1.0,M1,142,51.4,-115.64,-3.85,-5.03,6.2,23,30,0,384.38,30.84,0.02,0.15,2.0,884.36,6,-0.033,0.92,0.05,5.0,0.4,0.5,1.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:30:16,g030_A_M1_sw0.05_br0.4_sl0.5_rr1.5,M1,142,43.7,61.03,2.03,2.65,6.2,23,30,0,377.35,28.7,0.02,0.15,2.0,1061.03,7,0.036,1.03,0.05,5.0,0.4,0.5,1.5,0.3,20.0,10,False,False,False,False
2026-06-26 21:30:18,g031_A_M1_sw0.05_br0.4_sl0.5_rr2.0,M1,142,35.2,-71.21,-2.37,-3.1,6.2,23,30,0,440.51,33.87,0.01,0.15,2.0,928.79,8,-0.006,0.97,0.05,5.0,0.4,0.5,2.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:30:19,g032_A_M1_sw0.05_br0.4_sl0.5_rr3.0,M1,142,21.1,-498.11,-16.6,-21.66,6.2,23,30,0,730.55,59.28,0.01,0.14,2.0,501.89,22,-0.216,0.76,0.05,5.0,0.4,0.5,3.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:30:21,g033_A_M1_sw0.15_br0.2_sl0.2_rr1.0,M1,146,51.4,-156.36,-5.21,-6.8,6.3,23,30,0,591.62,41.63,0.02,0.26,2.0,843.64,7,-0.048,0.91,0.15,5.0,0.2,0.2,1.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:30:22,g034_A_M1_sw0.15_br0.2_sl0.2_rr1.5,M1,146,42.5,-92.93,-3.1,-4.04,6.3,23,30,0,588.21,40.01,0.02,0.25,2.0,907.07,7,-0.018,0.96,0.15,5.0,0.2,0.2,1.5,0.3,20.0,10,False,False,False,False
2026-06-26 21:30:24,g035_A_M1_sw0.15_br0.2_sl0.2_rr2.0,M1,146,32.9,-274.36,-9.15,-11.93,6.3,23,30,0,794.14,53.14,0.01,0.26,2.0,725.64,10,-0.09,0.88,0.15,5.0,0.2,0.2,2.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:30:25,g036_A_M1_sw0.15_br0.2_sl0.2_rr3.0,M1,146,21.9,-478.56,-15.95,-20.81,6.3,23,30,0,909.53,65.19,0.01,0.24,2.0,521.44,20,-0.196,0.79,0.15,5.0,0.2,0.2,3.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:30:26,g037_A_M1_sw0.15_br0.2_sl0.5_rr1.0,M1,146,50.7,-155.27,-5.18,-6.75,6.3,23,30,0,486.22,36.98,0.02,0.16,2.0,844.73,7,-0.048,0.9,0.15,5.0,0.2,0.5,1.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:30:28,g038_A_M1_sw0.15_br0.2_sl0.5_rr1.5,M1,146,41.1,-97.7,-3.26,-4.25,6.3,23,30,0,520.67,37.96,0.02,0.15,2.0,902.3,8,-0.02,0.95,0.15,5.0,0.2,0.5,1.5,0.3,20.0,10,False,False,False,False
2026-06-26 21:30:29,g039_A_M1_sw0.15_br0.2_sl0.5_rr2.0,M1,146,34.2,-139.7,-4.66,-6.07,6.3,23,30,0,610.41,42.86,0.01,0.16,2.0,860.3,10,-0.031,0.94,0.15,5.0,0.2,0.5,2.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:30:31,g040_A_M1_sw0.15_br0.2_sl0.5_rr3.0,M1,146,19.9,-554.62,-18.49,-24.11,6.3,23,30,0,867.45,66.07,0.01,0.15,2.0,445.38,25,-0.251,0.74,0.15,5.0,0.2,0.5,3.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:30:32,g041_A_M1_sw0.15_br0.4_sl0.2_rr1.0,M1,135,50.4,-197.0,-6.57,-8.57,5.9,23,30,0,581.61,42.44,0.02,0.26,2.0,803.0,6,-0.071,0.88,0.15,5.0,0.4,0.2,1.0,0.3,20.0,10,False,False,False,False
2026-06-26 21:30:34,g042_A_M1_sw0.15_br0.4_sl0.2_rr1.5,M1,135,41.5,-139.57,-4.65,-6.07,5.9,23,30,0,561.57,40.2,0.02,0.24,2.0,860.43,6,-0.041,0.93,0.15,5.0,0.4,0.2,1.5,0.3,20.0,10,False,False,False,False
