signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-01-22T20:40:00+07:00,2026-01-22T20:50:00+07:00,SELL,4813.81,4822.51,4728.89,SL,-8.9,S290 SELL Wasserstein Drift 10R,Return distribution drifted 0.95 MAD with signed median shift -0.94 MAD
2026-02-17T19:20:00+07:00,2026-02-17T19:40:00+07:00,BUY,4941.22,4936.71,4986.54,SL,-4.71,S290 BUY Wasserstein Drift 10R,Return distribution drifted 0.94 MAD with signed median shift +0.95 MAD
2026-02-19T17:00:00+07:00,2026-02-19T17:30:00+07:00,SELL,4991.63,4996.59,4942.24,BE,-0.2,S290 SELL Wasserstein Drift 10R,Return distribution drifted 1.37 MAD with signed median shift -0.90 MAD
2026-02-19T17:40:00+07:00,2026-02-19T18:10:00+07:00,SELL,4988.74,4995.41,4922.47,SL,-6.87,S290 SELL Wasserstein Drift 10R,Return distribution drifted 1.43 MAD with signed median shift -1.09 MAD
2026-02-20T20:50:00+07:00,2026-02-20T21:00:00+07:00,BUY,5045.57,5040.5,5097.37,SL,-5.27,S290 BUY Wasserstein Drift 10R,Return distribution drifted 0.84 MAD with signed median shift +0.96 MAD
2026-02-27T18:55:00+07:00,2026-02-27T19:10:00+07:00,BUY,5185.67,5182.24,5219.21,BE,-0.2,S290 BUY Wasserstein Drift 10R,Return distribution drifted 0.81 MAD with signed median shift +0.87 MAD
2026-03-03T19:55:00+07:00,2026-03-03T20:00:00+07:00,BUY,5224.63,5207.48,5395.59,SL,-17.35,S290 BUY Wasserstein Drift 10R,Return distribution drifted 1.77 MAD with signed median shift +1.43 MAD
2026-03-10T20:20:00+07:00,2026-03-10T20:30:00+07:00,BUY,5221.61,5211.96,5317.46,SL,-9.85,S290 BUY Wasserstein Drift 10R,Return distribution drifted 0.92 MAD with signed median shift +1.12 MAD
2026-03-16T18:20:00+07:00,2026-03-16T18:45:00+07:00,BUY,5020.22,5011.31,5109.21,SL,-9.11,S290 BUY Wasserstein Drift 10R,Return distribution drifted 1.11 MAD with signed median shift +1.30 MAD
2026-03-18T18:40:00+07:00,2026-03-18T18:50:00+07:00,SELL,4939.17,4948.34,4847.58,BE,-0.2,S290 SELL Wasserstein Drift 10R,Return distribution drifted 2.28 MAD with signed median shift -1.43 MAD
2026-03-18T19:30:00+07:00,2026-03-18T19:55:00+07:00,SELL,4887.73,4903.04,4734.73,BE,-0.2,S290 SELL Wasserstein Drift 10R,Return distribution drifted 2.07 MAD with signed median shift -1.59 MAD
2026-03-25T20:35:00+07:00,2026-03-25T21:15:00+07:00,SELL,4558.0,4571.88,4417.99,BE,-0.2,S290 SELL Wasserstein Drift 10R,Return distribution drifted 1.72 MAD with signed median shift -0.99 MAD
2026-03-27T19:45:00+07:00,2026-03-27T20:00:00+07:00,BUY,4439.68,4432.83,4508.29,SL,-7.05,S290 BUY Wasserstein Drift 10R,Return distribution drifted 1.01 MAD with signed median shift +0.84 MAD
2026-04-01T17:50:00+07:00,2026-04-01T18:20:00+07:00,SELL,4723.49,4728.25,4671.7,BE,-0.2,S290 SELL Wasserstein Drift 10R,Return distribution drifted 1.02 MAD with signed median shift -1.02 MAD
2026-04-15T19:50:00+07:00,2026-04-15T20:00:00+07:00,BUY,4814.12,4808.61,4868.35,SL,-5.71,S290 BUY Wasserstein Drift 10R,Return distribution drifted 0.95 MAD with signed median shift +1.00 MAD
2026-04-17T20:35:00+07:00,2026-04-17T21:10:00+07:00,BUY,4822.71,4816.93,4878.97,TP,56.06,S290 BUY Wasserstein Drift 10R,Return distribution drifted 1.01 MAD with signed median shift +0.84 MAD
2026-04-23T17:00:00+07:00,2026-04-23T18:40:00+07:00,SELL,4696.85,4704.13,4624.93,BE,-0.2,S290 SELL Wasserstein Drift 10R,Return distribution drifted 0.82 MAD with signed median shift -0.87 MAD
2026-04-23T19:55:00+07:00,2026-04-23T22:00:00+07:00,BUY,4720.69,4713.57,4792.12,BE,-0.2,S290 BUY Wasserstein Drift 10R,Return distribution drifted 0.94 MAD with signed median shift +0.86 MAD
2026-04-29T18:00:00+07:00,2026-04-29T19:45:00+07:00,BUY,4562.33,4554.66,4638.82,BE,-0.2,S290 BUY Wasserstein Drift 10R,Return distribution drifted 1.20 MAD with signed median shift +1.18 MAD
2026-05-06T19:55:00+07:00,2026-05-06T21:00:00+07:00,SELL,4692.11,4698.79,4625.64,BE,-0.2,S290 SELL Wasserstein Drift 10R,Return distribution drifted 1.26 MAD with signed median shift -1.32 MAD
2026-05-07T20:40:00+07:00,2026-05-07T20:55:00+07:00,BUY,4751.24,4745.3,4810.31,SL,-6.14,S290 BUY Wasserstein Drift 10R,Return distribution drifted 0.75 MAD with signed median shift +0.88 MAD
2026-05-14T20:45:00+07:00,2026-05-14T21:15:00+07:00,BUY,4703.09,4695.54,4775.96,SL,-7.75,S290 BUY Wasserstein Drift 10R,Return distribution drifted 0.88 MAD with signed median shift +1.08 MAD
2026-05-21T17:10:00+07:00,2026-05-21T17:35:00+07:00,BUY,4537.84,4532.81,4587.81,SL,-5.23,S290 BUY Wasserstein Drift 10R,Return distribution drifted 1.04 MAD with signed median shift +1.64 MAD
2026-05-25T20:10:00+07:00,2026-05-25T20:30:00+07:00,SELL,4556.25,4561.54,4504.11,SL,-5.49,S290 SELL Wasserstein Drift 10R,Return distribution drifted 1.04 MAD with signed median shift -0.87 MAD
2026-05-27T19:25:00+07:00,2026-05-27T19:35:00+07:00,SELL,4440.91,4446.84,4381.72,BE,-0.2,S290 SELL Wasserstein Drift 10R,Return distribution drifted 1.17 MAD with signed median shift -1.02 MAD
2026-05-28T20:45:00+07:00,2026-05-29T00:15:00+07:00,BUY,4409.86,4401.21,4496.7,TP,86.64,S290 BUY Wasserstein Drift 10R,Return distribution drifted 0.91 MAD with signed median shift +1.15 MAD
2026-06-04T19:55:00+07:00,2026-06-04T20:00:00+07:00,BUY,4511.62,4503.39,4594.8,SL,-8.43,S290 BUY Wasserstein Drift 10R,Return distribution drifted 1.21 MAD with signed median shift +1.26 MAD
2026-06-04T20:20:00+07:00,2026-06-04T21:55:00+07:00,BUY,4497.66,4491.72,4556.29,BE,-0.2,S290 BUY Wasserstein Drift 10R,Return distribution drifted 1.30 MAD with signed median shift +0.86 MAD
2026-06-05T20:55:00+07:00,2026-06-05T21:15:00+07:00,SELL,4406.15,4420.68,4262.17,SL,-14.73,S290 SELL Wasserstein Drift 10R,Return distribution drifted 3.08 MAD with signed median shift -1.69 MAD
2026-06-08T17:05:00+07:00,2026-06-08T17:35:00+07:00,SELL,4285.3,4291.4,4224.41,BE,-0.2,S290 SELL Wasserstein Drift 10R,Return distribution drifted 1.21 MAD with signed median shift -0.90 MAD
2026-06-10T17:35:00+07:00,2026-06-10T18:45:00+07:00,SELL,4172.44,4180.05,4096.44,BE,-0.2,S290 SELL Wasserstein Drift 10R,Return distribution drifted 1.20 MAD with signed median shift -1.15 MAD
2026-06-11T17:25:00+07:00,2026-06-11T17:35:00+07:00,SELL,4079.47,4085.5,4019.28,SL,-6.23,S290 SELL Wasserstein Drift 10R,Return distribution drifted 0.98 MAD with signed median shift -0.90 MAD
2026-06-24T19:55:00+07:00,2026-06-25T02:00:00+07:00,SELL,4046.78,4055.27,3962.43,TP,84.15,S290 SELL Wasserstein Drift 10R,Return distribution drifted 0.92 MAD with signed median shift -1.02 MAD
2026-06-25T20:45:00+07:00,2026-06-25T21:30:00+07:00,BUY,4014.27,4002.95,4125.28,BE,-0.2,S290 BUY Wasserstein Drift 10R,Return distribution drifted 1.09 MAD with signed median shift +0.88 MAD
2026-06-29T17:50:00+07:00,2026-06-29T18:10:00+07:00,SELL,4034.44,4040.81,3971.06,BE,-0.2,S290 SELL Wasserstein Drift 10R,Return distribution drifted 0.79 MAD with signed median shift -0.93 MAD
2026-06-29T18:30:00+07:00,2026-06-29T19:30:00+07:00,SELL,4033.62,4038.86,3980.23,BE,-0.2,S290 SELL Wasserstein Drift 10R,Return distribution drifted 0.80 MAD with signed median shift -1.21 MAD
2026-07-01T18:30:00+07:00,2026-07-01T18:40:00+07:00,BUY,3991.33,3986.81,4036.43,SL,-4.72,S290 BUY Wasserstein Drift 10R,Return distribution drifted 0.86 MAD with signed median shift +1.00 MAD
2026-07-01T19:15:00+07:00,2026-07-01T20:05:00+07:00,BUY,4022.91,4014.8,4103.79,BE,-0.2,S290 BUY Wasserstein Drift 10R,Return distribution drifted 0.80 MAD with signed median shift +1.35 MAD
2026-07-06T17:25:00+07:00,2026-07-06T17:55:00+07:00,SELL,4143.54,4147.58,4104.02,BE,-0.2,S290 SELL Wasserstein Drift 10R,Return distribution drifted 0.85 MAD with signed median shift -0.86 MAD
2026-07-08T17:40:00+07:00,2026-07-08T18:15:00+07:00,SELL,4048.57,4055.0,3981.85,BE,-0.2,S290 SELL Wasserstein Drift 10R,Return distribution drifted 0.95 MAD with signed median shift -0.93 MAD
2026-07-09T17:05:00+07:00,2026-07-09T17:15:00+07:00,SELL,4106.64,4109.94,4073.53,SL,-3.5,S290 SELL Wasserstein Drift 10R,Return distribution drifted 0.77 MAD with signed median shift -1.06 MAD
2026-07-09T17:30:00+07:00,2026-07-09T19:15:00+07:00,SELL,4105.96,4110.31,4061.35,BE,-0.2,S290 SELL Wasserstein Drift 10R,Return distribution drifted 0.77 MAD with signed median shift -0.93 MAD
2026-07-10T20:30:00+07:00,2026-07-10T21:40:00+07:00,SELL,4101.94,4107.49,4046.55,BE,-0.2,S290 SELL Wasserstein Drift 10R,Return distribution drifted 1.25 MAD with signed median shift -1.01 MAD
2026-07-16T20:20:00+07:00,2026-07-17T23:50:00+07:00,SELL,4020.99,4029.8,3933.33,BE,-0.2,S290 SELL Wasserstein Drift 10R,Return distribution drifted 1.09 MAD with signed median shift -0.94 MAD
