timestamp,label,entry_tf,entry_pattern,confirmation_type,htf_tf,dd_control,trades,wr,total_pnl,avg_per_day_span,avg_per_day_active,trades_per_active_day,n_days_with_trades,span_days,days_hit_1000,max_dd_usd,max_dd_pct,lot_min,lot_max,risk_pct,final_equity,max_consec_loss,avg_r_multiple,profit_factor,skipped_by_circuit_breaker,ema_fast,pullback_touch_atr,engulf_min_ratio,pinbar_wick_ratio,confluence_bars,sl_atr_mult,tp_rr,htf_ema_period,htf_slope_bars,adx_min_threshold,consec_loss_trigger,reduced_risk_pct,cooldown_trades
2026-06-26 23:05:20,smoketest_ema,M5,ema_bounce,htf_trend,M15,none,254,54.3,238.82,23.88,18.37,19.5,13,10,0,254.24,21.41,0.01,0.03,1.0,1238.82,12,0.09,1.18,0,8,0.15,1.3,2.5,2,0.8,1.0,50,5,0.0,4,0.4,6
2026-06-26 23:05:34,smoketest_engulf,M5,engulfing,htf_trend,M15,none,71,62.0,193.53,19.35,16.13,5.9,12,10,0,93.58,9.35,0.01,0.02,1.0,1193.53,6,0.256,1.63,0,8,0.15,1.3,2.5,2,0.8,1.0,50,5,0.0,4,0.4,6
2026-06-26 23:05:37,smoketest_pinbar,M5,pinbar,htf_trend,M15,none,85,45.9,-109.89,-10.99,-9.16,7.1,12,10,0,170.56,16.79,0.01,0.03,1.0,890.11,9,-0.132,0.75,0,8,0.15,1.3,2.5,2,0.8,1.0,50,5,0.0,4,0.4,6
2026-06-26 23:05:40,smoketest_confl,M5,confluence,htf_trend,M15,none,182,53.3,96.95,9.7,8.08,15.2,12,10,0,270.74,27.07,0.01,0.02,1.0,1096.95,13,0.062,1.09,0,8,0.15,1.3,2.5,2,0.8,1.0,50,5,0.0,4,0.4,6
2026-06-26 23:05:43,smoketest_dyn,M5,ema_bounce,htf_trend,M15,dynamic_risk,272,52.2,165.57,16.56,13.8,22.7,12,10,0,318.61,31.33,0.01,0.02,1.0,1165.57,12,-0.031,1.13,0,8,0.15,1.3,2.5,2,0.8,1.0,50,5,0.0,4,0.4,6
2026-06-26 23:05:46,smoketest_cb,M5,ema_bounce,htf_trend,M15,circuit_breaker,206,56.8,318.93,31.89,26.58,17.2,12,10,0,214.27,21.07,0.01,0.03,1.0,1318.93,10,0.14,1.34,66,8,0.15,1.3,2.5,2,0.8,1.0,50,5,0.0,4,0.4,6
2026-06-26 23:06:58,grid001_emabounce_touch0.1_rr0.8,M5,ema_bounce,htf_trend,M15,none,724,60.8,787.47,26.25,22.5,20.7,35,30,0,194.61,14.9,0.01,0.04,1.0,1787.47,11,0.085,1.21,0,8,0.1,1.3,2.5,2,0.8,0.8,50,5,0.0,4,0.4,6
2026-06-26 23:06:59,grid002_emabounce_touch0.1_rr1.0,M5,ema_bounce,htf_trend,M15,none,724,55.9,1102.32,36.74,31.49,20.7,35,30,0,345.47,18.88,0.01,0.04,1.0,2102.32,14,0.108,1.23,0,8,0.1,1.3,2.5,2,0.8,1.0,50,5,0.0,4,0.4,6
2026-06-26 23:07:01,grid003_emabounce_touch0.1_rr1.5,M5,ema_bounce,htf_trend,M15,none,721,43.8,794.64,26.49,22.07,20.0,36,30,0,450.76,32.82,0.01,0.04,1.0,1794.64,20,0.09,1.15,0,8,0.1,1.3,2.5,2,0.8,1.5,50,5,0.0,4,0.4,6
2026-06-26 23:07:02,grid004_emabounce_touch0.15_rr0.8,M5,ema_bounce,htf_trend,M15,none,753,61.2,865.5,28.85,24.73,21.5,35,30,0,199.01,15.71,0.01,0.04,1.0,1865.5,12,0.087,1.22,0,8,0.15,1.3,2.5,2,0.8,0.8,50,5,0.0,4,0.4,6
