signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-01-23T19:15:00+07:00,2026-01-23T19:35:00+07:00,SELL,4931.11,4937.54,4862.96,SL,-6.63,S300 SELL Anderson-Darling Tail 10R,"Tail-sensitive return CDF AD=1.305397, tail-energy imbalance=-0.160814"
2026-01-23T20:15:00+07:00,2026-01-23T20:30:00+07:00,SELL,4937.02,4940.93,4897.81,BE,-0.2,S300 SELL Anderson-Darling Tail 10R,"Tail-sensitive return CDF AD=1.666250, tail-energy imbalance=-0.189845"
2026-01-23T20:35:00+07:00,2026-01-23T20:50:00+07:00,SELL,4930.27,4939.71,4836.53,SL,-9.64,S300 SELL Anderson-Darling Tail 10R,"Tail-sensitive return CDF AD=1.732877, tail-energy imbalance=-0.198645"
2026-02-17T18:00:00+07:00,2026-02-17T20:10:00+07:00,BUY,4919.27,4912.66,4985.48,BE,-0.2,S300 BUY Anderson-Darling Tail 10R,"Tail-sensitive return CDF AD=1.367617, tail-energy imbalance=0.179831"
2026-04-30T17:45:00+07:00,2026-04-30T21:35:00+07:00,BUY,4623.77,4617.86,4682.22,BE,-0.2,S300 BUY Anderson-Darling Tail 10R,"Tail-sensitive return CDF AD=1.757350, tail-energy imbalance=0.163125"
2026-05-11T20:50:00+07:00,2026-05-11T21:30:00+07:00,BUY,4692.93,4688.59,4736.55,TP,43.42,S300 BUY Anderson-Darling Tail 10R,"Tail-sensitive return CDF AD=1.726492, tail-energy imbalance=0.159204"
2026-06-05T20:55:00+07:00,2026-06-05T21:15:00+07:00,SELL,4406.15,4420.68,4262.17,SL,-14.73,S300 SELL Anderson-Darling Tail 10R,"Tail-sensitive return CDF AD=3.304312, tail-energy imbalance=-0.248708"
2026-06-25T20:45:00+07:00,2026-06-25T21:30:00+07:00,BUY,4014.27,4002.95,4125.28,BE,-0.2,S300 BUY Anderson-Darling Tail 10R,"Tail-sensitive return CDF AD=1.502269, tail-energy imbalance=0.205629"
2026-06-26T17:00:00+07:00,2026-06-26T22:10:00+07:00,BUY,4034.2,4029.29,4084.95,TP,50.55,S300 BUY Anderson-Darling Tail 10R,"Tail-sensitive return CDF AD=1.543177, tail-energy imbalance=0.200029"
2026-06-30T17:00:00+07:00,2026-06-30T17:30:00+07:00,BUY,4019.18,4014.28,4068.4,SL,-5.1,S300 BUY Anderson-Darling Tail 10R,"Tail-sensitive return CDF AD=1.565257, tail-energy imbalance=0.190403"
2026-06-30T17:35:00+07:00,2026-06-30T20:25:00+07:00,BUY,4016.0,4012.17,4054.19,BE,-0.2,S300 BUY Anderson-Darling Tail 10R,"Tail-sensitive return CDF AD=1.744597, tail-energy imbalance=0.203070"
