signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-01-19T17:15:00+07:00,2026-01-19T19:15:00+07:00,SELL,4667.58,4671.41,4564.39,BE,-0.2,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.082532, median shift=0.320130MAD"
2026-02-11T17:30:00+07:00,2026-02-11T17:35:00+07:00,SELL,5069.35,5073.3,4961.09,SL,-4.15,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.082532, median shift=0.642684MAD"
2026-02-12T19:35:00+07:00,2026-02-12T20:10:00+07:00,SELL,5063.74,5068.91,4938.96,BE,-0.2,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.082532, median shift=0.809177MAD"
2026-02-12T20:55:00+07:00,2026-02-17T21:00:00+07:00,SELL,5075.32,5084.22,4840.97,TP,234.15,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.226869, median shift=0.672417MAD"
2026-02-23T17:05:00+07:00,2026-02-23T17:15:00+07:00,SELL,5147.89,5152.93,5015.06,SL,-5.24,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.443376, median shift=1.028856MAD"
2026-02-24T18:05:00+07:00,2026-02-24T18:10:00+07:00,SELL,5173.63,5176.94,5088.48,SL,-3.51,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.154701, median shift=0.615448MAD"
2026-02-25T19:30:00+07:00,2026-02-25T19:40:00+07:00,SELL,5179.65,5185.29,5031.59,SL,-5.84,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.082532, median shift=0.747499MAD"
2026-03-10T20:40:00+07:00,2026-03-10T20:50:00+07:00,SELL,5209.29,5217.62,4992.66,BE,-0.2,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.515544, median shift=0.823481MAD"
2026-03-16T18:45:00+07:00,2026-03-16T19:15:00+07:00,SELL,5011.47,5018.63,4822.34,BE,-0.2,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.154701, median shift=0.984922MAD"
2026-03-17T18:30:00+07:00,2026-03-17T18:35:00+07:00,SELL,5004.4,5008.69,4888.29,SL,-4.49,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.010363, median shift=0.714388MAD"
2026-03-17T19:35:00+07:00,2026-03-17T20:05:00+07:00,SELL,5017.25,5024.25,4835.6,BE,-0.2,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.226869, median shift=0.687219MAD"
2026-03-27T17:30:00+07:00,2026-03-27T19:15:00+07:00,SELL,4426.98,4430.58,4330.38,BE,-0.2,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.226869, median shift=0.131618MAD"
2026-03-27T20:00:00+07:00,2026-03-27T20:45:00+07:00,SELL,4433.48,4444.41,4147.38,BE,-0.2,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.010363, median shift=0.599199MAD"
2026-03-31T20:40:00+07:00,2026-03-31T21:00:00+07:00,SELL,4579.18,4586.93,4375.08,BE,-0.2,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.010363, median shift=0.551839MAD"
2026-04-09T18:55:00+07:00,2026-04-09T19:25:00+07:00,SELL,4741.12,4747.12,4585.23,SL,-6.2,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.154701, median shift=0.554025MAD"
2026-04-13T19:05:00+07:00,2026-04-13T20:50:00+07:00,SELL,4722.89,4729.43,4551.16,BE,-0.2,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.010363, median shift=0.514440MAD"
2026-04-15T20:00:00+07:00,2026-04-15T20:15:00+07:00,SELL,4809.54,4814.62,4676.48,SL,-5.28,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.299038, median shift=0.917765MAD"
2026-04-20T20:50:00+07:00,2026-04-20T21:05:00+07:00,SELL,4803.45,4808.13,4680.09,SL,-4.88,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.082532, median shift=1.077903MAD"
2026-04-21T19:50:00+07:00,2026-04-21T21:45:00+07:00,SELL,4793.79,4797.31,4705.58,BE,-0.2,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.082532, median shift=1.015516MAD"
2026-04-23T20:45:00+07:00,2026-04-23T20:55:00+07:00,SELL,4735.32,4742.83,4536.98,SL,-7.71,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.154701, median shift=1.145278MAD"
2026-04-27T18:05:00+07:00,2026-04-27T18:20:00+07:00,SELL,4703.65,4707.16,4615.43,BE,-0.2,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.082532, median shift=0.717768MAD"
2026-04-27T20:20:00+07:00,2026-04-28T17:20:00+07:00,SELL,4709.23,4712.89,4613.79,TP,95.24,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.082532, median shift=0.438748MAD"
2026-04-29T17:35:00+07:00,2026-04-29T18:05:00+07:00,SELL,4564.62,4570.2,4418.41,BE,-0.2,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.226869, median shift=0.853500MAD"
2026-04-29T18:35:00+07:00,2026-04-29T18:50:00+07:00,SELL,4570.53,4574.98,4453.76,BE,-0.2,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.226869, median shift=0.647207MAD"
2026-05-01T20:40:00+07:00,2026-05-01T21:30:00+07:00,SELL,4591.93,4600.59,4363.08,SL,-8.86,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.010363, median shift=0.824257MAD"
2026-05-05T20:15:00+07:00,2026-05-05T20:20:00+07:00,SELL,4561.96,4567.04,4428.62,SL,-5.28,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.154701, median shift=1.020850MAD"
2026-05-08T17:05:00+07:00,2026-05-08T17:15:00+07:00,SELL,4715.99,4720.72,4591.86,SL,-4.93,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.010363, median shift=0.724292MAD"
2026-05-11T20:00:00+07:00,2026-05-11T20:20:00+07:00,SELL,4671.16,4676.23,4538.09,SL,-5.27,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.154701, median shift=0.295367MAD"
2026-05-18T19:45:00+07:00,2026-05-18T20:30:00+07:00,SELL,4555.35,4565.2,4296.56,BE,-0.2,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.226869, median shift=0.290193MAD"
2026-05-21T17:20:00+07:00,2026-05-22T01:15:00+07:00,SELL,4537.38,4542.9,4391.93,BE,-0.2,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.443376, median shift=1.361636MAD"
2026-05-22T20:05:00+07:00,2026-05-22T20:10:00+07:00,SELL,4519.97,4523.42,4430.05,SL,-3.65,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.299038, median shift=0.539185MAD"
2026-05-26T18:50:00+07:00,2026-05-28T11:35:00+07:00,SELL,4534.74,4540.9,4371.09,TP,163.45,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.226869, median shift=0.551018MAD"
2026-06-01T18:50:00+07:00,2026-06-01T19:15:00+07:00,SELL,4507.32,4511.28,4403.44,BE,-0.2,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.226869, median shift=0.908691MAD"
2026-06-02T19:00:00+07:00,2026-06-02T20:20:00+07:00,SELL,4531.25,4534.95,4430.39,BE,-0.2,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.082532, median shift=1.021412MAD"
2026-06-04T20:55:00+07:00,2026-06-04T21:35:00+07:00,SELL,4504.19,4510.71,4331.62,SL,-6.72,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.082532, median shift=1.123772MAD"
2026-06-05T20:45:00+07:00,2026-06-10T09:05:00+07:00,SELL,4440.23,4449.61,4193.26,TP,246.77,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.010363, median shift=0.034852MAD"
2026-06-10T19:15:00+07:00,2026-06-10T19:30:00+07:00,SELL,4164.83,4172.36,3968.7,BE,-0.2,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.299038, median shift=1.018786MAD"
2026-06-18T20:30:00+07:00,2026-06-18T20:40:00+07:00,SELL,4250.23,4259.03,4015.78,BE,-0.2,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.010363, median shift=1.054993MAD"
2026-06-30T18:15:00+07:00,2026-06-30T18:25:00+07:00,SELL,4024.05,4027.57,3930.38,SL,-3.72,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.082532, median shift=0.455817MAD"
2026-07-01T18:35:00+07:00,2026-07-01T18:55:00+07:00,SELL,3989.68,3994.67,3859.8,SL,-5.19,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.082532, median shift=0.830530MAD"
2026-07-01T19:30:00+07:00,2026-07-01T19:40:00+07:00,SELL,4024.5,4028.75,3910.81,SL,-4.45,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.371207, median shift=1.121153MAD"
2026-07-01T20:00:00+07:00,2026-07-01T21:15:00+07:00,SELL,4024.29,4034.44,3756.52,BE,-0.2,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.154701, median shift=1.419310MAD"
2026-07-06T19:00:00+07:00,2026-07-06T19:15:00+07:00,SELL,4152.37,4156.63,4040.6,SL,-4.46,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.154701, median shift=0.670312MAD"
2026-07-06T19:25:00+07:00,2026-07-07T00:50:00+07:00,SELL,4154.95,4159.8,4027.66,BE,-0.2,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.082532, median shift=0.430828MAD"
2026-07-07T20:15:00+07:00,2026-07-07T20:50:00+07:00,SELL,4168.93,4175.54,3995.35,BE,-0.2,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.154701, median shift=0.528821MAD"
2026-07-10T18:30:00+07:00,2026-07-10T19:40:00+07:00,SELL,4106.88,4110.85,4001.37,BE,-0.2,S302 SELL KS Break Rejection 26.3R,"Rejected KS distribution break KSz=1.010363, median shift=0.566391MAD"
