signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2025-07-24T04:50:00+07:00,2025-07-24T06:05:00+07:00,SELL,3387.97,3389.2,3375.89,BE,-0.2,S304 SELL Rollover Drive+HTF 10R,Drive out of 2.01 micro range at rollover; risk=1.21
2025-07-25T04:40:00+07:00,2025-07-25T06:55:00+07:00,SELL,3368.4,3369.92,3353.42,BE,-0.2,S304 SELL Rollover Drive+HTF 10R,Drive out of 2.23 micro range at rollover; risk=1.50
2025-08-01T04:45:00+07:00,2025-08-01T06:15:00+07:00,SELL,3290.59,3292.04,3275.87,SL,-1.65,S304 SELL Rollover Drive+HTF 10R,Drive out of 2.93 micro range at rollover; risk=1.47
2025-08-13T04:40:00+07:00,2025-08-13T04:55:00+07:00,BUY,3349.33,3347.71,3365.09,SL,-1.82,S304 BUY Rollover Drive+HTF 10R,Drive out of 2.48 micro range at rollover; risk=1.58
2025-08-27T04:30:00+07:00,2025-08-27T06:05:00+07:00,BUY,3391.04,3390.0,3401.34,BE,-0.2,S304 BUY Rollover Drive+HTF 10R,Drive out of 1.72 micro range at rollover; risk=1.03
2025-08-28T04:50:00+07:00,2025-08-28T06:15:00+07:00,BUY,3397.37,3396.08,3411.05,SL,-1.49,S304 BUY Rollover Drive+HTF 10R,Drive out of 2.38 micro range at rollover; risk=1.36
2025-09-04T04:35:00+07:00,2025-09-04T06:20:00+07:00,SELL,3561.56,3564.02,3537.07,BE,-0.2,S304 SELL Rollover Drive+HTF 10R,Drive out of 4.22 micro range at rollover; risk=2.45
2025-09-06T04:45:00+07:00,2025-09-08T06:05:00+07:00,SELL,3587.17,3590.05,3562.33,SL,-3.08,S304 SELL Rollover Drive+HTF 10R,Drive out of 3.74 micro range at rollover; risk=2.52
2025-09-11T04:35:00+07:00,2025-09-11T04:50:00+07:00,SELL,3638.55,3640.37,3619.25,SL,-2.02,S304 SELL Rollover Drive+HTF 10R,Drive out of 3.36 micro range at rollover; risk=1.92
2025-09-12T04:30:00+07:00,2025-09-12T06:05:00+07:00,SELL,3633.79,3635.52,3616.27,SL,-1.93,S304 SELL Rollover Drive+HTF 10R,Drive out of 2.80 micro range at rollover; risk=1.75
2025-09-13T04:05:00+07:00,2025-09-15T06:05:00+07:00,SELL,3642.63,3644.58,3622.8,SL,-2.15,S304 SELL Rollover Drive+HTF 10R,Drive out of 3.31 micro range at rollover; risk=1.98
2025-09-17T04:05:00+07:00,2025-09-17T04:45:00+07:00,BUY,3691.95,3690.11,3710.57,BE,-0.2,S304 BUY Rollover Drive+HTF 10R,Drive out of 3.02 micro range at rollover; risk=1.86
2025-09-26T04:45:00+07:00,2025-09-26T04:55:00+07:00,BUY,3752.15,3750.44,3768.92,SL,-1.91,S304 BUY Rollover Drive+HTF 10R,Drive out of 3.08 micro range at rollover; risk=1.68
2025-09-27T04:40:00+07:00,2025-09-29T06:05:00+07:00,SELL,3762.68,3764.99,3739.47,SL,-2.51,S304 SELL Rollover Drive+HTF 10R,Drive out of 4.63 micro range at rollover; risk=2.32
2025-09-30T04:40:00+07:00,2025-09-30T06:05:00+07:00,BUY,3830.73,3827.94,3858.52,BE,-0.2,S304 BUY Rollover Drive+HTF 10R,Drive out of 2.48 micro range at rollover; risk=2.78
2025-10-02T04:05:00+07:00,2025-10-02T06:05:00+07:00,SELL,3861.43,3865.11,3823.42,SL,-3.88,S304 SELL Rollover Drive+HTF 10R,Drive out of 7.55 micro range at rollover; risk=3.79
2025-10-03T04:05:00+07:00,2025-10-03T04:40:00+07:00,BUY,3858.3,3855.2,3889.42,SL,-3.3,S304 BUY Rollover Drive+HTF 10R,Drive out of 5.05 micro range at rollover; risk=3.11
2025-10-08T04:20:00+07:00,2025-10-08T10:55:00+07:00,BUY,3982.89,3980.07,4011.2,TP,28.11,S304 BUY Rollover Drive+HTF 10R,Drive out of 3.33 micro range at rollover; risk=2.83
2025-10-09T04:35:00+07:00,2025-10-09T04:45:00+07:00,SELL,4038.98,4042.88,3999.86,SL,-4.1,S304 SELL Rollover Drive+HTF 10R,Drive out of 7.08 micro range at rollover; risk=3.91
2025-10-11T04:50:00+07:00,2025-10-13T06:05:00+07:00,BUY,4012.99,4010.48,4104.32,SL,-2.71,S304 BUY Rollover Drive+HTF 10R,Drive out of 7.59 micro range at rollover; risk=8.53
2025-10-17T04:45:00+07:00,2025-10-17T09:15:00+07:00,BUY,4324.84,4317.47,4397.22,BE,-0.2,S304 BUY Rollover Drive+HTF 10R,Drive out of 8.87 micro range at rollover; risk=7.25
2025-10-18T04:25:00+07:00,2025-10-20T06:30:00+07:00,BUY,4245.83,4236.39,4339.9,BE,-0.2,S304 BUY Rollover Drive+HTF 10R,Drive out of 20.53 micro range at rollover; risk=9.41
2025-11-04T04:05:00+07:00,2025-11-04T13:05:00+07:00,SELL,4006.21,4010.14,3967.13,TP,38.88,S304 SELL Rollover Drive+HTF 10R,Drive out of 5.09 micro range at rollover; risk=3.91
2025-11-06T04:50:00+07:00,2025-11-06T09:00:00+07:00,SELL,3979.2,3982.54,3947.12,BE,-0.2,S304 SELL Rollover Drive+HTF 10R,Drive out of 2.68 micro range at rollover; risk=3.22
2025-11-11T04:45:00+07:00,2025-11-11T10:10:00+07:00,BUY,4115.8,4113.24,4141.74,TP,25.74,S304 BUY Rollover Drive+HTF 10R,Drive out of 3.74 micro range at rollover; risk=2.59
2025-11-15T04:35:00+07:00,2025-11-15T04:50:00+07:00,SELL,4078.47,4084.46,4018.78,SL,-6.19,S304 SELL Rollover Drive+HTF 10R,Drive out of 8.99 micro range at rollover; risk=5.97
2025-11-19T04:15:00+07:00,2025-11-19T06:05:00+07:00,SELL,4066.47,4070.69,4024.16,SL,-4.42,S304 SELL Rollover Drive+HTF 10R,Drive out of 5.70 micro range at rollover; risk=4.23
