signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2025-07-24T04:50:00+07:00,2025-07-24T06:05:00+07:00,SELL,3387.97,3389.2,3375.89,BE,-0.2,S306 SELL Controlled Rollover 10R,Drive out of 2.01 micro range at rollover; median-volume=1.02x; risk=1.21; body/range=0.67
2025-07-25T04:40:00+07:00,2025-07-25T06:55:00+07:00,SELL,3368.4,3369.92,3353.42,BE,-0.2,S306 SELL Controlled Rollover 10R,Drive out of 2.23 micro range at rollover; median-volume=0.94x; risk=1.50; body/range=0.69
2025-09-04T04:35:00+07:00,2025-09-04T06:20:00+07:00,SELL,3561.56,3564.02,3537.07,BE,-0.2,S306 SELL Controlled Rollover 10R,Drive out of 4.22 micro range at rollover; median-volume=1.09x; risk=2.45; body/range=0.78
2025-09-11T04:35:00+07:00,2025-09-11T04:50:00+07:00,SELL,3638.55,3640.37,3619.25,SL,-2.02,S306 SELL Controlled Rollover 10R,Drive out of 3.36 micro range at rollover; median-volume=1.04x; risk=1.92; body/range=0.84
2025-09-26T04:45:00+07:00,2025-09-26T04:55:00+07:00,BUY,3752.15,3750.44,3768.92,SL,-1.91,S306 BUY Controlled Rollover 10R,Drive out of 3.08 micro range at rollover; median-volume=1.05x; risk=1.68; body/range=0.72
2025-09-30T04:40:00+07:00,2025-09-30T06:05:00+07:00,BUY,3830.73,3827.94,3858.52,BE,-0.2,S306 BUY Controlled Rollover 10R,Drive out of 2.48 micro range at rollover; median-volume=1.41x; risk=2.78; body/range=0.64
2025-10-08T04:40:00+07:00,2025-10-08T10:50:00+07:00,BUY,3984.05,3981.64,4008.04,TP,23.79,S306 BUY Controlled Rollover 10R,Drive out of 3.14 micro range at rollover; median-volume=1.01x; risk=2.40; body/range=0.75
2025-10-11T04:50:00+07:00,2025-10-13T06:05:00+07:00,BUY,4012.99,4010.48,4104.32,SL,-2.71,S306 BUY Controlled Rollover 10R,Drive out of 7.59 micro range at rollover; median-volume=2.33x; risk=8.53; body/range=0.87
2025-10-17T04:45:00+07:00,2025-10-17T09:15:00+07:00,BUY,4324.84,4317.47,4397.22,BE,-0.2,S306 BUY Controlled Rollover 10R,Drive out of 8.87 micro range at rollover; median-volume=1.37x; risk=7.25; body/range=0.85
2025-11-11T04:45:00+07:00,2025-11-11T10:10:00+07:00,BUY,4115.8,4113.24,4141.74,TP,25.74,S306 BUY Controlled Rollover 10R,Drive out of 3.74 micro range at rollover; median-volume=0.93x; risk=2.59; body/range=0.79
2025-12-04T04:50:00+07:00,2025-12-04T06:00:00+07:00,SELL,4203.37,4207.2,4164.63,SL,-4.03,S306 SELL Controlled Rollover 10R,Drive out of 4.13 micro range at rollover; median-volume=1.17x; risk=3.87; body/range=0.76
2025-12-12T04:20:00+07:00,2025-12-12T06:25:00+07:00,BUY,4277.78,4274.23,4309.98,BE,-0.2,S306 BUY Controlled Rollover 10R,Drive out of 5.20 micro range at rollover; median-volume=1.12x; risk=3.25; body/range=0.67
2026-01-03T04:50:00+07:00,2026-01-05T06:00:00+07:00,BUY,4333.01,4330.26,4360.95,TP,27.74,S306 BUY Controlled Rollover 10R,Drive out of 4.11 micro range at rollover; median-volume=1.47x; risk=2.79; body/range=0.85
2026-01-06T04:45:00+07:00,2026-01-06T06:30:00+07:00,BUY,4448.42,4445.06,4481.91,BE,-0.2,S306 BUY Controlled Rollover 10R,Drive out of 5.15 micro range at rollover; median-volume=1.04x; risk=3.35; body/range=0.72
2026-01-08T04:50:00+07:00,2026-01-08T07:25:00+07:00,BUY,4455.88,4452.52,4490.58,BE,-0.2,S306 BUY Controlled Rollover 10R,Drive out of 3.26 micro range at rollover; median-volume=1.21x; risk=3.46; body/range=0.86
