signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2025-07-01T15:00:00+07:00,2025-07-01T15:10:00+07:00,BUY,3341.57,3338.56,3367.35,BE,-0.2,S334 BUY Semivariance Rotation 8.5R,"semivariance 0.6079->0.7469, jump=0.1390, asymmetry=0.4939, largest=0.1711"
2025-07-01T22:50:00+07:00,2025-07-01T23:00:00+07:00,SELL,3338.27,3341.83,3307.91,BE,-0.2,S334 SELL Semivariance Rotation 8.5R,"semivariance 0.4676->0.7375, jump=0.2699, asymmetry=0.4751, largest=0.2480"
2025-07-02T17:35:00+07:00,2025-07-02T17:45:00+07:00,BUY,3344.9,3343.09,3359.81,BE,-0.2,S334 BUY Semivariance Rotation 8.5R,"semivariance 0.5891->0.7352, jump=0.1462, asymmetry=0.4705, largest=0.1540"
2025-07-03T16:40:00+07:00,2025-07-03T16:50:00+07:00,SELL,3344.93,3347.76,3320.68,BE,-0.2,S334 SELL Semivariance Rotation 8.5R,"semivariance 0.3580->0.6922, jump=0.3342, asymmetry=0.3843, largest=0.2651"
2025-07-04T17:20:00+07:00,2025-07-04T17:30:00+07:00,SELL,3333.73,3336.44,3311.26,BE,-0.2,S334 SELL Semivariance Rotation 8.5R,"semivariance 0.4473->0.7763, jump=0.3290, asymmetry=0.5526, largest=0.3116"
2025-07-07T17:35:00+07:00,2025-07-07T17:45:00+07:00,BUY,3308.53,3306.02,3329.77,BE,-0.2,S334 BUY Semivariance Rotation 8.5R,"semivariance 0.4976->0.7391, jump=0.2414, asymmetry=0.4781, largest=0.3309"
2025-07-08T16:45:00+07:00,2025-07-08T16:55:00+07:00,SELL,3324.38,3327.25,3300.45,BE,-0.2,S334 SELL Semivariance Rotation 8.5R,"semivariance 0.4606->0.7634, jump=0.3028, asymmetry=0.5268, largest=0.2187"
2025-07-08T22:05:00+07:00,2025-07-09T01:20:00+07:00,SELL,3308.3,3313.21,3266.66,BE,-0.2,S334 SELL Semivariance Rotation 8.5R,"semivariance 0.5906->0.8278, jump=0.2371, asymmetry=0.6555, largest=0.3399"
2025-07-09T21:30:00+07:00,2025-07-09T21:35:00+07:00,BUY,3298.21,3294.65,3329.33,SL,-3.76,S334 BUY Semivariance Rotation 8.5R,"semivariance 0.4540->0.8400, jump=0.3860, asymmetry=0.6801, largest=0.2057"
2025-07-14T21:05:00+07:00,2025-07-14T21:10:00+07:00,SELL,3349.76,3353.2,3320.42,SL,-3.64,S334 SELL Semivariance Rotation 8.5R,"semivariance 0.3385->0.8084, jump=0.4699, asymmetry=0.6167, largest=0.3297"
2025-07-15T20:05:00+07:00,2025-07-15T20:15:00+07:00,SELL,3352.74,3354.46,3338.31,BE,-0.2,S334 SELL Semivariance Rotation 8.5R,"semivariance 0.4803->0.9558, jump=0.4755, asymmetry=0.9115, largest=0.2296"
2025-07-17T22:25:00+07:00,2025-07-21T13:10:00+07:00,BUY,3330.25,3326.57,3361.44,TP,30.99,S334 BUY Semivariance Rotation 8.5R,"semivariance 0.2396->0.6904, jump=0.4507, asymmetry=0.3807, largest=0.1447"
2025-07-21T20:20:00+07:00,2025-07-22T20:40:00+07:00,BUY,3380.89,3378.08,3405.25,TP,24.16,S334 BUY Semivariance Rotation 8.5R,"semivariance 0.5026->0.9078, jump=0.4051, asymmetry=0.8155, largest=0.2033"
