signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-01-19T06:10:00+07:00,2026-01-19T09:00:00+07:00,BUY,4654.24,4644.25,4724.57,BE,-0.2,S419 BUY Orochi BREAKOUT@VAH 7R,BREAKOUT@VAH val=4578.55 vah=4604.66 poc=4586.38 vwap=4589.21
2026-01-19T10:05:00+07:00,2026-01-19T10:15:00+07:00,BUY,4667.43,4661.09,4712.13,BE,-0.2,S419 BUY Orochi BREAKOUT@VAH 7R,BREAKOUT@VAH val=4580.17 vah=4663.01 poc=4587.07 vwap=4627.45
2026-01-19T13:35:00+07:00,2026-01-19T13:50:00+07:00,BUY,4674.27,4668.74,4714.26,BE,-0.2,S419 BUY Orochi BREAKOUT@VAH 7R,BREAKOUT@VAH val=4657.63 vah=4674.12 poc=4663.82 vwap=4663.86
2026-01-19T13:55:00+07:00,2026-01-19T14:10:00+07:00,BUY,4678.19,4673.31,4712.35,SL,-5.08,S419 BUY Orochi BREAKOUT@VAH 7R,BREAKOUT@VAH val=4658.56 vah=4674.59 poc=4660.57 vwap=4665.57
2026-01-19T16:15:00+07:00,2026-01-19T16:20:00+07:00,BUY,4671.59,4668.08,4696.0,SL,-3.71,S419 BUY Orochi BREAKOUT@VAH 7R,BREAKOUT@VAH val=4659.69 vah=4670.42 poc=4663.45 vwap=4665.25
2026-01-19T18:50:00+07:00,2026-01-19T19:00:00+07:00,SELL,4663.2,4666.88,4637.28,BE,-0.2,S419 SELL Orochi BREAKOUT@VAL 7R,BREAKOUT@VAL val=4663.34 vah=4672.05 poc=4669.00 vwap=4667.58
2026-01-19T19:40:00+07:00,2026-01-19T19:50:00+07:00,BUY,4671.64,4669.56,4686.28,BE,-0.2,S419 BUY Orochi BREAKOUT@VAH 7R,BREAKOUT@VAH val=4662.79 vah=4670.90 poc=4668.87 vwap=4668.04
2026-01-19T22:55:00+07:00,2026-01-19T23:05:00+07:00,BUY,4674.25,4670.33,4701.77,BE,-0.2,S419 BUY Orochi BREAKOUT@VAH 7R,BREAKOUT@VAH val=4664.11 vah=4671.09 poc=4666.96 vwap=4667.58
2026-01-19T23:10:00+07:00,2026-01-19T23:15:00+07:00,BUY,4672.43,4671.48,4679.32,SL,-1.15,S419 BUY Orochi BREAKOUT@VAH 7R,BREAKOUT@VAH val=4663.78 vah=4671.31 poc=4668.92 vwap=4667.76
2026-01-19T23:20:00+07:00,2026-01-19T23:30:00+07:00,BUY,4671.94,4669.72,4687.32,BE,-0.2,S419 BUY Orochi BREAKOUT@VAH 7R,BREAKOUT@VAH val=4663.78 vah=4671.31 poc=4666.86 vwap=4667.77
