signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-05-19T03:50:00+07:00,2026-05-19T04:30:00+07:00,BUY,4562.44,4556.29,4604.85,BE,-0.2,S419 BUY Orochi BREAKOUT@VAH 7R,BREAKOUT@VAH val=4527.97 vah=4558.24 poc=4543.10 vwap=4541.35
2026-05-19T04:35:00+07:00,2026-05-19T04:55:00+07:00,BUY,4562.64,4560.71,4576.07,BE,-0.2,S419 BUY Orochi BREAKOUT@VAH 7R,BREAKOUT@VAH val=4527.97 vah=4558.24 poc=4543.10 vwap=4541.35
2026-05-19T06:05:00+07:00,2026-05-19T06:20:00+07:00,BUY,4571.92,4566.11,4611.95,BE,-0.2,S419 BUY Orochi BREAKOUT@VAH 7R,BREAKOUT@VAH val=4527.97 vah=4558.24 poc=4543.10 vwap=4541.35
2026-05-19T06:25:00+07:00,2026-05-19T06:35:00+07:00,BUY,4572.89,4570.3,4591.26,BE,-0.2,S419 BUY Orochi BREAKOUT@VAH 7R,BREAKOUT@VAH val=4527.97 vah=4558.24 poc=4543.10 vwap=4541.35
2026-05-19T06:40:00+07:00,2026-05-19T08:15:00+07:00,BUY,4576.65,4572.07,4608.39,BE,-0.2,S419 BUY Orochi BREAKOUT@VAH 7R,BREAKOUT@VAH val=4527.97 vah=4558.24 poc=4543.10 vwap=4541.35
2026-05-19T08:20:00+07:00,2026-05-19T08:25:00+07:00,BUY,4574.85,4572.52,4591.32,SL,-2.53,S419 BUY Orochi BREAKOUT@VAH 7R,BREAKOUT@VAH val=4527.97 vah=4558.24 poc=4543.10 vwap=4541.35
2026-05-19T08:30:00+07:00,2026-05-19T08:50:00+07:00,BUY,4574.91,4567.48,4627.24,SL,-7.63,S419 BUY Orochi BREAKOUT@VAH 7R,BREAKOUT@VAH val=4527.97 vah=4558.24 poc=4543.10 vwap=4541.35
2026-05-19T08:55:00+07:00,2026-05-19T09:00:00+07:00,BUY,4563.02,4559.87,4587.95,SL,-3.35,S419 BUY Orochi BREAKOUT@VAH 7R,BREAKOUT@VAH val=4527.97 vah=4558.24 poc=4543.10 vwap=4541.35
2026-05-19T09:05:00+07:00,2026-05-19T09:15:00+07:00,BUY,4564.37,4556.05,4623.49,BE,-0.2,S419 BUY Orochi BREAKOUT@VAH 7R,BREAKOUT@VAH val=4527.97 vah=4558.24 poc=4543.10 vwap=4541.35
2026-05-19T09:30:00+07:00,2026-05-19T09:50:00+07:00,BUY,4561.52,4553.63,4618.03,BE,-0.2,S419 BUY Orochi BREAKOUT@VAH 7R,BREAKOUT@VAH val=4527.97 vah=4558.24 poc=4543.10 vwap=4541.35
2026-05-19T09:55:00+07:00,2026-05-19T10:00:00+07:00,BUY,4563.87,4559.88,4592.12,SL,-4.19,S419 BUY Orochi BREAKOUT@VAH 7R,BREAKOUT@VAH val=4527.97 vah=4558.24 poc=4543.10 vwap=4541.35
2026-05-19T21:10:00+07:00,2026-05-19T21:25:00+07:00,SELL,4524.38,4528.21,4497.25,TP,26.93,S419 SELL Orochi BREAKOUT@VAL 7R,BREAKOUT@VAL val=4532.57 vah=4554.69 poc=4541.17 vwap=4548.11
2026-05-19T21:35:00+07:00,2026-05-19T21:50:00+07:00,SELL,4483.32,4498.15,4379.59,BE,-0.2,S419 SELL Orochi BREAKOUT@VAL 7R,BREAKOUT@VAL val=4532.57 vah=4554.69 poc=4541.17 vwap=4548.60
