signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2025-07-18T10:15:00+07:00,2025-07-18T10:25:00+07:00,BUY,3343.55,3340.1,3367.3,BE,-0.2,S419 BUY Orochi BREAKOUT@VAH 7R,BREAKOUT@VAH val=3336.81 vah=3340.72 poc=3339.48 vwap=3339.23
2025-07-18T12:00:00+07:00,2025-07-18T12:15:00+07:00,SELL,3335.36,3336.55,3326.95,BE,-0.2,S419 SELL Orochi BREAKOUT@VAL 7R,BREAKOUT@VAL val=3337.04 vah=3341.66 poc=3339.77 vwap=3339.31
2025-07-18T13:55:00+07:00,2025-07-18T14:05:00+07:00,SELL,3333.51,3336.15,3315.35,BE,-0.2,S419 SELL Orochi BREAKOUT@VAL 7R,BREAKOUT@VAL val=3335.12 vah=3340.74 poc=3339.23 vwap=3338.62
2025-07-18T17:10:00+07:00,2025-07-18T17:25:00+07:00,BUY,3351.97,3348.77,3375.01,BE,-0.2,S419 BUY Orochi BREAKOUT@VAH 7R,BREAKOUT@VAH val=3333.71 vah=3343.17 poc=3336.08 vwap=3340.19
2025-07-18T18:00:00+07:00,2025-07-18T18:05:00+07:00,BUY,3349.67,3348.62,3356.94,SL,-1.25,S419 BUY Orochi BREAKOUT@VAH 7R,BREAKOUT@VAH val=3332.78 vah=3346.23 poc=3336.14 vwap=3341.69
2025-07-18T18:15:00+07:00,2025-07-18T18:20:00+07:00,BUY,3349.92,3349.3,3354.74,SL,-0.82,S419 BUY Orochi BREAKOUT@VAH 7R,BREAKOUT@VAH val=3332.78 vah=3348.15 poc=3336.14 vwap=3342.09
2025-07-18T19:00:00+07:00,2025-07-18T19:10:00+07:00,BUY,3352.45,3349.44,3374.48,BE,-0.2,S419 BUY Orochi BREAKOUT@VAH 7R,BREAKOUT@VAH val=3332.78 vah=3349.11 poc=3336.14 vwap=3342.85
2025-07-18T19:25:00+07:00,2025-07-18T20:40:00+07:00,BUY,3352.94,3351.87,3360.51,TP,7.37,S419 BUY Orochi BREAKOUT@VAH 7R,BREAKOUT@VAH val=3332.78 vah=3350.07 poc=3336.14 vwap=3343.62
2025-07-19T03:45:00+07:00,2025-07-19T04:00:00+07:00,SELL,3348.78,3349.99,3340.39,BE,-0.2,S419 SELL Orochi BREAKOUT@VAL 7R,BREAKOUT@VAL val=3350.95 vah=3356.92 poc=3353.93 vwap=3354.83
2025-07-21T07:25:00+07:00,2025-07-21T07:35:00+07:00,SELL,3346.48,3347.24,3340.92,BE,-0.2,S419 SELL Orochi BREAKOUT@VAL 7R,BREAKOUT@VAL val=3350.75 vah=3355.41 poc=3354.11 vwap=3352.44
