timestamp,label,entry_tf,trend_lookback,pivot_lookback,level_lookback,level_mode,cover_mode,min_body_atr,max_body_atr,min_body_ratio,first_wave_bars,sl_atr_mult,tp_rr,trades,wr,avg_per_day_span,max_dd_pct,profit_factor,fixed_per_day,fixed_per_month,fixed_pf,fixed_avg,pct_pos_days,max_losing_day_streak,sharpe_like
2026-07-02 16:57:34,baseline_allin4s_v1,M5,10,8,48,sweep_or_round,wick,0.12,1.8,0.35,12,0.45,1.2,225,48.9,3.57,8.89,1.34,1.94,58.1,1.106,0.775,48.3,7,0.074
2026-07-02 16:59:12,robust_A_M15_sweep_wick,M15,8,8,60,sweep,wick,0.1,1.8,0.3,12,0.35,0.9,14,50.0,-0.41,4.89,0.0,0.06,1.82,1.071,0.519,53.8,4,0.037
2026-07-02 16:59:14,robust_A_M15_sweep_wick,M15,8,8,60,sweep,wick,0.1,1.8,0.3,12,0.35,0.9,18,50.0,-0.32,5.52,0.24,0.05,1.6,1.068,0.443,52.9,4,0.034
2026-07-02 16:59:15,robust_A_M15_sweep_wick,M15,8,8,60,sweep,wick,0.1,1.8,0.3,12,0.35,0.9,25,52.0,-0.4,13.96,0.6,-0.39,-11.6,0.694,-2.784,52.2,4,-0.151
2026-07-02 16:59:17,robust_B_M15_sweep_body,M15,8,8,60,sweep,body,0.1,1.8,0.3,12,0.35,0.9,27,59.3,0.33,4.25,1.4,0.47,14.04,1.316,2.079,63.6,3,0.134
2026-07-02 16:59:18,robust_B_M15_sweep_body,M15,8,8,60,sweep,body,0.1,1.8,0.3,12,0.35,0.9,33,57.6,0.36,5.96,1.42,0.36,10.73,1.267,1.625,59.3,3,0.114
2026-07-02 16:59:20,robust_B_M15_sweep_body,M15,8,8,60,sweep,body,0.1,1.8,0.3,12,0.35,0.9,43,58.1,-0.37,13.18,0.7,-0.12,-3.7,0.932,-0.517,58.3,4,-0.03
2026-07-02 16:59:22,robust_C_M5_freq,M5,12,8,60,sweep_or_round,body,0.1,1.8,0.45,12,0.6,0.9,336,51.8,-0.3,35.24,0.98,-0.28,-8.38,0.988,-0.1,48.7,8,-0.009
2026-07-02 16:59:23,robust_C_M5_freq,M5,12,8,60,sweep_or_round,body,0.1,1.8,0.45,12,0.6,0.9,377,52.5,-0.39,39.31,0.97,0.2,5.96,1.01,0.079,49.3,8,0.007
2026-07-02 16:59:25,robust_C_M5_freq,M5,12,8,60,sweep_or_round,body,0.1,1.8,0.45,12,0.6,0.9,433,51.3,-0.56,43.87,0.95,-0.66,-19.9,0.963,-0.276,46.4,8,-0.025
