label,days,date,total,S87_MAIN,S87_D1_LAST_INV,S87_D1_REV,S87_H12_TURN,S88_D1_INV_NO17,S88_D1_INV_RISK10,S88_D1_INV_RATR12,demo_allin_total
S82_BASELINE,90,2026-02-18,-965.9613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-965.9613
S82_BASELINE,120,2026-02-19,-937.3163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-937.3163
S82_BASELINE,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S82_BASELINE,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S82+S88_D1_INV_NO17x14.43,90,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.43,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.43,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S82+S88_D1_INV_NO17x14.43,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S82+S88_D1_INV_NO17x14.42,90,2026-03-09,-983.6138,0.0,0.0,0.0,0.0,-683.3638,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.42,120,2026-03-09,-983.6138,0.0,0.0,0.0,0.0,-683.3638,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.42,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S82+S88_D1_INV_NO17x14.42,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S82+S88_D1_INV_NO17x14.41,90,2026-03-09,-983.1399,0.0,0.0,0.0,0.0,-682.8899,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.41,120,2026-03-09,-983.1399,0.0,0.0,0.0,0.0,-682.8899,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.41,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S82+S88_D1_INV_NO17x14.41,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S82+S88_D1_INV_NO17x14.4,90,2026-03-09,-982.666,0.0,0.0,0.0,0.0,-682.416,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.4,120,2026-03-09,-982.666,0.0,0.0,0.0,0.0,-682.416,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.4,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S82+S88_D1_INV_NO17x14.4,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S82+S88_D1_INV_NO17x14.39,90,2026-03-09,-982.1921,0.0,0.0,0.0,0.0,-681.9421,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.39,120,2026-03-09,-982.1921,0.0,0.0,0.0,0.0,-681.9421,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.39,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S82+S88_D1_INV_NO17x14.39,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S82+S88_D1_INV_NO17x14.38,90,2026-03-09,-981.7182,0.0,0.0,0.0,0.0,-681.4682,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.38,120,2026-03-09,-981.7182,0.0,0.0,0.0,0.0,-681.4682,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.38,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S82+S88_D1_INV_NO17x14.38,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S82+S88_D1_INV_NO17x14.37,90,2026-03-09,-981.2443,0.0,0.0,0.0,0.0,-680.9943,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.37,120,2026-03-09,-981.2443,0.0,0.0,0.0,0.0,-680.9943,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.37,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S82+S88_D1_INV_NO17x14.37,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S82+S88_D1_INV_NO17x14.36,90,2026-03-09,-980.7704,0.0,0.0,0.0,0.0,-680.5204,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.36,120,2026-03-09,-980.7704,0.0,0.0,0.0,0.0,-680.5204,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.36,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S82+S88_D1_INV_NO17x14.36,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S82+S88_D1_INV_NO17x14.35,90,2026-03-09,-980.2965,0.0,0.0,0.0,0.0,-680.0465,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.35,120,2026-03-09,-980.2965,0.0,0.0,0.0,0.0,-680.0465,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.35,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S82+S88_D1_INV_NO17x14.35,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S82+S88_D1_INV_NO17x14.34,90,2026-03-09,-979.8226,0.0,0.0,0.0,0.0,-679.5726,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.34,120,2026-03-09,-979.8226,0.0,0.0,0.0,0.0,-679.5726,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.34,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S82+S88_D1_INV_NO17x14.34,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S82+S88_D1_INV_NO17x14.33,90,2026-03-09,-979.3487,0.0,0.0,0.0,0.0,-679.0987,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.33,120,2026-03-09,-979.3487,0.0,0.0,0.0,0.0,-679.0987,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.33,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S82+S88_D1_INV_NO17x14.33,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S82+S88_D1_INV_NO17x14.32,90,2026-03-09,-978.8748,0.0,0.0,0.0,0.0,-678.6248,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.32,120,2026-03-09,-978.8748,0.0,0.0,0.0,0.0,-678.6248,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.32,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S82+S88_D1_INV_NO17x14.32,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S82+S88_D1_INV_NO17x14.31,90,2026-03-09,-978.4009,0.0,0.0,0.0,0.0,-678.1509,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.31,120,2026-03-09,-978.4009,0.0,0.0,0.0,0.0,-678.1509,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.31,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S82+S88_D1_INV_NO17x14.31,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S82+S88_D1_INV_NO17x14.3,90,2026-03-09,-977.927,0.0,0.0,0.0,0.0,-677.677,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.3,120,2026-03-09,-977.927,0.0,0.0,0.0,0.0,-677.677,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.3,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S82+S88_D1_INV_NO17x14.3,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S82+S88_D1_INV_NO17x14.29,90,2026-03-09,-977.4531,0.0,0.0,0.0,0.0,-677.2031,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.29,120,2026-03-09,-977.4531,0.0,0.0,0.0,0.0,-677.2031,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.29,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S82+S88_D1_INV_NO17x14.29,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S82+S88_D1_INV_NO17x14.28,90,2026-03-09,-976.9792,0.0,0.0,0.0,0.0,-676.7292,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.28,120,2026-03-09,-976.9792,0.0,0.0,0.0,0.0,-676.7292,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.28,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S82+S88_D1_INV_NO17x14.28,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S82+S88_D1_INV_NO17x14.27,90,2026-03-09,-976.5053,0.0,0.0,0.0,0.0,-676.2553,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.27,120,2026-03-09,-976.5053,0.0,0.0,0.0,0.0,-676.2553,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.27,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S82+S88_D1_INV_NO17x14.27,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S82+S88_D1_INV_NO17x14.26,90,2026-03-09,-976.0314,0.0,0.0,0.0,0.0,-675.7814,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.26,120,2026-03-09,-976.0314,0.0,0.0,0.0,0.0,-675.7814,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.26,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S82+S88_D1_INV_NO17x14.26,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S82+S88_D1_INV_NO17x14.25,90,2026-03-09,-975.5575,0.0,0.0,0.0,0.0,-675.3075,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.25,120,2026-03-09,-975.5575,0.0,0.0,0.0,0.0,-675.3075,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.25,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S82+S88_D1_INV_NO17x14.25,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S82+S88_D1_INV_NO17x14.24,90,2026-03-09,-975.0836,0.0,0.0,0.0,0.0,-674.8336,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.24,120,2026-03-09,-975.0836,0.0,0.0,0.0,0.0,-674.8336,0.0,0.0,-300.25
S82+S88_D1_INV_NO17x14.24,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S82+S88_D1_INV_NO17x14.24,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
