timestamp,rank,mode,label,score,avg_day,min_day,min_pf,max_streak,worst_day,max_lot,max_dd,skipped,min_trades,days,trades,day,pf,streak,window_worst_day
2026-07-03 11:13:38,1,scout,M5_lb32_rw0.35_wb0.8_et0.08_cf0.05_op1_mb0.08_mr0.5_rr_sl0.25_rr0.9,"(0, 1, -5.117222, -5.117222, 0.676616, -8, -86.77)",-5.12,-5.12,0.677,8,-86.77,0.03,50.67,953,1518,90,1518,-5.12,0.677,8,-86.77
2026-07-03 11:13:38,2,scout,M5_lb48_rw0.35_wb0.8_et0.08_cf0.05_op1_mb0.08_mr0.5_rr_sl0.25_rr1.2,"(0, 1, -5.872, -5.872, 0.639319, -17, -81.62)",-5.87,-5.87,0.639,17,-81.62,0.03,56.35,1233,1405,90,1405,-5.87,0.639,17,-81.62
2026-07-03 11:13:38,3,scout,M5_lb48_rw0.35_wb0.8_et0.08_cf0.05_op0_mb0.08_mr0.5_rr_sl0.4_rr1.2,"(0, 1, -6.047667, -6.047667, 0.668792, -8, -138.0)",-6.05,-6.05,0.669,8,-138.0,0.03,57.08,1311,1483,90,1483,-6.05,0.669,8,-138.0
2026-07-03 11:13:38,4,scout,M5_lb32_rw0.35_wb0.8_et0.08_cf0.05_op1_mb0.08_mr0.5_rr_sl0.25_rr1.2,"(0, 1, -6.048778, -6.048778, 0.626831, -16, -79.14)",-6.05,-6.05,0.627,16,-79.14,0.03,57.48,1150,1321,90,1321,-6.05,0.627,16,-79.14
2026-07-03 11:13:38,5,scout,M5_lb48_rw0.35_wb0.8_et0.08_cf0.05_op1_mb0.08_mr0.5_rr_sl0.25_rr0.9,"(0, 1, -6.996889, -6.996889, 0.569136, -9, -149.32)",-7.0,-7.0,0.569,9,-149.32,0.03,64.27,1043,1595,90,1595,-7.0,0.569,9,-149.32
2026-07-03 11:13:38,6,scout,M5_lb48_rw0.35_wb0.8_et0.08_cf0.05_op0_mb0.08_mr0.5_rr_sl0.25_rr0.9,"(0, 1, -7.488556, -7.488556, 0.552031, -8, -101.0)",-7.49,-7.49,0.552,8,-101.0,0.04,68.22,1141,1654,90,1654,-7.49,0.552,8,-101.0
2026-07-03 11:13:38,7,scout,M5_lb32_rw0.35_wb0.8_et0.08_cf0.05_op1_mb0.08_mr0.5_rr_sl0.4_rr1.2,"(0, 1, -7.559556, -7.559556, 0.577393, -13, -89.38)",-7.56,-7.56,0.577,13,-89.38,0.02,71.16,1192,1277,90,1277,-7.56,0.577,13,-89.38
2026-07-03 11:13:38,8,scout,M5_lb48_rw0.35_wb0.8_et0.08_cf0.05_op0_mb0.08_mr0.5_rr_sl0.25_rr1.2,"(0, 1, -8.144333, -8.144333, 0.528317, -11, -121.78)",-8.14,-8.14,0.528,11,-121.78,0.03,73.58,1351,1444,90,1444,-8.14,0.528,11,-121.78
2026-07-03 11:13:38,9,scout,M5_lb32_rw0.35_wb0.8_et0.08_cf0.05_op0_mb0.08_mr0.5_rr_sl0.25_rr1.2,"(0, 1, -10.851889, -10.851889, 0.383412, -11, -121.78)",-10.85,-10.85,0.383,11,-121.78,0.03,98.5,1331,1321,90,1321,-10.85,0.383,11,-121.78
2026-07-03 11:13:38,10,scout,M5_lb32_rw0.35_wb0.8_et0.08_cf0.05_op0_mb0.08_mr0.5_rr_sl0.4_rr1.2,"(0, 1, -11.842889, -11.842889, 0.442069, -8, -138.0)",-11.84,-11.84,0.442,8,-138.0,0.03,106.21,1331,1320,90,1320,-11.84,0.442,8,-138.0
