label,days,date,total,S87_MAIN,S87_D1_LAST_INV,S87_D1_REV,S87_H12_TURN,S88_D1_INV_NO17,S88_D1_INV_RISK10,S88_D1_INV_RATR12,S89_D1_INV_NO17_RISK20,S89_D1_INV_NO17_RATR18,S89_D1_INV_NO17_RATR20,demo_allin_total
S84_BASELINE,90,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84_BASELINE,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84_BASELINE,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S84_BASELINE,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S84+S87_D1_LAST_INVx5,90,2026-03-09,-1221.0377,0.0,-236.95,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx5,120,2026-03-09,-1221.0377,0.0,-236.95,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx5,150,2026-03-09,-1231.0677,0.0,-236.95,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx5,180,2026-03-09,-1236.5877,0.0,-236.95,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx4.95,90,2026-03-09,-1218.6682,0.0,-234.5805,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.95,120,2026-03-09,-1218.6682,0.0,-234.5805,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.95,150,2026-03-09,-1228.6982,0.0,-234.5805,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx4.95,180,2026-03-09,-1234.2182,0.0,-234.5805,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx4.9,90,2026-03-09,-1216.2987,0.0,-232.211,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.9,120,2026-03-09,-1216.2987,0.0,-232.211,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.9,150,2026-03-09,-1226.3287,0.0,-232.211,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx4.9,180,2026-03-09,-1231.8487,0.0,-232.211,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx4.85,90,2026-03-09,-1213.9292,0.0,-229.8415,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.85,120,2026-03-09,-1213.9292,0.0,-229.8415,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.85,150,2026-03-09,-1223.9592,0.0,-229.8415,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx4.85,180,2026-03-09,-1229.4792,0.0,-229.8415,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx4.8,90,2026-03-09,-1211.5597,0.0,-227.472,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.8,120,2026-03-09,-1211.5597,0.0,-227.472,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.8,150,2026-03-09,-1221.5897,0.0,-227.472,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx4.8,180,2026-03-09,-1227.1097,0.0,-227.472,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx4.75,90,2026-03-09,-1209.1902,0.0,-225.1025,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.75,120,2026-03-09,-1209.1902,0.0,-225.1025,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.75,150,2026-03-09,-1219.2202,0.0,-225.1025,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx4.75,180,2026-03-09,-1224.7402,0.0,-225.1025,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx4.7,90,2026-03-09,-1206.8207,0.0,-222.733,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.7,120,2026-03-09,-1206.8207,0.0,-222.733,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.7,150,2026-03-09,-1216.8507,0.0,-222.733,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx4.7,180,2026-03-09,-1222.3707,0.0,-222.733,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx4.65,90,2026-03-09,-1204.4512,0.0,-220.3635,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.65,120,2026-03-09,-1204.4512,0.0,-220.3635,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.65,150,2026-03-09,-1214.4812,0.0,-220.3635,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx4.65,180,2026-03-09,-1220.0012,0.0,-220.3635,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx4.6,90,2026-03-09,-1202.0817,0.0,-217.994,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.6,120,2026-03-09,-1202.0817,0.0,-217.994,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.6,150,2026-03-09,-1212.1117,0.0,-217.994,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx4.6,180,2026-03-09,-1217.6317,0.0,-217.994,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx4.55,90,2026-03-09,-1199.7122,0.0,-215.6245,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.55,120,2026-03-09,-1199.7122,0.0,-215.6245,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.55,150,2026-03-09,-1209.7422,0.0,-215.6245,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx4.55,180,2026-03-09,-1215.2622,0.0,-215.6245,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx4.5,90,2026-03-09,-1197.3427,0.0,-213.255,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.5,120,2026-03-09,-1197.3427,0.0,-213.255,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.5,150,2026-03-09,-1207.3727,0.0,-213.255,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx4.5,180,2026-03-09,-1212.8927,0.0,-213.255,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx4.45,90,2026-03-09,-1194.9732,0.0,-210.8855,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.45,120,2026-03-09,-1194.9732,0.0,-210.8855,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.45,150,2026-03-09,-1205.0032,0.0,-210.8855,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx4.45,180,2026-03-09,-1210.5232,0.0,-210.8855,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx4.4,90,2026-03-09,-1192.6037,0.0,-208.516,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.4,120,2026-03-09,-1192.6037,0.0,-208.516,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.4,150,2026-03-09,-1202.6337,0.0,-208.516,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx4.4,180,2026-03-09,-1208.1537,0.0,-208.516,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx4.35,90,2026-03-09,-1190.2342,0.0,-206.1465,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.35,120,2026-03-09,-1190.2342,0.0,-206.1465,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.35,150,2026-03-09,-1200.2642,0.0,-206.1465,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx4.35,180,2026-03-09,-1205.7842,0.0,-206.1465,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx4.3,90,2026-03-09,-1187.8647,0.0,-203.777,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.3,120,2026-03-09,-1187.8647,0.0,-203.777,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.3,150,2026-03-09,-1197.8947,0.0,-203.777,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx4.3,180,2026-03-09,-1203.4147,0.0,-203.777,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx4.25,90,2026-03-09,-1185.4952,0.0,-201.4075,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.25,120,2026-03-09,-1185.4952,0.0,-201.4075,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.25,150,2026-03-09,-1195.5252,0.0,-201.4075,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx4.25,180,2026-03-09,-1201.0452,0.0,-201.4075,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx4.2,90,2026-03-09,-1183.1257,0.0,-199.038,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.2,120,2026-03-09,-1183.1257,0.0,-199.038,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.2,150,2026-03-09,-1193.1557,0.0,-199.038,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx4.2,180,2026-03-09,-1198.6757,0.0,-199.038,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx4.15,90,2026-03-09,-1180.7562,0.0,-196.6685,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.15,120,2026-03-09,-1180.7562,0.0,-196.6685,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.15,150,2026-03-09,-1190.7862,0.0,-196.6685,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx4.15,180,2026-03-09,-1196.3062,0.0,-196.6685,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx4.1,90,2026-03-09,-1178.3867,0.0,-194.299,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.1,120,2026-03-09,-1178.3867,0.0,-194.299,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.1,150,2026-03-09,-1188.4167,0.0,-194.299,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx4.1,180,2026-03-09,-1193.9367,0.0,-194.299,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx4.05,90,2026-03-09,-1176.0172,0.0,-191.9295,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.05,120,2026-03-09,-1176.0172,0.0,-191.9295,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx4.05,150,2026-03-09,-1186.0472,0.0,-191.9295,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx4.05,180,2026-03-09,-1191.5672,0.0,-191.9295,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
