label,days,date,total,S87_MAIN,S87_D1_LAST_INV,S87_D1_REV,S87_H12_TURN,S88_D1_INV_NO17,S88_D1_INV_RISK10,S88_D1_INV_RATR12,S89_D1_INV_NO17_RISK20,S89_D1_INV_NO17_RATR18,S89_D1_INV_NO17_RATR20,demo_allin_total
S84_BASELINE,90,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84_BASELINE,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84_BASELINE,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S84_BASELINE,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S84+S87_D1_LAST_INVx20,90,2026-03-09,-1931.8877,0.0,-947.8,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx20,120,2026-03-09,-1931.8877,0.0,-947.8,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx20,150,2026-03-09,-1941.9177,0.0,-947.8,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx20,180,2026-03-09,-1947.4377,0.0,-947.8,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx19.75,90,2026-03-09,-1920.0402,0.0,-935.9525,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx19.75,120,2026-03-09,-1920.0402,0.0,-935.9525,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx19.75,150,2026-03-09,-1930.0702,0.0,-935.9525,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx19.75,180,2026-03-09,-1935.5902,0.0,-935.9525,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx19.5,90,2026-03-09,-1908.1927,0.0,-924.105,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx19.5,120,2026-03-09,-1908.1927,0.0,-924.105,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx19.5,150,2026-03-09,-1918.2227,0.0,-924.105,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx19.5,180,2026-03-09,-1923.7427,0.0,-924.105,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx19.25,90,2026-03-09,-1896.3452,0.0,-912.2575,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx19.25,120,2026-03-09,-1896.3452,0.0,-912.2575,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx19.25,150,2026-03-09,-1906.3752,0.0,-912.2575,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx19.25,180,2026-03-09,-1911.8952,0.0,-912.2575,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx19,90,2026-03-09,-1884.4977,0.0,-900.41,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx19,120,2026-03-09,-1884.4977,0.0,-900.41,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx19,150,2026-03-09,-1894.5277,0.0,-900.41,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx19,180,2026-03-09,-1900.0477,0.0,-900.41,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx18.75,90,2026-03-09,-1872.6502,0.0,-888.5625,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx18.75,120,2026-03-09,-1872.6502,0.0,-888.5625,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx18.75,150,2026-03-09,-1882.6802,0.0,-888.5625,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx18.75,180,2026-03-09,-1888.2002,0.0,-888.5625,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx18.5,90,2026-03-09,-1860.8027,0.0,-876.715,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx18.5,120,2026-03-09,-1860.8027,0.0,-876.715,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx18.5,150,2026-03-09,-1870.8327,0.0,-876.715,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx18.5,180,2026-03-09,-1876.3527,0.0,-876.715,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx18.25,90,2026-03-09,-1848.9552,0.0,-864.8675,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx18.25,120,2026-03-09,-1848.9552,0.0,-864.8675,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx18.25,150,2026-03-09,-1858.9852,0.0,-864.8675,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx18.25,180,2026-03-09,-1864.5052,0.0,-864.8675,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx18,90,2026-03-09,-1837.1077,0.0,-853.02,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx18,120,2026-03-09,-1837.1077,0.0,-853.02,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx18,150,2026-03-09,-1847.1377,0.0,-853.02,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx18,180,2026-03-09,-1852.6577,0.0,-853.02,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx17.75,90,2026-03-09,-1825.2602,0.0,-841.1725,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx17.75,120,2026-03-09,-1825.2602,0.0,-841.1725,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx17.75,150,2026-03-09,-1835.2902,0.0,-841.1725,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx17.75,180,2026-03-09,-1840.8102,0.0,-841.1725,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx17.5,90,2026-03-09,-1813.4127,0.0,-829.325,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx17.5,120,2026-03-09,-1813.4127,0.0,-829.325,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx17.5,150,2026-03-09,-1823.4427,0.0,-829.325,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx17.5,180,2026-03-09,-1828.9627,0.0,-829.325,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx17.25,90,2026-03-09,-1801.5652,0.0,-817.4775,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx17.25,120,2026-03-09,-1801.5652,0.0,-817.4775,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx17.25,150,2026-03-09,-1811.5952,0.0,-817.4775,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx17.25,180,2026-03-09,-1817.1152,0.0,-817.4775,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx17,90,2026-03-09,-1789.7177,0.0,-805.63,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx17,120,2026-03-09,-1789.7177,0.0,-805.63,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx17,150,2026-03-09,-1799.7477,0.0,-805.63,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx17,180,2026-03-09,-1805.2677,0.0,-805.63,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx16.75,90,2026-03-09,-1777.8702,0.0,-793.7825,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx16.75,120,2026-03-09,-1777.8702,0.0,-793.7825,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx16.75,150,2026-03-09,-1787.9002,0.0,-793.7825,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx16.75,180,2026-03-09,-1793.4202,0.0,-793.7825,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx16.5,90,2026-03-09,-1766.0227,0.0,-781.935,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx16.5,120,2026-03-09,-1766.0227,0.0,-781.935,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx16.5,150,2026-03-09,-1776.0527,0.0,-781.935,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx16.5,180,2026-03-09,-1781.5727,0.0,-781.935,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx16.25,90,2026-03-09,-1754.1752,0.0,-770.0875,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx16.25,120,2026-03-09,-1754.1752,0.0,-770.0875,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx16.25,150,2026-03-09,-1764.2052,0.0,-770.0875,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx16.25,180,2026-03-09,-1769.7252,0.0,-770.0875,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx16,90,2026-03-09,-1742.3277,0.0,-758.24,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx16,120,2026-03-09,-1742.3277,0.0,-758.24,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx16,150,2026-03-09,-1752.3577,0.0,-758.24,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx16,180,2026-03-09,-1757.8777,0.0,-758.24,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx15.75,90,2026-03-09,-1730.4802,0.0,-746.3925,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx15.75,120,2026-03-09,-1730.4802,0.0,-746.3925,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx15.75,150,2026-03-09,-1740.5102,0.0,-746.3925,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx15.75,180,2026-03-09,-1746.0302,0.0,-746.3925,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx15.5,90,2026-03-09,-1718.6327,0.0,-734.545,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx15.5,120,2026-03-09,-1718.6327,0.0,-734.545,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx15.5,150,2026-03-09,-1728.6627,0.0,-734.545,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx15.5,180,2026-03-09,-1734.1827,0.0,-734.545,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
S84+S87_D1_LAST_INVx15.25,90,2026-03-09,-1706.7852,0.0,-722.6975,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx15.25,120,2026-03-09,-1706.7852,0.0,-722.6975,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S87_D1_LAST_INVx15.25,150,2026-03-09,-1716.8152,0.0,-722.6975,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-310.28
S84+S87_D1_LAST_INVx15.25,180,2026-03-09,-1722.3352,0.0,-722.6975,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-315.8
