label,days,date,total,S87_MAIN,S87_D1_LAST_INV,S87_D1_REV,S87_H12_TURN,S88_D1_INV_NO17,S88_D1_INV_RISK10,S88_D1_INV_RATR12,S89_D1_INV_NO17_RISK20,S89_D1_INV_NO17_RATR18,S89_D1_INV_NO17_RATR20,demo_allin_total
S84_BASELINE,90,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84_BASELINE,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84_BASELINE,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S84_BASELINE,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S84+S208_M1x39.34,90,2026-05-07,-999.9389,-344.5585,0.0,0.0,0.0,-304.1844,0.0,0.0,-210.8,0.0,0.0,-140.3961
S84+S208_M1x39.34,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S208_M1x39.34,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S84+S208_M1x39.34,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S84+S208_M1x39.33,90,2026-05-07,-999.8417,-344.5585,0.0,0.0,0.0,-304.1844,0.0,0.0,-210.8,0.0,0.0,-140.2988
S84+S208_M1x39.33,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S208_M1x39.33,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S84+S208_M1x39.33,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S84+S208_M1x39.32,90,2026-05-07,-999.7445,-344.5585,0.0,0.0,0.0,-304.1844,0.0,0.0,-210.8,0.0,0.0,-140.2016
S84+S208_M1x39.32,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S208_M1x39.32,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S84+S208_M1x39.32,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S84+S208_M1x39.31,90,2026-05-07,-999.6473,-344.5585,0.0,0.0,0.0,-304.1844,0.0,0.0,-210.8,0.0,0.0,-140.1045
S84+S208_M1x39.31,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S208_M1x39.31,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S84+S208_M1x39.31,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S84+S208_M1x39.3,90,2026-05-07,-999.5501,-344.5585,0.0,0.0,0.0,-304.1844,0.0,0.0,-210.8,0.0,0.0,-140.0072
S84+S208_M1x39.3,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S208_M1x39.3,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S84+S208_M1x39.3,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S84+S208_M1x39.29,90,2026-05-07,-999.4529,-344.5585,0.0,0.0,0.0,-304.1844,0.0,0.0,-210.8,0.0,0.0,-139.91
S84+S208_M1x39.29,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S208_M1x39.29,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S84+S208_M1x39.29,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S84+S208_M1x39.28,90,2026-05-07,-999.3557,-344.5585,0.0,0.0,0.0,-304.1844,0.0,0.0,-210.8,0.0,0.0,-139.8129
S84+S208_M1x39.28,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S208_M1x39.28,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S84+S208_M1x39.28,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S84+S208_M1x39.27,90,2026-05-07,-999.2585,-344.5585,0.0,0.0,0.0,-304.1844,0.0,0.0,-210.8,0.0,0.0,-139.7156
S84+S208_M1x39.27,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S208_M1x39.27,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S84+S208_M1x39.27,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S84+S208_M1x39.26,90,2026-05-07,-999.1613,-344.5585,0.0,0.0,0.0,-304.1844,0.0,0.0,-210.8,0.0,0.0,-139.6184
S84+S208_M1x39.26,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S208_M1x39.26,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S84+S208_M1x39.26,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S84+S208_M1x39.25,90,2026-05-07,-999.0641,-344.5585,0.0,0.0,0.0,-304.1844,0.0,0.0,-210.8,0.0,0.0,-139.5213
S84+S208_M1x39.25,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S208_M1x39.25,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S84+S208_M1x39.25,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S84+S208_M1x39.24,90,2026-05-07,-998.9669,-344.5585,0.0,0.0,0.0,-304.1844,0.0,0.0,-210.8,0.0,0.0,-139.424
S84+S208_M1x39.24,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S208_M1x39.24,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S84+S208_M1x39.24,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S84+S208_M1x39.23,90,2026-05-07,-998.8697,-344.5585,0.0,0.0,0.0,-304.1844,0.0,0.0,-210.8,0.0,0.0,-139.3268
S84+S208_M1x39.23,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S208_M1x39.23,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S84+S208_M1x39.23,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S84+S208_M1x39.22,90,2026-05-07,-998.7725,-344.5585,0.0,0.0,0.0,-304.1844,0.0,0.0,-210.8,0.0,0.0,-139.2296
S84+S208_M1x39.22,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S208_M1x39.22,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S84+S208_M1x39.22,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S84+S208_M1x39.21,90,2026-05-07,-998.6753,-344.5585,0.0,0.0,0.0,-304.1844,0.0,0.0,-210.8,0.0,0.0,-139.1325
S84+S208_M1x39.21,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S208_M1x39.21,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S84+S208_M1x39.21,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S84+S208_M1x39.2,90,2026-05-07,-998.5781,-344.5585,0.0,0.0,0.0,-304.1844,0.0,0.0,-210.8,0.0,0.0,-139.0353
S84+S208_M1x39.2,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S208_M1x39.2,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S84+S208_M1x39.2,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S84+S208_M1x39.19,90,2026-05-07,-998.4809,-344.5585,0.0,0.0,0.0,-304.1844,0.0,0.0,-210.8,0.0,0.0,-138.938
S84+S208_M1x39.19,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S208_M1x39.19,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S84+S208_M1x39.19,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S84+S208_M1x39.18,90,2026-05-07,-998.3837,-344.5585,0.0,0.0,0.0,-304.1844,0.0,0.0,-210.8,0.0,0.0,-138.8409
S84+S208_M1x39.18,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S208_M1x39.18,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S84+S208_M1x39.18,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S84+S208_M1x39.17,90,2026-05-07,-998.2865,-344.5585,0.0,0.0,0.0,-304.1844,0.0,0.0,-210.8,0.0,0.0,-138.7437
S84+S208_M1x39.17,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S208_M1x39.17,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S84+S208_M1x39.17,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S84+S208_M1x39.16,90,2026-05-07,-998.1893,-344.5585,0.0,0.0,0.0,-304.1844,0.0,0.0,-210.8,0.0,0.0,-138.6464
S84+S208_M1x39.16,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S208_M1x39.16,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S84+S208_M1x39.16,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S84+S208_M1x39.15,90,2026-05-07,-998.0921,-344.5585,0.0,0.0,0.0,-304.1844,0.0,0.0,-210.8,0.0,0.0,-138.5493
S84+S208_M1x39.15,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,0.0,0.0,0.0,-300.25
S84+S208_M1x39.15,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S84+S208_M1x39.15,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
