timestamp,label,days,mode,relation,raw_trades,comp_trades,avg_per_day_span,profit_factor,max_consec_loss,max_dd_pct,final_equity,lot_max,skipped_by_cb,fixed_per_day,fixed_pf,fixed_streak,pct_pos_days,sharpe_like
2026-07-03 11:39:34,S86_RAW,90,,,81,52,4.72,1.91,5,11.11,1424.42,0.01,29,3.32,1.385,6,47.3,0.143
2026-07-03 11:39:34,S87_D1_LAST_follow,90,D1_LAST,follow,39,19,-0.99,0.62,5,14.24,910.48,0.01,20,-1.14,0.772,6,39.4,-0.124
2026-07-03 11:39:34,S87_D1_LAST_inverse,90,D1_LAST,inverse,42,34,4.46,2.55,3,4.76,1401.24,0.02,8,4.46,2.227,3,53.6,0.342
2026-07-03 11:39:34,S87_H12_LAST_follow,90,H12_LAST,follow,41,21,1.1,1.56,3,7.27,1098.94,0.01,20,0.83,1.177,6,41.2,0.081
2026-07-03 11:39:34,S87_H12_LAST_inverse,90,H12_LAST,inverse,40,19,0.07,1.03,6,8.87,1006.3,0.01,21,2.49,1.629,4,45.2,0.166
2026-07-03 11:39:34,S87_D1_AND_H12_follow,90,D1_AND_H12,follow,26,16,0.06,1.03,3,6.55,1005.68,0.01,10,-0.24,0.923,4,43.5,-0.041
2026-07-03 11:39:34,S87_D1_AND_H12_inverse,90,D1_AND_H12,inverse,27,21,2.96,2.78,3,5.31,1266.76,0.01,6,3.39,2.643,4,52.4,0.294
2026-07-03 11:39:34,S87_H12_TURN_follow,90,H12_TURN,follow,23,13,0.94,1.68,4,8.05,1084.68,0.01,10,1.58,1.686,3,47.6,0.23
2026-07-03 11:39:34,S87_H12_TURN_inverse,90,H12_TURN,inverse,19,9,-1.13,0.28,3,10.16,898.44,0.01,10,-0.84,0.645,3,37.5,-0.247
2026-07-03 11:39:34,S87_D1_H12_TURN_follow,90,D1_H12_TURN,follow,12,12,0.89,1.68,3,5.09,1080.12,0.01,0,0.89,1.682,3,36.4,0.211
