label,days,date,total,S208_M1,S2010_M30_ALL,S2010_M30_DM,S2010_M30_SP,other_total
S86_BASELINE_S2010_M30_FSPx11.73,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_ALLx0,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_ALLx0,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_ALLx0,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_ALLx0,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_DMx0,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_DMx0,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_DMx0,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_DMx0,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx0,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx0,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx0,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx0,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx0.25,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx0.25,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx0.25,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx0.25,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx0.5,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx0.5,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx0.5,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx0.5,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx0.75,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx0.75,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx0.75,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx0.75,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx1,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx1,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx1,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx1,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx1.25,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx1.25,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx1.25,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx1.25,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx1.5,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx1.5,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx1.5,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_SPx1.5,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_ALLx0.25,90,2026-05-07,-989.7367,-382.2876,10.105,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_ALLx0.25,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_ALLx0.25,150,2026-03-09,-994.1177,0.0,0.0,0.0,0.0,-994.1177
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_ALLx0.25,180,2026-03-05,-999.8963,0.0,0.0,0.0,0.0,-999.8963
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_DMx0.25,90,2026-05-07,-999.8417,-382.2876,0.0,0.0,0.0,-617.5541
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_DMx0.25,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-984.0877
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_DMx0.25,150,2025-12-18,-998.7615,0.0,0.0,0.0,0.0,-998.7615
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_DMx0.25,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,-999.9079
S86_BASELINE_S2010_M30_FSPx11.73+S2010_M30_ALLx0.5,90,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-984.0877
