label,days,date,total,base,siglevel,weight
S86_BASELINE,90,2026-05-07,-999.8417,-999.8417,0.0,0.0
S86_BASELINE,120,2026-03-09,-984.0877,-984.0877,0.0,0.0
S86_BASELINE,150,2025-12-18,-998.7615,-998.7615,0.0,0.0
S86_BASELINE,180,2025-10-14,-999.9079,-999.9079,0.0,0.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0,90,2026-05-07,-999.8417,-999.8417,-0.0,0.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0,120,2026-03-09,-984.0877,-984.0877,-0.0,0.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0,150,2025-12-18,-998.7615,-998.7615,0.0,0.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0,180,2025-10-14,-999.9079,-999.9079,0.0,0.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x1,90,2026-05-07,-1014.6317,-999.8417,-14.79,1.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x1,120,2026-03-09,-997.8577,-984.0877,-13.77,1.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x1,150,2026-03-09,-1007.8877,-994.1177,-13.77,1.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x1,180,2026-03-09,-1013.4077,-999.6377,-13.77,1.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x2,90,2026-05-07,-1029.4217,-999.8417,-29.58,2.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x2,120,2026-03-09,-1011.6277,-984.0877,-27.54,2.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x2,150,2026-03-09,-1021.6577,-994.1177,-27.54,2.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x2,180,2026-03-09,-1027.1777,-999.6377,-27.54,2.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x3,90,2026-05-07,-1044.2117,-999.8417,-44.37,3.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x3,120,2026-03-09,-1025.3977,-984.0877,-41.31,3.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x3,150,2026-03-09,-1035.4277,-994.1177,-41.31,3.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x3,180,2026-03-09,-1040.9477,-999.6377,-41.31,3.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x4,90,2026-05-07,-1059.0017,-999.8417,-59.16,4.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x4,120,2026-03-09,-1039.1677,-984.0877,-55.08,4.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x4,150,2026-03-09,-1049.1977,-994.1177,-55.08,4.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x4,180,2026-03-09,-1054.7177,-999.6377,-55.08,4.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x5,90,2026-05-07,-1073.7917,-999.8417,-73.95,5.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x5,120,2026-03-09,-1052.9377,-984.0877,-68.85,5.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x5,150,2026-03-09,-1062.9677,-994.1177,-68.85,5.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x5,180,2026-03-09,-1068.4877,-999.6377,-68.85,5.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x6,90,2026-05-07,-1088.5817,-999.8417,-88.74,6.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x6,120,2026-03-09,-1066.7077,-984.0877,-82.62,6.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x6,150,2026-03-09,-1076.7377,-994.1177,-82.62,6.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x6,180,2026-03-09,-1082.2577,-999.6377,-82.62,6.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x7,90,2026-05-07,-1103.3717,-999.8417,-103.53,7.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x7,120,2026-03-09,-1080.4777,-984.0877,-96.39,7.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x7,150,2026-03-09,-1090.5077,-994.1177,-96.39,7.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x7,180,2026-03-09,-1096.0277,-999.6377,-96.39,7.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x8,90,2026-05-07,-1118.1617,-999.8417,-118.32,8.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x8,120,2026-03-09,-1094.2477,-984.0877,-110.16,8.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x8,150,2026-03-09,-1104.2777,-994.1177,-110.16,8.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x8,180,2026-03-09,-1109.7977,-999.6377,-110.16,8.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x9,90,2026-05-07,-1132.9517,-999.8417,-133.11,9.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x9,120,2026-03-09,-1108.0177,-984.0877,-123.93,9.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x9,150,2026-03-09,-1118.0477,-994.1177,-123.93,9.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x9,180,2026-03-09,-1123.5677,-999.6377,-123.93,9.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x10,90,2026-05-07,-1147.7417,-999.8417,-147.9,10.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x10,120,2026-03-09,-1121.7877,-984.0877,-137.7,10.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x10,150,2026-03-09,-1131.8177,-994.1177,-137.7,10.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x10,180,2026-03-09,-1137.3377,-999.6377,-137.7,10.0
