label,days,date,total,base,siglevel,weight
S86_BASELINE,90,2026-05-07,-999.8417,-999.8417,0.0,0.0
S86_BASELINE,120,2026-03-09,-984.0877,-984.0877,0.0,0.0
S86_BASELINE,150,2025-12-18,-998.7615,-998.7615,0.0,0.0
S86_BASELINE,180,2025-10-14,-999.9079,-999.9079,0.0,0.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x0,90,2026-05-07,-999.8417,-999.8417,-0.0,0.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x0,120,2026-03-09,-984.0877,-984.0877,-0.0,0.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x0,150,2025-12-18,-998.7615,-998.7615,-0.0,0.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x0,180,2025-10-14,-999.9079,-999.9079,-0.0,0.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x1,90,2026-05-07,-1009.2217,-999.8417,-9.38,1.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x1,120,2026-03-09,-999.5077,-984.0877,-15.42,1.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x1,150,2026-03-09,-1009.5377,-994.1177,-15.42,1.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x1,180,2025-10-14,-1022.9079,-999.9079,-23.0,1.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x2,90,2026-05-07,-1018.6017,-999.8417,-18.76,2.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x2,120,2026-03-09,-1014.9277,-984.0877,-30.84,2.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x2,150,2026-03-09,-1024.9577,-994.1177,-30.84,2.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x2,180,2025-10-14,-1045.9079,-999.9079,-46.0,2.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x3,90,2026-03-09,-1030.3477,-984.0877,-46.26,3.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x3,120,2026-03-09,-1030.3477,-984.0877,-46.26,3.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x3,150,2026-03-09,-1040.3777,-994.1177,-46.26,3.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x3,180,2025-10-14,-1068.9079,-999.9079,-69.0,3.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x4,90,2026-03-09,-1045.7677,-984.0877,-61.68,4.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x4,120,2026-03-09,-1045.7677,-984.0877,-61.68,4.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x4,150,2026-03-09,-1055.7977,-994.1177,-61.68,4.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x4,180,2025-10-14,-1091.9079,-999.9079,-92.0,4.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x5,90,2026-03-09,-1061.1877,-984.0877,-77.1,5.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x5,120,2026-03-09,-1061.1877,-984.0877,-77.1,5.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x5,150,2026-03-09,-1071.2177,-994.1177,-77.1,5.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x5,180,2025-10-14,-1114.9079,-999.9079,-115.0,5.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x6,90,2026-03-09,-1076.6077,-984.0877,-92.52,6.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x6,120,2026-03-09,-1076.6077,-984.0877,-92.52,6.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x6,150,2026-03-09,-1086.6377,-994.1177,-92.52,6.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x6,180,2025-10-14,-1137.9079,-999.9079,-138.0,6.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x7,90,2026-03-09,-1092.0277,-984.0877,-107.94,7.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x7,120,2026-03-09,-1092.0277,-984.0877,-107.94,7.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x7,150,2026-03-09,-1102.0577,-994.1177,-107.94,7.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x7,180,2025-10-14,-1160.9079,-999.9079,-161.0,7.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x8,90,2026-03-09,-1107.4477,-984.0877,-123.36,8.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x8,120,2026-03-09,-1107.4477,-984.0877,-123.36,8.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x8,150,2026-03-09,-1117.4777,-994.1177,-123.36,8.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x8,180,2025-10-14,-1183.9079,-999.9079,-184.0,8.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x9,90,2026-03-09,-1122.8677,-984.0877,-138.78,9.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x9,120,2026-03-09,-1122.8677,-984.0877,-138.78,9.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x9,150,2026-03-09,-1132.8977,-994.1177,-138.78,9.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x9,180,2025-10-14,-1206.9079,-999.9079,-207.0,9.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x10,90,2026-03-09,-1138.2877,-984.0877,-154.2,10.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x10,120,2026-03-09,-1138.2877,-984.0877,-154.2,10.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x10,150,2026-03-09,-1148.3177,-994.1177,-154.2,10.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr0_tl12_tm0.8_sl0.25_rr1x10,180,2025-10-14,-1229.9079,-999.9079,-230.0,10.0
