label,days,date,total,base,siglevel,weight
S86_BASELINE,90,2026-05-07,-999.8417,-999.8417,0.0,0.0
S86_BASELINE,120,2026-03-09,-984.0877,-984.0877,0.0,0.0
S86_BASELINE,150,2025-12-18,-998.7615,-998.7615,0.0,0.0
S86_BASELINE,180,2025-10-14,-999.9079,-999.9079,0.0,0.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0,90,2026-05-07,-999.8417,-999.8417,0.0,0.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0,120,2026-03-09,-984.0877,-984.0877,0.0,0.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0,150,2025-12-18,-998.7615,-998.7615,-0.0,0.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0,180,2025-10-14,-999.9079,-999.9079,-0.0,0.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x1,90,2026-02-18,-1022.2413,-965.9613,-56.28,1.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x1,120,2026-03-05,-954.9663,-965.4263,10.46,1.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x1,150,2025-12-18,-1004.5215,-998.7615,-5.76,1.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x1,180,2025-10-14,-1027.0879,-999.9079,-27.18,1.0
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.99,90,2026-02-18,-1021.6785,-965.9613,-55.7172,0.99
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.99,120,2026-03-05,-955.0709,-965.4263,10.3554,0.99
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.99,150,2025-12-18,-1004.4639,-998.7615,-5.7024,0.99
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.99,180,2025-10-14,-1026.8161,-999.9079,-26.9082,0.99
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.98,90,2026-02-18,-1021.1157,-965.9613,-55.1544,0.98
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.98,120,2026-03-05,-955.1755,-965.4263,10.2508,0.98
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.98,150,2025-12-18,-1004.4063,-998.7615,-5.6448,0.98
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.98,180,2025-10-14,-1026.5443,-999.9079,-26.6364,0.98
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.97,90,2026-02-18,-1020.5529,-965.9613,-54.5916,0.97
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.97,120,2026-03-05,-955.2801,-965.4263,10.1462,0.97
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.97,150,2025-12-18,-1004.3487,-998.7615,-5.5872,0.97
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.97,180,2025-10-14,-1026.2725,-999.9079,-26.3646,0.97
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.96,90,2026-02-18,-1019.9901,-965.9613,-54.0288,0.96
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.96,120,2026-03-05,-955.3847,-965.4263,10.0416,0.96
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.96,150,2025-12-18,-1004.2911,-998.7615,-5.5296,0.96
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.96,180,2025-10-14,-1026.0007,-999.9079,-26.0928,0.96
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.95,90,2026-02-18,-1019.4273,-965.9613,-53.466,0.95
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.95,120,2026-03-05,-955.4893,-965.4263,9.937,0.95
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.95,150,2025-12-18,-1004.2335,-998.7615,-5.472,0.95
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.95,180,2025-10-14,-1025.7289,-999.9079,-25.821,0.95
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.94,90,2026-02-18,-1018.8645,-965.9613,-52.9032,0.94
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.94,120,2026-03-05,-955.5939,-965.4263,9.8324,0.94
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.94,150,2025-12-18,-1004.1759,-998.7615,-5.4144,0.94
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.94,180,2025-10-14,-1025.4571,-999.9079,-25.5492,0.94
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.93,90,2026-02-18,-1018.3017,-965.9613,-52.3404,0.93
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.93,120,2026-03-05,-955.6985,-965.4263,9.7278,0.93
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.93,150,2025-12-18,-1004.1183,-998.7615,-5.3568,0.93
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.93,180,2025-10-14,-1025.1853,-999.9079,-25.2774,0.93
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.92,90,2026-02-18,-1017.7389,-965.9613,-51.7776,0.92
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.92,120,2026-03-05,-955.8031,-965.4263,9.6232,0.92
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.92,150,2025-12-18,-1004.0607,-998.7615,-5.2992,0.92
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.92,180,2025-10-14,-1024.9135,-999.9079,-25.0056,0.92
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.91,90,2026-02-18,-1017.1761,-965.9613,-51.2148,0.91
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.91,120,2026-03-05,-955.9077,-965.4263,9.5186,0.91
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.91,150,2025-12-18,-1004.0031,-998.7615,-5.2416,0.91
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.91,180,2025-10-14,-1024.6417,-999.9079,-24.7338,0.91
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.9,90,2026-02-18,-1016.6133,-965.9613,-50.652,0.9
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.9,120,2026-03-05,-956.0123,-965.4263,9.414,0.9
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.9,150,2025-12-18,-1003.9455,-998.7615,-5.184,0.9
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.9,180,2025-10-14,-1024.3699,-999.9079,-24.462,0.9
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.89,90,2026-02-18,-1016.0505,-965.9613,-50.0892,0.89
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.89,120,2026-03-05,-956.1169,-965.4263,9.3094,0.89
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.89,150,2025-12-18,-1003.8879,-998.7615,-5.1264,0.89
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.89,180,2025-10-14,-1024.0981,-999.9079,-24.1902,0.89
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.88,90,2026-02-18,-1015.4877,-965.9613,-49.5264,0.88
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.88,120,2026-03-05,-956.2215,-965.4263,9.2048,0.88
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.88,150,2025-12-18,-1003.8303,-998.7615,-5.0688,0.88
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.88,180,2025-10-14,-1023.8263,-999.9079,-23.9184,0.88
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.87,90,2026-02-18,-1014.9249,-965.9613,-48.9636,0.87
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.87,120,2026-03-05,-956.3261,-965.4263,9.1002,0.87
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.87,150,2025-12-18,-1003.7727,-998.7615,-5.0112,0.87
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.87,180,2025-10-14,-1023.5545,-999.9079,-23.6466,0.87
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.86,90,2026-02-18,-1014.3621,-965.9613,-48.4008,0.86
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.86,120,2026-03-05,-956.4307,-965.4263,8.9956,0.86
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.86,150,2025-12-18,-1003.7151,-998.7615,-4.9536,0.86
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.86,180,2025-10-14,-1023.2827,-999.9079,-23.3748,0.86
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.85,90,2026-02-18,-1013.7993,-965.9613,-47.838,0.85
S85SIG_M15_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0.85,120,2026-03-05,-956.5353,-965.4263,8.891,0.85
