label,days,date,total,base,siglevel,weight
S86_BASELINE,90,2026-05-07,-999.8417,-999.8417,0.0,0.0
S86_BASELINE,120,2026-03-09,-984.0877,-984.0877,0.0,0.0
S86_BASELINE,150,2025-12-18,-998.7615,-998.7615,0.0,0.0
S86_BASELINE,180,2025-10-14,-999.9079,-999.9079,0.0,0.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0,90,2026-05-07,-999.8417,-999.8417,-0.0,0.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0,120,2026-03-09,-984.0877,-984.0877,-0.0,0.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0,150,2025-12-18,-998.7615,-998.7615,0.0,0.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0,180,2025-10-14,-999.9079,-999.9079,0.0,0.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x10,90,2026-02-18,-1713.3613,-965.9613,-747.4,10.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x10,120,2026-02-18,-1544.8813,-797.4813,-747.4,10.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x10,150,2026-02-18,-1564.2313,-816.8313,-747.4,10.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x10,180,2026-02-18,-1518.4813,-771.0813,-747.4,10.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x9,90,2026-02-18,-1638.6213,-965.9613,-672.66,9.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x9,120,2026-02-18,-1470.1413,-797.4813,-672.66,9.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x9,150,2026-02-18,-1489.4913,-816.8313,-672.66,9.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x9,180,2026-02-18,-1443.7413,-771.0813,-672.66,9.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x8,90,2026-02-18,-1563.8813,-965.9613,-597.92,8.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x8,120,2026-02-18,-1395.4013,-797.4813,-597.92,8.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x8,150,2026-02-18,-1414.7513,-816.8313,-597.92,8.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x8,180,2026-02-18,-1369.0013,-771.0813,-597.92,8.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x7,90,2026-02-18,-1489.1413,-965.9613,-523.18,7.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x7,120,2026-02-18,-1320.6613,-797.4813,-523.18,7.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x7,150,2026-02-18,-1340.0113,-816.8313,-523.18,7.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x7,180,2026-02-18,-1294.2613,-771.0813,-523.18,7.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x6,90,2026-02-18,-1414.4013,-965.9613,-448.44,6.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x6,120,2026-02-18,-1245.9213,-797.4813,-448.44,6.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x6,150,2026-02-18,-1265.2713,-816.8313,-448.44,6.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x6,180,2026-02-18,-1219.5213,-771.0813,-448.44,6.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x5,90,2026-02-18,-1339.6613,-965.9613,-373.7,5.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x5,120,2026-02-18,-1171.1813,-797.4813,-373.7,5.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x5,150,2026-02-18,-1190.5313,-816.8313,-373.7,5.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x5,180,2026-03-09,-1153.3377,-999.6377,-153.7,5.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x4,90,2026-02-18,-1264.9213,-965.9613,-298.96,4.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x4,120,2026-03-09,-1107.0477,-984.0877,-122.96,4.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x4,150,2026-03-09,-1117.0777,-994.1177,-122.96,4.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x4,180,2026-03-09,-1122.5977,-999.6377,-122.96,4.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x3,90,2026-02-18,-1190.1813,-965.9613,-224.22,3.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x3,120,2026-03-09,-1076.3077,-984.0877,-92.22,3.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x3,150,2026-03-09,-1086.3377,-994.1177,-92.22,3.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x3,180,2026-03-09,-1091.8577,-999.6377,-92.22,3.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x2,90,2026-02-18,-1115.4413,-965.9613,-149.48,2.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x2,120,2026-03-09,-1045.5677,-984.0877,-61.48,2.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x2,150,2026-03-09,-1055.5977,-994.1177,-61.48,2.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x2,180,2026-03-09,-1061.1177,-999.6377,-61.48,2.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x1,90,2026-02-18,-1040.7013,-965.9613,-74.74,1.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x1,120,2026-03-09,-1014.8277,-984.0877,-30.74,1.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x1,150,2026-03-09,-1024.8577,-994.1177,-30.74,1.0
S85SIG_M30_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x1,180,2026-03-09,-1030.3777,-999.6377,-30.74,1.0
