date,base_s87,overlay_x001,total
2025-09-26,0.0,0.0,0.0
2025-09-29,0.0,0.0,0.0
2025-09-30,141.4306,0.0,141.4306
2025-10-02,249.2966,0.5994,249.896
2025-10-03,234.6836,-0.1983,234.4853
2025-10-06,-78.8955,-0.1531,-79.0486
2025-10-07,356.0503,0.0,356.0503
2025-10-08,556.9102,0.0,556.9102
2025-10-09,250.3182,0.0,250.3182
2025-10-10,-197.18,0.0,-197.18
2025-10-13,761.0488,0.0,761.0488
2025-10-14,-999.9079,0.0,-999.9079
2025-10-15,-168.1479,0.144,-168.0039
2025-10-16,742.83,-0.1873,742.6427
2025-10-17,849.2897,0.5192,849.8089
2025-10-20,1248.8416,0.2003,1249.0419
2025-10-21,2231.4067,0.1621,2231.5688
2025-10-22,54.54,0.0,54.54
2025-10-23,-164.72,-1.4778,-166.1978
2025-10-24,276.7337,0.0,276.7337
2025-10-25,-58.86,0.0,-58.86
2025-10-27,540.969,0.0,540.969
2025-10-28,-135.98,0.0,-135.98
2025-10-29,-161.256,0.0,-161.256
2025-10-30,-111.88,0.0,-111.88
2025-10-31,0.073,0.0,0.073
2025-11-01,-14.21,0.0,-14.21
2025-11-03,-823.4145,0.0,-823.4145
2025-11-04,-229.706,0.5625,-229.1435
2025-11-05,265.86,-0.205,265.655
2025-11-06,22.3,-0.3212,21.9788
2025-11-07,-417.1367,-0.3065,-417.4432
2025-11-10,432.23,0.0,432.23
2025-11-11,-54.4637,0.2056,-54.2581
2025-11-12,613.3986,0.0287,613.4273
2025-11-13,-26.8958,0.0662,-26.8296
2025-11-14,906.7048,0.3123,907.0171
2025-11-15,16.6,0.0,16.6
2025-11-17,-231.57,0.0,-231.57
2025-11-18,420.1536,0.3058,420.4594
2025-11-19,-128.7276,0.1544,-128.5732
2025-11-20,514.9829,-0.5787,514.4042
2025-11-21,-172.148,-0.2535,-172.4015
2025-11-22,-16.39,0.0,-16.39
2025-11-24,215.0339,0.0,215.0339
2025-11-25,-624.0393,0.0,-624.0393
2025-11-26,169.6305,0.0,169.6305
2025-11-27,-175.3166,0.0,-175.3166
2025-11-28,149.46,0.0,149.46
2025-11-29,110.93,0.0,110.93
2025-12-01,-371.3535,0.0,-371.3535
2025-12-02,823.9473,0.6685,824.6158
2025-12-03,-307.848,-0.4537,-308.3017
2025-12-04,155.0021,-0.1442,154.8579
2025-12-05,417.7476,0.115,417.8626
2025-12-06,133.49,0.0,133.49
2025-12-08,-45.97,-0.1707,-46.1407
2025-12-09,-89.18,0.1636,-89.0164
2025-12-10,-243.1064,-0.0698,-243.1762
2025-12-11,38.8169,-0.5462,38.2707
2025-12-12,-327.0696,0.0,-327.0696
2025-12-13,-20.04,0.0,-20.04
2025-12-15,-237.9586,0.0,-237.9586
2025-12-16,54.61,0.0,54.61
2025-12-17,157.2072,0.0,157.2072
2025-12-18,-978.9215,-0.0322,-978.9537
2025-12-19,-86.92,-0.0857,-87.0057
2025-12-20,76.9,0.0,76.9
2025-12-22,225.1843,0.0,225.1843
2025-12-23,574.321,0.0,574.321
2025-12-24,78.2482,0.0,78.2482
2025-12-26,8.821,0.0,8.821
2025-12-29,571.73,0.7727,572.5027
2025-12-30,-80.53,-0.3038,-80.8338
2025-12-31,238.0892,-0.322,237.7672
2026-01-01,-12.85,0.0,-12.85
2026-01-02,382.6288,0.0,382.6288
2026-01-05,-200.34,0.4236,-199.9164
2026-01-06,453.0652,0.0,453.0652
2026-01-07,901.8673,0.2307,902.098
2026-01-08,211.5017,-0.2017,211.3
2026-01-09,370.9391,-0.4834,370.4557
2026-01-12,378.88,0.0,378.88
2026-01-13,-128.4111,0.0,-128.4111
2026-01-14,472.6849,0.0,472.6849
2026-01-15,-181.5619,0.0,-181.5619
2026-01-16,-230.46,0.0,-230.46
2026-01-19,281.576,-0.2256,281.3504
2026-01-20,992.7854,-0.0986,992.6868
2026-01-21,266.1121,0.0,266.1121
2026-01-22,221.456,0.0,221.456
2026-01-23,188.12,0.0,188.12
2026-01-26,-610.4939,0.0,-610.4939
2026-01-27,275.1867,0.304,275.4907
2026-01-28,479.275,0.0,479.275
2026-01-29,-348.6296,1.8005,-346.8291
2026-01-30,2498.726,5.143,2503.869
2026-01-31,132.84,0.0,132.84
2026-02-02,652.2,1.3972,653.5972
2026-02-03,2724.6931,-1.4984,2723.1947
2026-02-04,-536.0532,0.5482,-535.505
2026-02-05,5771.8998,-1.6057,5770.2941
2026-02-06,2075.3767,0.3998,2075.7765
2026-02-09,854.5534,0.0,854.5534
2026-02-10,-513.1,0.0,-513.1
2026-02-11,389.157,0.0,389.157
2026-02-12,161.5902,0.0,161.5902
2026-02-13,11.46,0.0,11.46
2026-02-16,1102.6682,0.0,1102.6682
2026-02-17,-938.3063,0.6584,-937.6479
2026-02-18,-771.6045,-0.3664,-771.9709
2026-02-19,-999.7778,0.0,-999.7778
2026-02-20,707.84,0.0,707.84
2026-02-21,500.13,0.0,500.13
2026-02-23,528.6414,0.0662,528.7076
2026-02-24,1050.028,0.9221,1050.9501
2026-02-25,-337.39,0.2779,-337.1121
2026-02-26,3033.6834,0.928,3034.6114
2026-02-27,212.11,-0.3818,211.7282
2026-02-28,211.24,0.0,211.24
