label,days,date,total,base_s87,overlay,weight
S88_BASELINE,90,2026-05-07,-999.9023,-999.9023,0.0,0.0
S88_BASELINE,120,2026-03-09,-984.3029,-984.3029,0.0,0.0
S88_BASELINE,150,2025-12-18,-998.7615,-998.7615,0.0,0.0
S88_BASELINE,180,2025-10-14,-999.9079,-999.9079,0.0,0.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.05,90,2026-05-07,-999.9023,-999.9023,0.0,0.05
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.05,120,2026-03-09,-983.6389,-984.3029,0.664,0.05
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.05,150,2025-12-18,-998.322,-998.7615,0.4395,0.05
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.05,180,2025-10-14,-999.6799,-999.9079,0.228,0.05
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.049,90,2026-05-07,-999.9023,-999.9023,0.0,0.049
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.049,120,2026-03-09,-983.6522,-984.3029,0.6507,0.049
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.049,150,2025-12-18,-998.3308,-998.7615,0.4307,0.049
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.049,180,2025-10-14,-999.6845,-999.9079,0.2234,0.049
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.048,90,2026-05-07,-999.9023,-999.9023,0.0,0.048
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.048,120,2026-03-09,-983.6654,-984.3029,0.6374,0.048
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.048,150,2025-12-18,-998.3396,-998.7615,0.4219,0.048
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.048,180,2025-10-14,-999.689,-999.9079,0.2189,0.048
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.047,90,2026-05-07,-999.9023,-999.9023,0.0,0.047
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.047,120,2026-03-09,-983.6787,-984.3029,0.6242,0.047
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.047,150,2025-12-18,-998.3484,-998.7615,0.4131,0.047
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.047,180,2025-10-14,-999.6936,-999.9079,0.2143,0.047
