label,days,date,total,base_s87,overlay,weight
S88_BASELINE,90,2026-05-07,-999.9023,-999.9023,0.0,0.0
S88_BASELINE,120,2026-03-09,-984.3029,-984.3029,0.0,0.0
S88_BASELINE,150,2025-12-18,-998.7615,-998.7615,0.0,0.0
S88_BASELINE,180,2025-10-14,-999.9079,-999.9079,0.0,0.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.6,90,2026-05-07,-999.9023,-999.9023,0.0,0.6
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.6,120,2026-03-09,-976.3349,-984.3029,7.968,0.6
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.6,150,2025-12-18,-993.4875,-998.7615,5.274,0.6
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.6,180,2025-10-14,-997.1719,-999.9079,2.736,0.6
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.55,90,2026-05-07,-999.9023,-999.9023,0.0,0.55
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.55,120,2026-03-09,-976.9989,-984.3029,7.304,0.55
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.55,150,2025-12-18,-993.927,-998.7615,4.8345,0.55
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.55,180,2025-10-14,-997.3999,-999.9079,2.508,0.55
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.5,90,2026-05-07,-999.9023,-999.9023,0.0,0.5
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.5,120,2026-03-09,-977.6629,-984.3029,6.64,0.5
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.5,150,2025-12-18,-994.3665,-998.7615,4.395,0.5
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.5,180,2025-10-14,-997.6279,-999.9079,2.28,0.5
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.45,90,2026-05-07,-999.9023,-999.9023,0.0,0.45
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.45,120,2026-03-09,-978.3269,-984.3029,5.976,0.45
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.45,150,2025-12-18,-994.806,-998.7615,3.9555,0.45
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd4x0.45,180,2025-10-14,-997.8559,-999.9079,2.052,0.45
