label,days,date,total,base_s87,overlay,weight
S88_BASELINE,90,2026-05-07,-999.9023,-999.9023,0.0,0.0
S88_BASELINE,120,2026-03-09,-984.3029,-984.3029,0.0,0.0
S88_BASELINE,150,2025-12-18,-998.7615,-998.7615,0.0,0.0
S88_BASELINE,180,2025-10-14,-999.9079,-999.9079,0.0,0.0
S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.25_mid_revisit_sl0.2_rr0.9_Fratr3x0,90,2026-05-07,-999.9023,-999.9023,-0.0,0.0
S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.25_mid_revisit_sl0.2_rr0.9_Fratr3x0,120,2026-03-09,-984.3029,-984.3029,0.0,0.0
S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.25_mid_revisit_sl0.2_rr0.9_Fratr3x0,150,2025-12-18,-998.7615,-998.7615,0.0,0.0
S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.25_mid_revisit_sl0.2_rr0.9_Fratr3x0,180,2025-10-14,-999.9079,-999.9079,0.0,0.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.25_mid_revisit_sl0.2_rr0.9_Fratr3x0,90,2026-05-07,-999.9023,-999.9023,0.0,0.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.25_mid_revisit_sl0.2_rr0.9_Fratr3x0,120,2026-03-09,-984.3029,-984.3029,-0.0,0.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.25_mid_revisit_sl0.2_rr0.9_Fratr3x0,150,2025-12-18,-998.7615,-998.7615,0.0,0.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.25_mid_revisit_sl0.2_rr0.9_Fratr3x0,180,2025-10-14,-999.9079,-999.9079,-0.0,0.0
S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.25_mid_revisit_sl0.2_rr1.2_Fratr3x0,90,2026-05-07,-999.9023,-999.9023,-0.0,0.0
S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.25_mid_revisit_sl0.2_rr1.2_Fratr3x0,120,2026-03-09,-984.3029,-984.3029,0.0,0.0
S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.25_mid_revisit_sl0.2_rr1.2_Fratr3x0,150,2025-12-18,-998.7615,-998.7615,0.0,0.0
S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.25_mid_revisit_sl0.2_rr1.2_Fratr3x0,180,2025-10-14,-999.9079,-999.9079,-0.0,0.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.25_mid_revisit_sl0.2_rr1.2_Fratr3x0,90,2026-05-07,-999.9023,-999.9023,0.0,0.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.25_mid_revisit_sl0.2_rr1.2_Fratr3x0,120,2026-03-09,-984.3029,-984.3029,-0.0,0.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.25_mid_revisit_sl0.2_rr1.2_Fratr3x0,150,2025-12-18,-998.7615,-998.7615,0.0,0.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.25_mid_revisit_sl0.2_rr1.2_Fratr3x0,180,2025-10-14,-999.9079,-999.9079,-0.0,0.0
S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.25_mid_revisit_sl0.35_rr0.9_Fratr3x0,90,2026-05-07,-999.9023,-999.9023,-0.0,0.0
