label,days,date,total,base_s87,overlay,weight
S89_BASELINE,90,2026-05-07,-999.9023,-999.9023,0.0,0.0
S89_BASELINE,120,2026-03-09,-976.2286,-976.2286,0.0,0.0
S89_BASELINE,150,2025-12-18,-993.4172,-993.4172,0.0,0.0
S89_BASELINE,180,2025-10-14,-997.1354,-997.1354,0.0,0.0
INV_S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_zone_old_sl0.2_rr1.3_Fratr3x0.3,90,2026-02-18,-994.89,-999.0,4.11,0.3
INV_S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_zone_old_sl0.2_rr1.3_Fratr3x0.3,120,2026-03-09,-976.2286,-976.2286,0.0,0.3
INV_S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_zone_old_sl0.2_rr1.3_Fratr3x0.3,150,2025-12-18,-994.1762,-993.4172,-0.759,0.3
INV_S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_zone_old_sl0.2_rr1.3_Fratr3x0.3,180,2025-10-14,-999.6014,-997.1354,-2.466,0.3
INV_S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_zone_old_sl0.2_rr1.3_Fratr3x0.2,90,2026-02-18,-996.26,-999.0,2.74,0.2
INV_S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_zone_old_sl0.2_rr1.3_Fratr3x0.2,120,2026-03-09,-976.2286,-976.2286,0.0,0.2
INV_S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_zone_old_sl0.2_rr1.3_Fratr3x0.2,150,2025-12-18,-993.9232,-993.4172,-0.506,0.2
INV_S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_zone_old_sl0.2_rr1.3_Fratr3x0.2,180,2025-10-14,-998.7794,-997.1354,-1.644,0.2
INV_S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_zone_old_sl0.2_rr1.3_Fratr3x0.1,90,2026-02-18,-997.63,-999.0,1.37,0.1
INV_S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_zone_old_sl0.2_rr1.3_Fratr3x0.1,120,2026-03-09,-976.2286,-976.2286,0.0,0.1
INV_S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_zone_old_sl0.2_rr1.3_Fratr3x0.1,150,2025-12-18,-993.6702,-993.4172,-0.253,0.1
INV_S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_zone_old_sl0.2_rr1.3_Fratr3x0.1,180,2025-10-14,-997.9574,-997.1354,-0.822,0.1
S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_old_sl0.2_rr1_Fratr3x0,90,2026-05-07,-999.9023,-999.9023,-0.0,0.0
S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_old_sl0.2_rr1_Fratr3x0,120,2026-03-09,-976.2286,-976.2286,0.0,0.0
S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_old_sl0.2_rr1_Fratr3x0,150,2025-12-18,-993.4172,-993.4172,0.0,0.0
S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_old_sl0.2_rr1_Fratr3x0,180,2025-10-14,-997.1354,-997.1354,0.0,0.0
INV_S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_old_sl0.2_rr1_Fratr3x0,90,2026-05-07,-999.9023,-999.9023,0.0,0.0
INV_S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_old_sl0.2_rr1_Fratr3x0,120,2026-03-09,-976.2286,-976.2286,0.0,0.0
INV_S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_old_sl0.2_rr1_Fratr3x0,150,2025-12-18,-993.4172,-993.4172,-0.0,0.0
INV_S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_old_sl0.2_rr1_Fratr3x0,180,2025-10-14,-997.1354,-997.1354,0.0,0.0
S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_old_sl0.2_rr1.3_Fratr3x0,90,2026-05-07,-999.9023,-999.9023,-0.0,0.0
S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_old_sl0.2_rr1.3_Fratr3x0,120,2026-03-09,-976.2286,-976.2286,0.0,0.0
S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_old_sl0.2_rr1.3_Fratr3x0,150,2025-12-18,-993.4172,-993.4172,0.0,0.0
S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_old_sl0.2_rr1.3_Fratr3x0,180,2025-10-14,-997.1354,-997.1354,0.0,0.0
INV_S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_old_sl0.2_rr1.3_Fratr3x0,90,2026-05-07,-999.9023,-999.9023,0.0,0.0
INV_S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_old_sl0.2_rr1.3_Fratr3x0,120,2026-03-09,-976.2286,-976.2286,0.0,0.0
INV_S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_old_sl0.2_rr1.3_Fratr3x0,150,2025-12-18,-993.4172,-993.4172,-0.0,0.0
INV_S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_old_sl0.2_rr1.3_Fratr3x0,180,2025-10-14,-997.1354,-997.1354,0.0,0.0
S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_rr_sl0.2_rr1_Fratr3x0,90,2026-05-07,-999.9023,-999.9023,0.0,0.0
S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_rr_sl0.2_rr1_Fratr3x0,120,2026-03-09,-976.2286,-976.2286,0.0,0.0
S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_rr_sl0.2_rr1_Fratr3x0,150,2025-12-18,-993.4172,-993.4172,0.0,0.0
S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_rr_sl0.2_rr1_Fratr3x0,180,2025-10-14,-997.1354,-997.1354,0.0,0.0
INV_S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_rr_sl0.2_rr1_Fratr3x0,90,2026-05-07,-999.9023,-999.9023,0.0,0.0
INV_S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_rr_sl0.2_rr1_Fratr3x0,120,2026-03-09,-976.2286,-976.2286,0.0,0.0
INV_S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_rr_sl0.2_rr1_Fratr3x0,150,2025-12-18,-993.4172,-993.4172,0.0,0.0
INV_S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_rr_sl0.2_rr1_Fratr3x0,180,2025-10-14,-997.1354,-997.1354,0.0,0.0
S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_rr_sl0.2_rr1.3_Fratr3x0,90,2026-05-07,-999.9023,-999.9023,0.0,0.0
S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_rr_sl0.2_rr1.3_Fratr3x0,120,2026-03-09,-976.2286,-976.2286,0.0,0.0
S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_rr_sl0.2_rr1.3_Fratr3x0,150,2025-12-18,-993.4172,-993.4172,0.0,0.0
