label,days,date,total,base_s87,overlay,weight
S90_BASELINE,90,2026-05-07,-999.9098,-999.9098,0.0,0.0
S90_BASELINE,120,2026-03-09,-976.2286,-976.2286,0.0,0.0
S90_BASELINE,150,2025-12-18,-993.4158,-993.4158,0.0,0.0
S90_BASELINE,180,2025-10-14,-997.1071,-997.1071,0.0,0.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x50,90,2026-03-09,-978.3384,-978.3384,0.0,50.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x50,120,2026-03-09,-976.2286,-976.2286,0.0,50.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x50,150,2026-03-09,-986.2586,-986.2586,0.0,50.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x50,180,2025-10-14,-997.1071,-997.1071,0.0,50.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x40,90,2026-03-09,-978.3384,-978.3384,0.0,40.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x40,120,2026-03-09,-976.2286,-976.2286,0.0,40.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x40,150,2026-03-09,-986.2586,-986.2586,0.0,40.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x40,180,2025-10-14,-997.1071,-997.1071,0.0,40.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x30,90,2026-03-09,-978.3384,-978.3384,0.0,30.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x30,120,2026-03-09,-976.2286,-976.2286,0.0,30.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x30,150,2026-03-09,-986.2586,-986.2586,0.0,30.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x30,180,2025-10-14,-997.1071,-997.1071,0.0,30.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x200,90,2026-06-17,-2615.9723,-121.9723,-2494.0,200.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x200,120,2026-06-17,-2670.1881,-176.1881,-2494.0,200.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x200,150,2026-06-17,-3231.9342,-167.9342,-3064.0,200.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x200,180,2026-06-17,-3284.906,-220.906,-3064.0,200.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x190,90,2026-06-17,-2491.2723,-121.9723,-2369.3,190.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x190,120,2026-06-17,-2545.4881,-176.1881,-2369.3,190.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x190,150,2026-06-17,-3078.7342,-167.9342,-2910.8,190.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x190,180,2026-06-17,-3131.706,-220.906,-2910.8,190.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x180,90,2026-06-17,-2366.5723,-121.9723,-2244.6,180.0
