label,days,date,total,base_s87,overlay,weight
S90_BASELINE,90,2026-05-07,-999.9098,-999.9098,0.0,0.0
S90_BASELINE,120,2026-03-09,-976.2286,-976.2286,0.0,0.0
S90_BASELINE,150,2025-12-18,-993.4158,-993.4158,0.0,0.0
S90_BASELINE,180,2025-10-14,-997.1071,-997.1071,0.0,0.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x0.5,90,2026-05-07,-997.5848,-999.9098,2.325,0.5
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x0.5,120,2026-03-09,-976.2286,-976.2286,0.0,0.5
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x0.5,150,2025-12-18,-993.2758,-993.4158,0.14,0.5
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x0.5,180,2025-10-14,-997.1071,-997.1071,0.0,0.5
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x0.49,90,2026-05-07,-997.6313,-999.9098,2.2785,0.49
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x0.49,120,2026-03-09,-976.2286,-976.2286,0.0,0.49
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x0.49,150,2025-12-18,-993.2786,-993.4158,0.1372,0.49
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x0.49,180,2025-10-14,-997.1071,-997.1071,0.0,0.49
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x0.48,90,2026-05-07,-997.6778,-999.9098,2.232,0.48
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x0.48,120,2026-03-09,-976.2286,-976.2286,0.0,0.48
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x0.48,150,2025-12-18,-993.2814,-993.4158,0.1344,0.48
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x0.48,180,2025-10-14,-997.1071,-997.1071,0.0,0.48
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x0.47,90,2026-05-07,-997.7243,-999.9098,2.1855,0.47
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x0.47,120,2026-03-09,-976.2286,-976.2286,0.0,0.47
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x0.47,150,2025-12-18,-993.2842,-993.4158,0.1316,0.47
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x0.47,180,2025-10-14,-997.1071,-997.1071,0.0,0.47
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x0.46,90,2026-05-07,-997.7708,-999.9098,2.139,0.46
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x0.46,120,2026-03-09,-976.2286,-976.2286,0.0,0.46
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x0.46,150,2025-12-18,-993.287,-993.4158,0.1288,0.46
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x0.46,180,2025-10-14,-997.1071,-997.1071,0.0,0.46
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2x0.45,90,2026-05-07,-997.8173,-999.9098,2.0925,0.45
