label,days,date,total,base_s87,overlay,weight
S93_BASELINE,90,2026-03-09,-978.3384,-978.3384,0.0,0.0
S93_BASELINE,120,2026-03-09,-976.2286,-976.2286,0.0,0.0
S93_BASELINE,150,2025-12-03,-999.9059,-999.9059,0.0,0.0
S93_BASELINE,180,2025-10-14,-997.1071,-997.1071,0.0,0.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom9x0,90,2026-03-09,-978.3384,-978.3384,0.0,0.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom9x0,120,2026-03-09,-976.2286,-976.2286,0.0,0.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom9x0,150,2025-12-03,-999.9059,-999.9059,-0.0,0.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom9x0,180,2025-10-14,-997.1071,-997.1071,0.0,0.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom9x5,90,2026-03-09,-978.3384,-978.3384,0.0,5.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom9x5,120,2026-03-09,-976.2286,-976.2286,0.0,5.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom9x5,150,2025-12-03,-1007.6559,-999.9059,-7.75,5.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom9x5,180,2026-04-22,-1021.3534,-936.6034,-84.75,5.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom9x4.9,90,2026-03-09,-978.3384,-978.3384,0.0,4.9
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom9x4.9,120,2026-03-09,-976.2286,-976.2286,0.0,4.9
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom9x4.9,150,2025-12-03,-1007.5009,-999.9059,-7.595,4.9
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom9x4.9,180,2026-04-22,-1019.6584,-936.6034,-83.055,4.9
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom9x4.8,90,2026-03-09,-978.3384,-978.3384,0.0,4.8
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom9x4.8,120,2026-03-09,-976.2286,-976.2286,0.0,4.8
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom9x4.8,150,2025-12-03,-1007.3459,-999.9059,-7.44,4.8
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom9x4.8,180,2026-04-22,-1017.9634,-936.6034,-81.36,4.8
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom9x4.7,90,2026-03-09,-978.3384,-978.3384,0.0,4.7
