label,days,date,total,base_s87,overlay,weight
S94_BASELINE,90,2026-03-09,-978.3384,-978.3384,0.0,0.0
S94_BASELINE,120,2026-03-09,-976.2286,-976.2286,0.0,0.0
S94_BASELINE,150,2025-12-03,-999.909,-999.909,0.0,0.0
S94_BASELINE,180,2025-10-14,-997.1071,-997.1071,0.0,0.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.064,90,2026-03-09,-978.3384,-978.3384,0.0,0.064
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.064,120,2026-03-09,-976.2286,-976.2286,0.0,0.064
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.064,150,2025-12-03,-999.9999,-999.909,-0.0909,0.064
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.064,180,2025-10-14,-997.1071,-997.1071,0.0,0.064
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.063,90,2026-03-09,-978.3384,-978.3384,0.0,0.063
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.063,120,2026-03-09,-976.2286,-976.2286,0.0,0.063
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.063,150,2025-12-03,-999.9985,-999.909,-0.0895,0.063
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.063,180,2025-10-14,-997.1071,-997.1071,0.0,0.063
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.062,90,2026-03-09,-978.3384,-978.3384,0.0,0.062
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.062,120,2026-03-09,-976.2286,-976.2286,0.0,0.062
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.062,150,2025-12-03,-999.997,-999.909,-0.088,0.062
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.062,180,2025-10-14,-997.1071,-997.1071,0.0,0.062
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.061,90,2026-03-09,-978.3384,-978.3384,0.0,0.061
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.061,120,2026-03-09,-976.2286,-976.2286,0.0,0.061
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.061,150,2025-12-03,-999.9956,-999.909,-0.0866,0.061
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.061,180,2025-10-14,-997.1071,-997.1071,0.0,0.061
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.06,90,2026-03-09,-978.3384,-978.3384,0.0,0.06
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.06,120,2026-03-09,-976.2286,-976.2286,0.0,0.06
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.06,150,2025-12-03,-999.9942,-999.909,-0.0852,0.06
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.06,180,2025-10-14,-997.1071,-997.1071,0.0,0.06
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.059,90,2026-03-09,-978.3384,-978.3384,0.0,0.059
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.059,120,2026-03-09,-976.2286,-976.2286,0.0,0.059
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.059,150,2025-12-03,-999.9928,-999.909,-0.0838,0.059
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.059,180,2025-10-14,-997.1071,-997.1071,0.0,0.059
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.058,90,2026-03-09,-978.3384,-978.3384,0.0,0.058
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.058,120,2026-03-09,-976.2286,-976.2286,0.0,0.058
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.058,150,2025-12-03,-999.9914,-999.909,-0.0824,0.058
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.058,180,2025-10-14,-997.1071,-997.1071,0.0,0.058
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.057,90,2026-03-09,-978.3384,-978.3384,0.0,0.057
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.057,120,2026-03-09,-976.2286,-976.2286,0.0,0.057
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.057,150,2025-12-03,-999.99,-999.909,-0.0809,0.057
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.057,180,2025-10-14,-997.1071,-997.1071,0.0,0.057
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.056,90,2026-03-09,-978.3384,-978.3384,0.0,0.056
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.056,120,2026-03-09,-976.2286,-976.2286,0.0,0.056
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.056,150,2025-12-03,-999.9885,-999.909,-0.0795,0.056
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.056,180,2025-10-14,-997.1071,-997.1071,0.0,0.056
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.055,90,2026-03-09,-978.3384,-978.3384,0.0,0.055
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.055,120,2026-03-09,-976.2286,-976.2286,0.0,0.055
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.055,150,2025-12-03,-999.9871,-999.909,-0.0781,0.055
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.055,180,2025-10-14,-997.1071,-997.1071,0.0,0.055
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.054,90,2026-03-09,-978.3384,-978.3384,0.0,0.054
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.054,120,2026-03-09,-976.2286,-976.2286,0.0,0.054
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.054,150,2025-12-03,-999.9857,-999.909,-0.0767,0.054
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.054,180,2025-10-14,-997.1071,-997.1071,0.0,0.054
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.053,90,2026-03-09,-978.3384,-978.3384,0.0,0.053
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.053,120,2026-03-09,-976.2286,-976.2286,0.0,0.053
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.053,150,2025-12-03,-999.9843,-999.909,-0.0753,0.053
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.053,180,2025-10-14,-997.1071,-997.1071,0.0,0.053
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.052,90,2026-03-09,-978.3384,-978.3384,0.0,0.052
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.052,120,2026-03-09,-976.2286,-976.2286,0.0,0.052
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.052,150,2025-12-03,-999.9828,-999.909,-0.0738,0.052
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.052,180,2025-10-14,-997.1071,-997.1071,0.0,0.052
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.051,90,2026-03-09,-978.3384,-978.3384,0.0,0.051
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.051,120,2026-03-09,-976.2286,-976.2286,0.0,0.051
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.051,150,2025-12-03,-999.9814,-999.909,-0.0724,0.051
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.051,180,2025-10-14,-997.1071,-997.1071,0.0,0.051
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.05,90,2026-03-09,-978.3384,-978.3384,0.0,0.05
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.05,120,2026-03-09,-976.2286,-976.2286,0.0,0.05
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.05,150,2025-12-03,-999.98,-999.909,-0.071,0.05
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.05,180,2025-10-14,-997.1071,-997.1071,0.0,0.05
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.049,90,2026-03-09,-978.3384,-978.3384,0.0,0.049
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.049,120,2026-03-09,-976.2286,-976.2286,0.0,0.049
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.049,150,2025-12-03,-999.9786,-999.909,-0.0696,0.049
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.049,180,2025-10-14,-997.1071,-997.1071,0.0,0.049
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.048,90,2026-03-09,-978.3384,-978.3384,0.0,0.048
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.048,120,2026-03-09,-976.2286,-976.2286,0.0,0.048
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.048,150,2025-12-03,-999.9772,-999.909,-0.0682,0.048
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.048,180,2025-10-14,-997.1071,-997.1071,0.0,0.048
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.047,90,2026-03-09,-978.3384,-978.3384,0.0,0.047
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.047,120,2026-03-09,-976.2286,-976.2286,0.0,0.047
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.047,150,2025-12-03,-999.9757,-999.909,-0.0667,0.047
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.047,180,2025-10-14,-997.1071,-997.1071,0.0,0.047
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.046,90,2026-03-09,-978.3384,-978.3384,0.0,0.046
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.046,120,2026-03-09,-976.2286,-976.2286,0.0,0.046
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frd2_hfrom17x0.046,150,2025-12-03,-999.9743,-999.909,-0.0653,0.046
