entry_bars=17500
total combos: 144
  progress 30/144 elapsed=83.5s
  progress 60/144 elapsed=198.5s
  progress 90/144 elapsed=356.5s
  progress 120/144 elapsed=570.4s
done in 775.5s, 144 valid

  db    mb   sl   rr         ct    n   WR%     $/mo    DD%    PF  posDay%  streak  sharpe
  80  0.25  2.0  2.0  htf_trend   81  34.6     48.6   29.3  1.14    24.2%      12   0.077
  80  0.25  1.5  2.0  htf_trend   81  35.8     33.6   14.3  1.12    29.0%      10   0.074
  40  0.05  1.5  1.5       none  202  43.1     60.9   19.9  1.11    32.7%       5   0.071
  20  0.25  2.0  2.0  htf_trend  109  36.7     45.0   21.0  1.10    30.6%       8   0.066
  40  0.05  2.0  2.0       none  168  36.3     72.6   19.5  1.10    28.0%       7   0.054
  80  0.05  2.0  2.0  htf_trend  110  34.5     36.0   30.5  1.08    29.7%       8   0.045
  80  0.25  1.5  1.5  htf_trend   92  42.4     19.8   13.3  1.07    25.0%      10   0.045
  40  0.25  2.0  2.0       none  122  35.2     39.6   20.2  1.07    28.3%      12   0.039
  40  0.05  1.5  2.0       none  188  36.2     34.2   16.8  1.06    26.4%       8   0.036
  40  0.05  2.0  1.5       none  192  42.2     38.7   15.6  1.05    33.3%       5   0.035
  20  0.25  2.0  1.5  htf_trend  129  41.9     20.7   15.5  1.04    38.6%       7   0.032
 120  0.05  2.0  2.0  htf_trend   95  32.6     22.5   21.1  1.05    26.5%       6   0.031
  80  0.05  2.0  1.5  htf_trend  120  40.8     13.8   20.1  1.03    38.9%       6   0.023
 120  0.25  2.0  2.0       none   74  33.8     13.8   15.7  1.04    29.7%       7   0.023
  40  0.05  1.0  1.5       none  209  42.6     10.5   12.8  1.03    32.7%      11   0.021
