entry_bars=17420
total combos: 108
  progress 30/108 elapsed=91.8s
  progress 60/108 elapsed=185.1s
  progress 90/108 elapsed=285.3s
done in 360.2s, 108 valid

  ia   ma    vw   sl   rr    n   WR%     $/mo    DD%    PF  posDay%  streak  sharpe
 1.5   40   0.1  1.0  1.5  190  62.1    484.2    4.4  2.37    57.5%       4   0.473
 1.5   40   0.2  1.0  1.5  192  61.5    466.2    4.4  2.29    56.1%       4   0.456
 1.5   40  0.05  1.0  1.5  187  61.5    443.7    4.5  2.26    57.5%       4   0.451
 1.5   25   0.2  1.0  1.0  210  73.3    371.4    5.0  2.28    65.0%       2   0.446
 1.5   25   0.1  1.0  1.0  208  72.1    337.5    5.0  2.13    66.7%       2   0.434
 1.5   60   0.1  1.0  1.5  199  61.3    466.5    5.0  2.24    56.1%       4   0.432
 1.5   60  0.05  1.0  1.5  196  60.7    439.2    5.1  2.17    56.1%       4   0.419
 1.5   25  0.05  1.0  1.0  205  71.7    322.5    5.0  2.08    66.7%       2   0.418
 1.5   60   0.2  1.0  1.5  194  61.3    446.1    5.8  2.21    56.1%       4   0.418
 1.5   40   0.1  1.0  1.0  220  71.8    363.3    5.6  2.18    61.0%       3   0.412
 1.5   40  0.05  0.8  1.5  187  61.0    398.4    4.5  2.19    53.7%       3   0.407
 1.5   40   0.1  0.8  1.0  220  70.9    344.7    6.3  2.21    57.1%       3   0.406
 1.5   40   0.1  0.8  1.5  190  60.5    393.0    5.7  2.14    53.7%       3   0.402
 1.5   40  0.05  1.0  1.0  217  71.4    345.9    5.7  2.12    60.0%       3   0.398
 1.5   60   0.1  1.0  1.0  229  71.2    360.6    6.4  2.11    59.5%       3   0.396
