target_af,window_days,component_no,component_type,component_name,weight,raw_trades,derived_window,pnl,pnl_per_day
AF34,30,0,base,S88,,,yes,9046.29001,301.543
AF34,30,1,overlay,AMBFIX_INV_S84_M15_OLDWICK_FOLLOW_RD4.0_5.0_H17,172.759,,yes,2031.64584,67.721528
AF34,30,2,overlay,AMBFIX_DIR_S84_RD2.7_3.4_H10,196.726,,yes,0.0,0.0
AF34,30,3,overlay,AMBFIX_DIR_S84_RD2.7_3.4_H12,123.035,,yes,1609.2978,53.64326
AF34,30,4,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H17,92.141,,yes,855.06848,28.502283
AF34,30,5,overlay,AMBFIX_INV_S84_RD3.4_4.0_H11,325.852,,yes,2293.99808,76.466603
AF34,30,6,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H14,222.36,,yes,1038.4212,34.61404
AF34,30,7,overlay,AMBFIX_INV_S84_RD4.0_5.0_H22,258.309,,yes,-1172.72286,-39.090762
AF34,30,8,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H15,116.366,,yes,1274.2077,42.47359
AF34,30,9,overlay,AMBFIX_INV_S84_RD3.4_4.0_H19,232.335,,yes,1531.08765,51.036255
AF34,30,10,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H11,212.057,,yes,977.58277,32.586092
AF34,30,11,overlay,AMBFIX_DIR_S84_RD3.4_4.0_H22,274.789,,yes,472.63708,15.754569
AF34,30,12,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H20,54.139,,yes,1088.73529,36.291176
AF34,30,13,overlay,AMBFIX_DIR_S84_RD0.8_1.3_H18,414.033,,yes,0.0,0.0
AF34,30,14,overlay,AMBFIX_DIR_S84_RD4.0_5.0_H18,138.139,,yes,0.0,0.0
AF34,30,15,overlay,AMBFIX_INV_S84_RD4.0_5.0_H15,156.917,,yes,685.72729,22.857576
AF34,30,16,overlay,AMBFIX_INV_S84_RD2.0_2.7_H9,158.086,,yes,0.0,0.0
AF34,30,17,overlay,AMBFIX_INV_S84_RD5.0_7.0_H8,86.29,,yes,0.0,0.0
AF34,30,18,overlay,AMBFIX_DIR_S84_RD4.0_5.0_H14,85.289,,yes,675.48888,22.516296
AF34,30,19,overlay,AMBFIX_INV_S84_RD3.4_4.0_H10,46.265,,yes,-162.39015,-5.413005
AF34,30,20,overlay,AMBFIX_DIR_S84c6017_RD5.0_7.0_H17,584.897,,yes,0.0,0.0
AF34,30,21,overlay,AMBFIX_DIR_S84c6017_RD5.0_7.0_H10,344.492,,yes,0.0,0.0
AF34,30,22,overlay,AMBFIX_DIR_S84c6017_RD5.0_7.0_H14,244.089,,yes,1547.52426,51.584142
AF34,30,23,overlay,AMBFIX_INV_S84c6017_RD5.0_7.0_H16,344.837,,yes,-2531.10358,-84.370119
AF34,30,24,overlay,AMBFIX_DIR_S84c6017_ALL_H12,23.911,,yes,952.37513,31.745838
AF34,30,25,overlay,AMBFIX_INV_S84c5505_RD5.0_7.0_H11,121.543,,yes,0.0,0.0
AF34,30,26,overlay,AMBFIX_DIR_S84c5505_RD5.0_7.0_H14,114.571,,yes,0.0,0.0
AF34,30,27,overlay,AMBFIX_INV_S84c4369_RD5.0_7.0_H11,415.734,,yes,0.0,0.0
AF34,30,28,overlay,AMBFIX_INV_S84c4369_RD5.0_7.0_H22,222.978,,yes,1393.6125,46.45375
AF34,30,29,overlay,AMBFIX_DIR_S84c3057_RD4.0_5.0_H19,733.281,,yes,4377.68757,145.922919
AF34,30,30,overlay,AMBFIX_INV_S84c3057_RD2.7_3.4_H13,525.853,,yes,3239.25448,107.975149
AF34,30,31,overlay,AMBFIX_INV_S84c3057_RD3.4_4.0_H11,321.025,,yes,2202.2315,73.407717
AF34,30,32,overlay,AMBFIX_DIR_S84c889_RD2.7_3.4_H9,491.628,,yes,3736.3728,124.54576
AF34,30,33,overlay,AMBFIX_DIR_S84c889_RD3.4_4.0_H13,437.129,,yes,1739.77342,57.992447
AF34,30,34,overlay,AMBFIX_INV_S84c889_RD2.7_3.4_H13,273.83,,yes,1686.7928,56.226427
AF34,60,0,base,S88,,,yes,20326.4298,338.77383
AF34,60,1,overlay,AMBFIX_INV_S84_M15_OLDWICK_FOLLOW_RD4.0_5.0_H17,172.759,,yes,2128.39088,35.473181
AF34,60,2,overlay,AMBFIX_DIR_S84_RD2.7_3.4_H10,196.726,,yes,-2742.36044,-45.706007
AF34,60,3,overlay,AMBFIX_DIR_S84_RD2.7_3.4_H12,123.035,,yes,2295.8331,38.263885
AF34,60,4,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H17,92.141,,yes,2278.64693,37.977449
AF34,60,5,overlay,AMBFIX_INV_S84_RD3.4_4.0_H11,325.852,,yes,3626.73276,60.445546
AF34,60,6,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H14,222.36,,yes,2119.0908,35.31818
AF34,60,7,overlay,AMBFIX_INV_S84_RD4.0_5.0_H22,258.309,,yes,2280.86847,38.014474
AF34,60,8,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H15,116.366,,yes,1778.07248,29.634541
AF34,60,9,overlay,AMBFIX_INV_S84_RD3.4_4.0_H19,232.335,,yes,750.44205,12.507367
AF34,60,10,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H11,212.057,,yes,1972.1301,32.868835
AF34,60,11,overlay,AMBFIX_DIR_S84_RD3.4_4.0_H22,274.789,,yes,1269.52518,21.158753
AF34,60,12,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H20,54.139,,yes,1082.78,18.046333
AF34,60,13,overlay,AMBFIX_DIR_S84_RD0.8_1.3_H18,414.033,,yes,1424.27352,23.737892
AF34,60,14,overlay,AMBFIX_DIR_S84_RD4.0_5.0_H18,138.139,,yes,-154.71568,-2.578595
AF34,60,15,overlay,AMBFIX_INV_S84_RD4.0_5.0_H15,156.917,,yes,-590.00792,-9.833465
AF34,60,16,overlay,AMBFIX_INV_S84_RD2.0_2.7_H9,158.086,,yes,2156.29304,35.938217
AF34,60,17,overlay,AMBFIX_INV_S84_RD5.0_7.0_H8,86.29,,yes,-518.6029,-8.643382
AF34,60,18,overlay,AMBFIX_DIR_S84_RD4.0_5.0_H14,85.289,,yes,959.50125,15.991688
AF34,60,19,overlay,AMBFIX_INV_S84_RD3.4_4.0_H10,46.265,,yes,-162.39015,-2.706503
AF34,60,20,overlay,AMBFIX_DIR_S84c6017_RD5.0_7.0_H17,584.897,,yes,-3509.382,-58.4897
AF34,60,21,overlay,AMBFIX_DIR_S84c6017_RD5.0_7.0_H10,344.492,,yes,0.0,0.0
AF34,60,22,overlay,AMBFIX_DIR_S84c6017_RD5.0_7.0_H14,244.089,,yes,1547.52426,25.792071
AF34,60,23,overlay,AMBFIX_INV_S84c6017_RD5.0_7.0_H16,344.837,,yes,-693.12237,-11.55204
AF34,60,24,overlay,AMBFIX_DIR_S84c6017_ALL_H12,23.911,,yes,986.80697,16.446783
AF34,60,25,overlay,AMBFIX_INV_S84c5505_RD5.0_7.0_H11,121.543,,yes,-268.61003,-4.476834
AF34,60,26,overlay,AMBFIX_DIR_S84c5505_RD5.0_7.0_H14,114.571,,yes,0.0,0.0
AF34,60,27,overlay,AMBFIX_INV_S84c4369_RD5.0_7.0_H11,415.734,,yes,0.0,0.0
AF34,60,28,overlay,AMBFIX_INV_S84c4369_RD5.0_7.0_H22,222.978,,yes,1393.6125,23.226875
AF34,60,29,overlay,AMBFIX_DIR_S84c3057_RD4.0_5.0_H19,733.281,,yes,8146.75191,135.779199
AF34,60,30,overlay,AMBFIX_INV_S84c3057_RD2.7_3.4_H13,525.853,,yes,3239.25448,53.987575
AF34,60,31,overlay,AMBFIX_INV_S84c3057_RD3.4_4.0_H11,321.025,,yes,2202.2315,36.703858
AF34,60,32,overlay,AMBFIX_DIR_S84c889_RD2.7_3.4_H9,491.628,,yes,1971.42828,32.857138
AF34,60,33,overlay,AMBFIX_DIR_S84c889_RD3.4_4.0_H13,437.129,,yes,-17.48516,-0.291419
AF34,60,34,overlay,AMBFIX_INV_S84c889_RD2.7_3.4_H13,273.83,,yes,1686.7928,28.113213
AF34,90,0,base,S88,,,no,42622.95059,473.58834
AF34,90,1,overlay,AMBFIX_INV_S84_M15_OLDWICK_FOLLOW_RD4.0_5.0_H17,172.759,12,no,4464.09256,49.601028
