portfolio,days,result,backtest,live_style,detail
AF22,90,MATCH,2,2,2 filtered trades match
AF22,120,MATCH,2,2,2 filtered trades match
AF22,150,MATCH,5,5,5 filtered trades match
AF22,180,MATCH,8,8,8 filtered trades match
AF34,90,MATCH,1,1,1 filtered trades match
AF34,120,MATCH,2,2,2 filtered trades match
AF34,150,MATCH,5,5,5 filtered trades match
AF34,180,MATCH,6,6,6 filtered trades match
AF47,90,MATCH,2,2,2 filtered trades match
AF47,120,MATCH,3,3,3 filtered trades match
AF47,150,MATCH,3,3,3 filtered trades match
AF47,180,MATCH,3,3,3 filtered trades match
