symbol,portfolio,days,result,backtest,live_style,detail
XAUUSD.iux,AF22,30,MATCH,1,1,1 filtered trades match
XAUUSD.iux,AF22,60,MATCH,1,1,1 filtered trades match
XAUUSD.iux,AF22,90,MATCH,2,2,2 filtered trades match
XAUUSD.iux,AF22,120,MATCH,2,2,2 filtered trades match
XAUUSD.iux,AF22,150,MATCH,5,5,5 filtered trades match
XAUUSD.iux,AF22,180,MATCH,8,8,8 filtered trades match
XAUUSD.iux,AF34,30,MATCH,1,1,1 filtered trades match
XAUUSD.iux,AF34,60,MATCH,1,1,1 filtered trades match
XAUUSD.iux,AF34,90,MATCH,1,1,1 filtered trades match
XAUUSD.iux,AF34,120,MATCH,2,2,2 filtered trades match
XAUUSD.iux,AF34,150,MATCH,5,5,5 filtered trades match
XAUUSD.iux,AF34,180,MATCH,6,6,6 filtered trades match
XAUUSD.iux,AF47,30,MATCH,0,0,0 filtered trades match
XAUUSD.iux,AF47,60,MATCH,1,1,1 filtered trades match
XAUUSD.iux,AF47,90,MATCH,2,2,2 filtered trades match
XAUUSD.iux,AF47,120,MATCH,3,3,3 filtered trades match
XAUUSD.iux,AF47,150,MATCH,3,3,3 filtered trades match
XAUUSD.iux,AF47,180,MATCH,3,3,3 filtered trades match
