Env,Portfolio,Days,TradingDays,$/Day,$/Month,Sharpe,PosDay(%),MaxLosingStreak
demo,P13,30,38,254.29,7628.65,0.778,71.1,3
demo,P13,60,73,275.51,8265.17,0.685,71.2,3
demo,P13,90,109,270.96,8128.91,0.596,65.1,3
demo,P13,120,141,300.08,9002.33,0.56,65.2,4
demo,P13,150,179,268.45,8053.61,0.505,61.5,4
demo,P13,180,212,278.7,8360.9,0.479,61.8,4
demo,P16,30,38,307.75,9232.65,0.829,78.9,2
demo,P16,60,73,319.41,9582.44,0.719,76.7,2
demo,P16,90,109,290.91,8727.36,0.574,65.1,4
demo,P16,120,141,321.39,9641.83,0.531,66.7,4
demo,P16,150,179,286.06,8581.73,0.481,62.0,4
demo,P16,180,213,300.35,9010.64,0.467,62.9,4
