Portfolio,Leg,Label,Trades,WinRate(%),P/L($),AvgWin($),AvgLoss($),MaxSLStreak,OtherClose
P13,B,S34 VolBreak,1,0.0,-16.17,0.0,-16.17,1,0
P13,C,S36 FVG,2,50.0,-2.74,1.64,-4.38,1,1
P13,D,S37 S/R Pivot,54,40.7,-52.13,7.26,-6.62,9,11
P13,F,S39 Demand/Supply,24,50.0,-9.01,5.58,-6.33,8,11
P13,I,S42 CRT,6,66.7,26.69,11.21,-9.09,2,0
P13,K,S44 VolProfile,34,61.8,115.07,8.76,-5.29,6,13
P13,N,S47 SuperTrend,7,42.9,4.53,5.42,-2.93,3,7
P13,R,S56 PrevWeekHL,5,0.0,-0.93,0.0,-0.19,5,5
P16,A,S31 Engulfing,7,42.9,-27.66,2.95,-9.13,2,2
P16,B,S34 VolBreak,1,0.0,-16.13,0.0,-16.13,1,0
P16,C,S36 FVG,2,50.0,-2.76,1.62,-4.38,1,1
P16,D,S37 S/R Pivot,54,40.7,-52.91,7.22,-6.61,9,11
P16,E,S38 Fibonacci OTE,14,64.3,2.53,4.01,-6.72,2,10
P16,F,S39 Demand/Supply,24,45.8,-9.79,6.06,-5.88,8,11
P16,I,S42 CRT,6,66.7,25.57,10.95,-9.11,2,0
P16,K,S44 VolProfile,34,61.8,114.78,8.75,-5.3,6,13
P16,L,S45 OrderBlock,4,25.0,-6.01,7.57,-4.53,3,4
P16,N,S47 SuperTrend,7,42.9,4.56,5.42,-2.93,3,7
P16,R,S56 PrevWeekHL,5,0.0,-0.93,0.0,-0.19,5,5
