Month,Trades,Win,Loss,Net Profit,Win Rate (%),Balance
2024-03,33,33,0,151367.24,100.0,152367.24
2024-04,344,140,204,-241345.15,40.7,-88977.91
2024-05,362,186,176,-237346.88,51.38,-326324.79
2024-06,275,173,102,335856.48,62.91,9531.69
2024-07,570,426,144,1230726.47,74.74,1240258.16
2024-08,491,373,118,1096330.54,75.97,2336588.7
2024-09,624,458,166,1281226.66,73.4,3617815.36
2024-10,477,361,116,1035682.64,75.68,4653498.0
2024-11,401,278,123,826321.49,69.33,5479819.49
2024-12,327,187,140,19129.48,57.19,5498948.97
2025-01,392,260,132,519683.23,66.33,6018632.2
2025-02,323,208,115,262214.34,64.4,6280846.54
2025-03,339,203,136,48905.66,59.88,6329752.2
2025-04,271,155,116,742.21,57.2,6330494.41
2025-05,266,139,127,195.59,52.26,6330690.0
2025-06,245,153,92,15249.29,62.45,6345939.29
2025-07,352,189,163,289.09,53.69,6346228.38
2025-08,252,145,107,39891.3,57.54,6386119.68
2025-09,311,179,132,56781.71,57.56,6442901.39
2025-10,285,176,109,414865.91,61.75,6857767.3
2025-11,197,109,88,7732.75,55.33,6865500.05
2025-12,291,166,125,21257.22,57.04,6886757.27
2026-01,280,157,123,21381.07,56.07,6908138.34
2026-02,186,114,72,783.36,61.29,6908921.7
2026-03,250,137,113,221.23,54.8,6909142.93
2026-04,229,129,100,163.33,56.33,6909306.26
2026-05,229,132,97,537.13,57.64,6909843.39
2026-06,195,112,83,149.73,57.44,6909993.12
2026-07,83,47,36,89.18,56.63,6910082.3
