Month,Trades,Win,Loss,Net Profit,Win Rate (%),Balance
2024-10,214,123,91,3622259.83,57.48,3672259.83
2024-11,282,175,107,2837826.73,62.06,6510086.56
2024-12,284,167,117,40467.79,58.8,6550554.35
2025-01,228,138,90,3739736.79,60.53,10290291.14
2025-02,250,150,100,1308439.47,60.0,11598730.61
2025-03,280,181,99,53935.08,64.64,11652665.69
2025-04,192,128,64,89515.3,66.67,11742180.99
2025-05,199,106,93,25708.57,53.27,11767889.56
2025-06,189,124,65,31866.7,65.61,11799756.26
2025-07,234,148,86,20288.98,63.25,11820045.24
2025-08,237,148,89,36645.55,62.45,11856690.79
2025-09,215,128,87,70807.51,59.53,11927498.3
2025-10,176,115,61,1795014.98,65.34,13722513.28
2025-11,174,114,60,102710.9,65.52,13825224.18
2025-12,195,125,70,33880.22,64.1,13859104.4
2026-01,140,93,47,27810.94,66.43,13886915.34
2026-02,111,73,38,69046.97,65.77,13955962.31
2026-03,134,80,54,121935.04,59.7,14077897.35
2026-04,140,95,45,-3741.46,67.86,14074155.89
2026-05,182,122,60,40968.72,67.03,14115124.61
2026-06,125,84,41,24506.07,67.2,14139630.68
2026-07,68,43,25,17259.39,63.24,14156890.07
