Month,Trades,Win,Loss,Net Profit,Win Rate (%),Balance
2024-10,622,403,219,828296.09,64.79,928296.09
2024-11,951,638,313,1923726.12,67.09,2852022.21
2024-12,1004,605,399,362242.37,60.26,3214264.58
2025-01,859,551,308,1315949.56,64.14,4530214.14
2025-02,871,535,336,486072.28,61.42,5016286.42
2025-03,935,572,363,439805.55,61.18,5456091.97
2025-04,688,418,270,1405736.2,60.76,6861828.17
2025-05,707,389,318,48185.8,55.02,6910013.97
2025-06,631,398,233,565824.45,63.07,7475838.42
2025-07,866,506,360,304492.88,58.43,7780331.3
2025-08,660,389,271,386918.49,58.94,8167249.79
2025-09,711,426,285,242341.82,59.92,8409591.61
2025-10,610,364,246,997693.78,59.67,9407285.39
2025-11,496,310,186,1197947.12,62.5,10605232.51
2025-12,738,459,279,653637.21,62.2,11258869.72
2026-01,684,403,281,970825.56,58.92,12229695.28
2026-02,505,353,152,2485030.2,69.9,14714725.48
2026-03,595,344,251,978646.94,57.82,15693372.42
2026-04,525,300,225,-229831.12,57.14,15463541.3
2026-05,580,345,235,975916.03,59.48,16439457.33
2026-06,503,319,184,450745.67,63.42,16890203.0
2026-07,161,100,61,291983.36,62.11,17182186.36
