Month,Trades,Win,Loss,Net Profit,Win Rate (%),Balance
2024-03,90,87,3,19847.32,96.67,24847.32
2024-04,864,418,446,-33607.51,48.38,-8760.19
2024-05,988,549,439,-5167.93,55.57,-13928.12
2024-06,641,394,247,30929.49,61.47,17001.37
2024-07,1242,854,388,104156.34,68.76,121157.71
2024-08,988,701,287,81829.58,70.95,202987.29
2024-09,1198,801,397,65660.86,66.86,268648.15
2024-10,995,689,306,69520.85,69.25,338169.0
2024-11,863,588,275,74176.62,68.13,412345.62
2024-12,974,595,379,23757.04,61.09,436102.66
2025-01,797,508,289,47781.76,63.74,483884.42
2025-02,823,528,295,31926.61,64.16,515811.03
2025-03,935,576,359,20367.61,61.6,536178.64
2025-04,708,435,273,63588.46,61.44,599767.1
2025-05,766,431,335,13463.71,56.27,613230.81
2025-06,694,440,254,28348.47,63.4,641579.28
2025-07,957,574,383,20716.89,59.98,662296.17
2025-08,714,432,282,22657.13,60.5,684953.3
2025-09,780,476,304,10953.93,61.03,695907.23
2025-10,654,392,262,44125.28,59.94,740032.51
2025-11,518,309,209,29646.16,59.65,769678.67
2025-12,800,504,296,38324.99,63.0,808003.66
2026-01,752,443,309,48329.82,58.91,856333.48
2026-02,549,385,164,110212.37,70.13,966545.85
2026-03,656,377,279,33099.68,57.47,999645.53
2026-04,558,319,239,11649.59,57.17,1011295.12
2026-05,615,371,244,59554.8,60.33,1070849.92
2026-06,546,340,206,12970.15,62.27,1083820.07
2026-07,170,107,63,12202.37,62.94,1096022.44
