Month,Trades,Win,Loss,Net Profit,Win Rate (%),Balance
2024-04,8,0,6,-24.79,0.0,1975.21
2024-05,6,0,3,-1.83,0.0,1973.38
2024-06,11,0,7,-20.21,0.0,1953.17
2024-07,10,0,9,-46.49,0.0,1906.68
2024-08,9,0,5,1.94,0.0,1908.62
2024-09,7,0,3,4.43,0.0,1913.05
2024-10,8,0,2,20.59,0.0,1933.64
2024-11,9,0,7,-24.98,0.0,1908.66
2024-12,6,1,5,-8.04,16.67,1900.62
2025-01,5,0,2,8.71,0.0,1909.33
2025-02,15,0,6,57.97,0.0,1967.3
2025-03,14,0,8,-2.23,0.0,1965.07
2025-04,11,0,10,-112.81,0.0,1852.26
2025-05,5,0,4,-24.59,0.0,1827.67
2025-06,7,0,4,-11.39,0.0,1816.28
2025-07,15,0,7,32.36,0.0,1848.64
2025-08,11,0,3,22.88,0.0,1871.52
2025-09,18,1,6,56.7,14.29,1928.22
2025-10,9,0,7,-53.11,0.0,1875.11
2025-11,4,0,1,7.66,0.0,1882.77
2025-12,8,1,3,57.04,25.0,1939.81
2026-01,10,1,5,-14.72,16.67,1925.09
2026-02,3,0,1,43.95,0.0,1969.04
2026-03,11,1,5,88.21,16.67,2057.25
2026-04,7,1,1,84.13,50.0,2141.38
2026-05,14,1,6,42.79,14.29,2184.17
2026-06,9,2,2,216.77,50.0,2400.94
2026-07,5,1,2,41.27,33.33,2442.21
