Time (BKK),Close Time,Leg,TF,Type,Entry,SL,TP,Lot,P&L,Balance,Outcome
-,-,S111,M5,BUY,2311.53,2310.03,2316.88,0.01,-1.7,1998.3,SL
-,-,S111,M5,SELL,2327.98,2329.67,2314.1,0.01,-1.89,1996.41,SL
-,-,S111,M5,SELL,2327.98,2329.48,2314.1,0.01,-1.7,1994.71,SL
-,-,S111,M5,SELL,2327.98,2329.48,2314.1,0.01,-1.7,1993.01,SL
-,-,S111,M5,BUY,2335.59,2334.09,2341.63,0.01,-1.7,1991.31,SL
-,-,S111,M5,BUY,2328.33,2326.83,2333.24,0.01,4.71,1996.02,TP
-,-,S111,M5,BUY,2346.5,2345.0,2351.46,0.01,4.76,2000.78,TP
-,-,S111,M5,SELL,2345.76,2347.26,2341.25,0.01,4.31,2005.09,TP
-,-,S111,M5,SELL,2345.76,2347.26,2341.25,0.01,4.31,2009.4,TP
-,-,S111,M5,SELL,2345.76,2347.26,2341.25,0.01,4.31,2013.71,TP
-,-,S111,M5,SELL,2345.76,2347.26,2341.25,0.01,4.31,2018.02,TP
-,-,S111,M5,BUY,2345.07,2343.57,2357.0,0.01,11.73,2029.75,TP
-,-,S111,M5,BUY,2344.92,2343.0,2356.76,0.01,-2.12,2027.63,SL
-,-,S111,M5,BUY,2344.92,2343.35,2356.76,0.01,-1.77,2025.86,SL
-,-,S111,M5,BUY,2344.92,2343.42,2356.76,0.01,-1.7,2024.16,SL
-,-,S111,M5,BUY,2344.92,2343.42,2356.76,0.01,-1.7,2022.46,SL
-,-,S111,M5,BUY,2344.92,2343.42,2356.76,0.01,-1.7,2020.76,SL
-,-,S111,M5,BUY,2344.92,2343.42,2356.76,0.01,-1.7,2019.06,SL
-,-,S111,M5,BUY,2344.92,2343.42,2356.76,0.01,-1.7,2017.36,SL
-,-,S111,M5,SELL,2394.0,2395.5,2390.94,0.01,2.86,2020.22,TP
-,-,S111,M5,SELL,2370.77,2372.27,2362.31,0.01,-1.7,2018.52,SL
-,-,S111,M5,SELL,2370.77,2372.27,2362.31,0.01,-1.7,2016.82,SL
-,-,S111,M5,SELL,2370.77,2372.27,2362.31,0.01,-1.7,2015.12,SL
-,-,S111,M5,SELL,2327.13,2329.06,2314.58,0.01,-2.13,2012.99,SL
-,-,S111,M5,SELL,2327.13,2328.63,2314.58,0.01,-1.7,2011.29,SL
-,-,S111,M5,SELL,2327.13,2328.63,2314.58,0.01,-1.7,2009.59,SL
-,-,S111,M5,SELL,2327.13,2328.63,2314.58,0.01,-1.7,2007.89,SL
-,-,S111,M5,SELL,2327.13,2328.63,2314.58,0.01,-1.7,2006.19,SL
-,-,S111,M5,SELL,2327.13,2328.63,2314.58,0.01,-1.7,2004.49,SL
-,-,S111,M5,SELL,2327.13,2328.63,2314.58,0.01,-1.7,2002.79,SL
-,-,S111,M5,SELL,2327.13,2328.63,2314.58,0.01,-1.7,2001.09,SL
-,-,S111,M5,SELL,2316.69,2318.19,2310.88,0.01,-1.7,1999.39,SL
-,-,S111,M5,SELL,2340.56,2342.06,2335.76,0.01,-1.7,1997.69,SL
-,-,S111,M5,SELL,2340.56,2342.06,2335.76,0.01,-1.7,1995.99,SL
-,-,S111,M5,SELL,2340.56,2342.06,2335.76,0.01,-1.7,1994.29,SL
-,-,S111,M5,SELL,2340.56,2342.06,2335.76,0.01,-1.7,1992.59,SL
-,-,S111,M5,SELL,2340.56,2342.06,2335.76,0.01,-1.7,1990.89,SL
-,-,S111,M5,SELL,2340.56,2342.06,2335.76,0.01,-1.7,1989.19,SL
-,-,S111,M5,BUY,2286.47,2284.97,2291.31,0.01,-1.7,1987.49,SL
-,-,S111,M5,BUY,2286.47,2284.97,2291.31,0.01,-1.7,1985.79,SL
-,-,S111,M5,BUY,2297.61,2295.67,2309.45,0.01,-2.14,1983.65,SL
-,-,S111,M5,SELL,2309.45,2310.95,2305.59,0.01,-1.7,1981.95,SL
-,-,S111,M5,SELL,2309.45,2310.95,2305.59,0.01,-1.7,1980.25,SL
-,-,S111,M5,SELL,2300.83,2302.33,2295.75,0.01,-1.7,1978.55,SL
-,-,S111,M5,SELL,2300.83,2302.33,2295.75,0.01,-1.7,1976.85,SL
-,-,S111,M5,BUY,2358.91,2357.41,2361.6,0.01,-1.7,1975.15,SL
-,-,S111,M5,SELL,2343.24,2344.74,2339.67,0.01,-1.7,1973.45,SL
-,-,S111,M5,SELL,2343.24,2344.74,2339.67,0.01,-1.7,1971.75,SL
-,-,S111,M5,SELL,2343.24,2344.74,2339.67,0.01,-1.7,1970.05,SL
-,-,S111,M5,SELL,2343.24,2344.74,2339.67,0.01,-1.7,1968.35,SL
-,-,S111,M5,SELL,2343.24,2344.74,2339.67,0.01,-1.7,1966.65,SL
-,-,S111,M5,SELL,2343.24,2344.74,2339.67,0.01,-1.7,1964.95,SL
-,-,S111,M5,BUY,2425.73,2424.23,2434.05,0.01,-1.7,1963.25,SL
-,-,S111,M5,BUY,2425.73,2424.23,2434.05,0.01,-1.7,1961.55,SL
-,-,S111,M5,BUY,2425.73,2424.23,2434.05,0.01,-1.7,1959.85,SL
-,-,S111,M5,BUY,2425.73,2424.23,2434.05,0.01,-1.7,1958.15,SL
-,-,S111,M5,BUY,2425.73,2424.23,2434.05,0.01,-1.7,1956.45,SL
-,-,S111,M5,BUY,2425.73,2424.23,2434.05,0.01,-1.7,1954.75,SL
-,-,S111,M5,BUY,2425.73,2424.23,2434.05,0.01,-1.7,1953.05,SL
-,-,S111,M5,BUY,2334.9,2333.4,2338.82,0.01,3.72,1956.77,TP
-,-,S111,M5,SELL,2354.35,2355.85,2351.81,0.01,-1.7,1955.07,SL
-,-,S111,M5,BUY,2334.47,2332.97,2337.73,0.01,-1.7,1953.37,SL
-,-,S111,M5,BUY,2334.47,2332.97,2337.73,0.01,-1.7,1951.67,SL
-,-,S111,M5,BUY,2334.47,2332.97,2337.73,0.01,-1.7,1949.97,SL
-,-,S111,M5,BUY,2334.47,2332.97,2337.73,0.01,-1.7,1948.27,SL
-,-,S111,M5,SELL,2336.72,2338.22,2333.72,0.01,-1.7,1946.57,SL
-,-,S111,M5,SELL,2336.72,2338.22,2333.72,0.01,-1.7,1944.87,SL
