SIM_Open_Time,MT5_Open_Time,SIM_Close_Time,MT5_Close_Time,SIM_Leg,SIM_TF,MT5_TF,SIM_Type,MT5_Type,SIM_Entry,MT5_Entry,MT5_Close_Price,SIM_SL,MT5_SL,SIM_TP,MT5_TP,SIM_Lot,MT5_Volume,SIM_P&L,MT5_P&L,SIM_Balance,MT5_Balance,MT5_Comment,MT5_Position_ID,Matched,Match_Detail,SIM_Reason,MT5_Reason,Sim_point,MT5_point
,2026-07-15 00:29:25,,2026-07-15 17:45:39,,,H1,,BUY,,4062.44,4050.86,,3933.12,,4321.08,,0.06,,-69.48,,4930.52,H1-LTS_AUS_924,3468236369,False,MT5_ONLY,ไม่มี SIM คู่ — backtest ไม่เจอ pattern นี้,#3468236369 by #3468772321,,-1158.1
,2026-07-15 00:29:25,,2026-07-15 17:45:39,,,H1,,SELL,,4062.2,4030.79,,4320.84,,3932.88,,0.01,,31.41,,4961.93,H1-LTS_AUS_925,3468236376,False,MT5_ONLY,ไม่มี SIM คู่ — backtest ไม่เจอ pattern นี้,,,3141.3
,2026-07-15 02:09:25,,2026-07-15 17:45:39,,,M15,,BUY,,4054.86,4030.55,,4008.41,,4124.54,,0.36,,-875.34,,4086.59,M15-LTS_AUS_914,3468588532,False,MT5_ONLY_CB_DESYNC,cb_desync: simulated CB (550d) ตัดทิ้ง แต่บัญชีจริง cooldown_remaining=0 consec_loss=2 ตอนนี้,,,-2431.5
,2026-07-15 02:09:25,,2026-07-15 17:45:39,,,H1,,BUY,,4054.86,4050.0,,3925.47,,4313.65,,0.06,,-29.17,,4057.42,H1-LTS_AUS_924,3468588536,False,MT5_ONLY,ไม่มี SIM คู่ — backtest ไม่เจอ pattern นี้,#3468588536 by #3468857005,,-486.1
,2026-07-15 02:09:25,,2026-07-15 17:45:39,,,H1,,SELL,,4054.62,4030.79,,4313.4,,3925.23,,0.01,,23.83,,4081.25,H1-LTS_AUS_925,3468588537,False,MT5_ONLY,ไม่มี SIM คู่ — backtest ไม่เจอ pattern นี้,,,2383.5
,2026-07-15 02:09:25,,2026-07-15 17:45:39,,,M15,,SELL,,4054.62,4030.79,,4124.3,,4008.17,,0.5,,1191.75,,5273.0,M15-LTS_AUS_915,3468588535,False,MT5_ONLY,ไม่มี SIM คู่ — backtest ไม่เจอ pattern นี้,,,2383.5
,2026-07-15 03:39:26,,2026-07-15 17:45:39,,,M15,,SELL,,4050.86,4062.44,,4106.65,,3939.27,,0.06,,0.0,,5273.0,M15-LTS_AUS_912,3468772321,False,MT5_ONLY_CB_DESYNC,cb_desync: simulated CB (550d) ตัดทิ้ง แต่บัญชีจริง cooldown_remaining=0 consec_loss=2 ตอนนี้,#3468236369 by #3468772321,,-1158.1
,2026-07-15 03:39:26,,2026-07-15 17:45:39,,,M15,,BUY,,4051.1,4030.55,,3939.51,,4106.89,,0.07,,-143.87,,5129.13,M15-LTS_AUS_913,3468772322,False,MT5_ONLY,ไม่มี SIM คู่ — backtest ไม่เจอ pattern นี้,,,-2055.2
,2026-07-15 05:24:15,,2026-07-15 17:45:39,,,M15,,SELL,,4050.0,4054.86,,4107.75,,3934.49,,0.06,,0.0,,5129.13,M15-LTS_AUS_912,3468857005,False,MT5_ONLY_CB_DESYNC,cb_desync: simulated CB (550d) ตัดทิ้ง แต่บัญชีจริง cooldown_remaining=0 consec_loss=2 ตอนนี้,#3468588536 by #3468857005,,-486.1
,2026-07-15 05:24:15,,2026-07-15 17:45:39,,,M15,,BUY,,4050.24,4030.55,,3934.74,,4107.99,,0.07,,-137.86,,4991.27,M15-LTS_AUS_913,3468857006,False,MT5_ONLY,ไม่มี SIM คู่ — backtest ไม่เจอ pattern นี้,,,-1969.4
