idx,time,signal,outcome,rsi,rsi_7,adx,di_diff,vol_ratio,z_score,body_pct,atr_pct,dist_ema50,dist_ema200,upper_wick_pct,lower_wick_pct,range_atr_ratio,hour
101,2024-08-30 11:00,SELL,BE,39.52,54.31,24.35,-1.84,1.05,-1.1,0.93,0.18,-1.41,0.61,0.06,0.01,2.1,11
478,2024-09-24 06:00,SELL,LOSS,42.87,46.25,25.21,-0.58,1.4,-0.65,0.85,0.17,7.21,43.04,0.13,0.01,3.35,6
556,2024-09-27 15:00,SELL,BE,28.14,24.83,34.28,-19.68,1.99,-3.17,0.97,0.26,-13.28,24.39,0.03,0.01,2.52,15
673,2024-10-04 17:00,SELL,BE,39.22,39.66,35.87,-12.65,1.44,-1.86,0.66,0.36,-9.51,1.05,0.05,0.29,1.24,17
924,2024-10-21 15:00,SELL,LOSS,53.81,39.53,36.74,-1.68,1.98,-0.57,0.81,0.24,11.15,48.26,0.02,0.17,2.57,15
1126,2024-11-01 14:00,SELL,WIN,52.75,44.73,38.86,2.39,2.25,-0.58,0.47,0.25,-11.82,3.4,0.14,0.39,2.75,14
1357,2024-11-15 16:00,SELL,LOSS,42.04,47.05,20.21,-2.16,1.64,-1.33,0.77,0.3,-11.74,-69.1,0.22,0.01,1.45,16
1401,2024-11-19 14:00,SELL,LOSS,57.36,54.59,71.61,17.37,2.37,0.16,0.83,0.28,17.26,1.28,0.12,0.05,1.91,14
1480,2024-11-25 01:00,SELL,WIN,45.89,43.28,35.17,-6.53,1.85,-0.22,0.58,0.34,18.11,52.6,0.03,0.39,1.79,1
1707,2024-12-09 03:00,SELL,LOSS,50.23,54.51,20.51,-0.04,0.86,0.18,0.87,0.34,-0.36,-3.48,0.06,0.06,0.92,3
1734,2024-12-10 07:00,SELL,LOSS,44.96,48.54,43.54,-3.4,0.83,-0.07,0.76,0.18,10.02,17.91,0.11,0.13,1.47,7
2026,2024-12-30 04:00,SELL,BE,54.3,66.73,34.55,-1.6,0.47,0.05,0.87,0.2,-1.98,-7.41,0.0,0.13,1.01,4
2338,2025-01-17 18:00,SELL,LOSS,40.8,45.97,41.29,-18.36,0.95,-1.49,0.88,0.2,0.73,25.1,0.09,0.03,1.44,18
2449,2025-01-24 16:00,SELL,BE,46.17,47.71,65.53,5.89,1.52,0.16,0.52,0.22,11.14,46.51,0.21,0.27,1.26,16
