Month,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-02,370,21,349,0,-256008.0,-256008.0
2025-03,552,76,476,0,6648.0,-249360.0
2025-04,628,74,554,0,-202796.0,-452156.0
2025-05,673,61,612,0,-452480.0,-904636.0
2025-06,646,66,580,0,-142748.0,-1047384.0
2025-07,677,83,594,0,161124.0,-886260.0
2025-08,646,87,559,0,23548.0,-862712.0
2025-09,529,90,439,0,565470.0,-297242.0
2025-10,655,69,586,0,-279092.0,-576334.0
2025-11,565,102,463,0,440226.0,-136108.0
2025-12,654,104,550,0,710136.0,574028.0
2026-01,646,94,552,0,1247214.0,1821242.0
2026-02,630,76,554,0,405806.0,2227048.0
2026-03,624,69,555,0,-394370.0,1832678.0
2026-04,629,47,580,0,-557840.0,1274838.0
2026-05,762,53,709,0,-750208.0,524630.0
2026-06,675,83,592,0,62462.0,587092.0
2026-07,746,52,694,0,-752630.0,-165538.0
2026-08,231,5,226,0,-304266.0,-469804.0
