Pattern,TF,Trades,Win,Loss,BE,Net_PnL
ATR,H1,58,11,47,0,89.14000000000001
ATR,H12,2,0,2,0,-129.32
ATR,M15,177,30,146,0,544.9
ATR,M30,109,18,91,0,-89.00999999999998
ATR/FVG,H1,2,2,0,0,357.33000000000004
Div,D1,5,0,5,0,-666.8399999999999
Div,H1,288,37,251,0,-2579.85
Div,H12,15,0,15,0,-914.72
Div,M15,397,45,352,0,-2051.84
Div,M30,318,28,290,0,-3039.56
Div/ATR,H1,1,0,1,0,-41.71
Div/ATR,M15,3,0,3,0,-42.94
Div/FVG,H1,14,0,14,0,-425.21
Div/FollowDiv,H1,3,0,3,0,-69.24
Div/FollowDiv,M15,12,1,11,0,77.18
Div/FollowDiv,M30,12,1,11,0,-61.83000000000001
Div/FollowDiv/FVG,H1,2,0,2,0,-60.980000000000004
FVG,H1,662,116,543,0,-2938.5800000000004
Fibo,D1,1,1,0,0,249.95
Fibo,H1,6,0,6,0,-42.24
Fibo,H12,4,1,3,0,-107.84
Fibo,M15,14,5,9,0,-14.080000000000002
Fibo,M30,1,0,1,0,-0.86
Fibo/ATR,M15,1,1,0,0,33.08
FollowDiv,D1,5,0,5,0,-421.83
FollowDiv,H1,81,12,69,0,303.8299999999999
FollowDiv,H12,8,0,8,0,-716.62
FollowDiv,M15,548,89,459,0,1081.49
FollowDiv,M30,228,39,189,0,157.35000000000002
FollowDiv/ATR,M15,1,0,1,0,-5.15
FollowDiv/ATR,M30,1,0,1,0,-16.08
FollowDiv/FVG,H1,24,2,22,0,-539.91
GapSweep,D1,27,13,10,0,898.8
GapSweep,H1,99,57,42,0,1118.26
GapSweep,H12,32,16,15,0,900.19
GapSweep,M15,199,110,89,0,980.27
GapSweep,M30,131,74,57,0,584.6999999999999
