Pattern,TF,Time (BKK),Type,Limit_Price,Entry,SL,TP,be_trig,be_act,RSI,ATR,Lot,dist_sma50,dist_sma200,body,range,Bars_Waited,Reason,P&L,CloseTime (BKK),Balance,Date,Month
GapSweep,H1,2025-03-17 09:00,BUY,2984.93,2984.93,2974.66,3001.55,2997.26,False,52.9,5.14,0.01,0.32,,2.92,5.34,0,TP,16.62,2025-03-17 21:00,10016.62,2025-03-17,2025-03
FollowDiv,H1,2025-03-19 04:00,SELL,3038.25,3038.25,3050.91,2978.46,3014.33,False,52.96,5.46,0.01,0.85,,2.96,6.74,4,SL,-12.66,2025-03-19 20:00,10003.96,2025-03-19,2025-03
GapSweep,H1,2025-03-24 07:00,BUY,3021.09,3021.09,3008.9,3040.81,3035.71,False,67.4,6.09,0.01,-0.22,0.96,3.0,8.34,0,SL,-12.19,2025-03-24 15:00,9991.77,2025-03-24,2025-03
Fibo,H1,2025-03-24 15:00,BUY,3009.15,3009.15,3005.19,3047.53,3024.5,False,43.59,7.66,0.01,-0.54,0.39,10.47,16.07,23,SL,-3.96,2025-03-24 19:00,9987.81,2025-03-24,2025-03
GapSweep,H1,2025-03-26 01:00,SELL,3021.09,3021.09,3032.02,3003.41,3007.98,False,41.73,5.46,0.01,-0.02,0.11,2.8,4.37,0,SL,-10.93,2025-03-26 09:00,9976.88,2025-03-26,2025-03
Fibo,H1,2025-03-27 10:00,SELL,3039.22,3039.22,3049.12,3025.74,3033.83,False,80.11,5.47,0.01,0.55,0.59,3.83,6.47,98,SL,-9.9,2025-03-27 11:00,9966.98,2025-03-27,2025-03
Fibo,H1,2025-03-27 10:00,SELL,3039.22,3039.22,3049.12,3021.79,3032.25,False,80.11,5.47,0.01,0.55,0.59,3.83,6.47,88,SL,-9.9,2025-03-27 11:00,9957.08,2025-03-27,2025-03
Fibo,H1,2025-03-27 11:00,SELL,3044.96,3044.96,3049.12,3025.74,3037.27,False,86.82,6.38,0.01,0.91,0.96,11.35,15.89,101,SL,-4.16,2025-03-27 11:00,9952.92,2025-03-27,2025-03
Fibo,H1,2025-03-27 11:00,SELL,3049.18,3049.18,3055.97,3025.94,3039.88,False,86.82,6.38,0.01,0.91,0.96,11.35,15.89,115,SL,-6.79,2025-03-27 13:00,9946.13,2025-03-27,2025-03
FollowDiv,H1,2025-03-27 15:00,SELL,3057.4,3057.4,3071.6,2997.72,3033.53,False,72.27,9.05,0.01,1.03,1.12,16.89,18.87,124,SL,-14.2,2025-03-28 02:00,9931.93,2025-03-28,2025-03
FollowDiv,H1,2025-03-27 15:00,SELL,3055.77,3055.77,3069.68,2976.82,3024.19,False,72.27,9.05,0.01,1.03,1.12,16.89,18.87,2,SL,-13.91,2025-03-28 02:00,9918.02,2025-03-28,2025-03
Fibo,H1,2025-03-28 01:00,SELL,3061.33,3061.33,3068.86,3025.94,3047.17,False,65.0,8.04,0.01,0.98,1.16,6.21,8.44,130,SL,-7.53,2025-03-28 02:00,9910.49,2025-03-28,2025-03
Div,H1,2025-03-28 15:00,SELL,3085.97,3085.97,3103.25,3023.72,3061.07,False,56.52,9.38,0.01,0.75,1.25,13.12,18.72,1,SL,-17.28,2025-03-31 04:00,9893.21,2025-03-31,2025-03
GapSweep,H1,2025-04-04 05:00,BUY,3092.46,3092.46,3055.86,3151.68,3136.38,False,52.11,18.3,0.01,-0.73,0.73,1.68,11.92,0,SL,-36.6,2025-04-04 16:00,9856.61,2025-04-04,2025-04
GapSweep,H1,2025-04-07 14:00,BUY,3028.75,3028.75,2977.61,3111.5,3090.12,False,56.47,25.57,0.01,-1.26,-1.59,0.19,17.89,0,SL,-51.14,2025-04-07 18:00,9805.47,2025-04-07,2025-04
GapSweep,H1,2025-04-07 16:00,SELL,3028.75,3028.75,3079.09,2947.3,2968.34,False,55.92,25.17,0.01,-2.15,-2.64,16.37,41.42,0,SL,-50.34,2025-04-09 16:00,9755.13,2025-04-09,2025-04
FollowDiv,H1,2025-04-07 18:00,BUY,2971.11,2971.11,2904.39,3280.29,3094.78,False,28.04,20.06,0.01,-2.92,-3.55,17.01,17.86,15,TP,309.18,2025-04-16 04:00,10064.31,2025-04-16,2025-04
FollowDiv,H1,2025-04-07 18:00,BUY,2971.11,2971.11,2910.65,3276.42,3093.23,False,28.04,20.06,0.01,-2.92,-3.55,17.01,17.86,12,TP,305.31,2025-04-16 04:00,10369.62,2025-04-16,2025-04
ATR,H1,2025-04-09 09:00,SELL,3046.13,3046.13,3077.39,2881.87,2980.43,False,69.56,15.82,0.01,1.21,-1.12,2.13,18.04,24,SL,-31.26,2025-04-09 15:00,10338.36,2025-04-09,2025-04
FollowDiv,H1,2025-04-09 21:00,SELL,3094.81,3094.81,3137.35,2914.73,3022.78,False,70.09,23.48,0.01,2.65,0.57,26.72,35.34,2,SL,-42.54,2025-04-10 16:00,10295.82,2025-04-10,2025-04
ATR,H1,2025-04-10 14:00,SELL,3132.43,3132.43,3173.28,2971.42,3068.02,False,73.14,15.03,0.01,2.32,1.41,1.53,17.3,6,SL,-40.85,2025-04-10 17:00,10254.97,2025-04-10,2025-04
Div,H1,2025-04-10 14:00,SELL,3132.43,3132.43,3168.74,2974.23,3069.15,False,73.14,15.03,0.01,2.32,1.41,1.53,17.3,4,SL,-36.31,2025-04-10 17:00,10218.66,2025-04-10,2025-04
Div,H1,2025-04-10 14:00,SELL,3132.43,3132.43,3167.26,2975.14,3069.51,False,73.14,15.03,0.01,2.32,1.41,1.53,17.3,3,SL,-34.83,2025-04-10 17:00,10183.83,2025-04-10,2025-04
Div,H1,2025-04-10 14:00,SELL,3132.43,3132.43,3162.7,2977.95,3070.64,False,73.14,15.03,0.01,2.32,1.41,1.53,17.3,1,SL,-30.27,2025-04-10 17:00,10153.56,2025-04-10,2025-04
Div,H1,2025-04-10 15:00,SELL,3132.43,3132.43,3162.48,3026.63,3090.11,False,66.39,15.81,0.01,2.05,1.21,6.06,20.41,1,SL,-30.05,2025-04-10 17:00,10123.51,2025-04-10,2025-04
Div,H1,2025-04-10 16:00,SELL,3133.68,3133.68,3165.31,3024.88,3090.16,False,74.06,17.09,0.01,3.18,2.41,37.56,37.82,1,SL,-31.63,2025-04-10 17:00,10091.88,2025-04-10,2025-04
Div,H1,2025-04-10 17:00,SELL,3136.59,3136.59,3170.77,3021.51,3090.56,False,76.66,16.98,0.01,3.19,2.52,3.52,20.47,1,SL,-34.18,2025-04-10 17:00,10057.7,2025-04-10,2025-04
Div,H1,2025-04-10 18:00,SELL,3154.7,3154.7,3188.65,3010.46,3097.0,False,70.47,16.02,0.01,3.11,2.52,0.36,13.07,1,SL,-33.95,2025-04-11 00:00,10023.75,2025-04-11,2025-04
Div,H1,2025-04-10 20:00,SELL,3174.93,3174.93,3206.96,2999.14,3104.61,False,73.08,16.48,0.01,3.38,2.97,10.6,17.54,2,SL,-32.03,2025-04-11 02:00,9991.72,2025-04-11,2025-04
Div,H1,2025-04-10 20:00,SELL,3174.93,3174.93,3206.56,2999.39,3104.71,False,73.08,16.48,0.01,3.38,2.97,10.6,17.54,1,SL,-31.63,2025-04-11 02:00,9960.09,2025-04-11,2025-04
Div,H1,2025-04-10 21:00,SELL,3174.93,3174.93,3207.89,2998.57,3104.38,False,73.41,15.68,0.01,3.19,2.87,2.44,8.38,1,SL,-32.96,2025-04-11 02:00,9927.13,2025-04-11,2025-04
Div,H1,2025-04-10 22:00,SELL,3175.59,3175.59,3206.95,2999.15,3105.01,False,74.84,15.71,0.01,3.23,3.02,4.96,7.87,1,SL,-31.36,2025-04-11 02:00,9895.77,2025-04-11,2025-04
Div,H1,2025-04-11 00:00,SELL,3176.34,3176.34,3207.75,3038.89,3121.36,False,87.21,15.52,0.01,3.52,3.43,9.57,13.07,1,SL,-31.41,2025-04-11 02:00,9864.36,2025-04-11,2025-04
Div,H1,2025-04-11 01:00,SELL,3176.39,3176.39,3207.42,3039.1,3121.47,False,90.33,15.33,0.01,3.39,3.41,0.11,8.32,1,SL,-31.03,2025-04-11 02:00,9833.33,2025-04-11,2025-04
Div/FollowDiv,H1,2025-04-11 10:00,SELL,3219.92,3219.92,3251.65,3011.76,3136.66,False,76.17,16.17,0.01,2.96,4.13,3.52,18.99,4,SL,-31.73,2025-04-16 00:00,9801.6,2025-04-16,2025-04
Div,H1,2025-04-11 10:00,SELL,3219.92,3219.92,3250.85,3012.26,3136.86,False,76.17,16.17,0.01,2.96,4.13,3.52,18.99,3,SL,-30.93,2025-04-16 00:00,9770.67,2025-04-16,2025-04
