Month,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-03,214,30,184,0,-847.5500000000001,-847.5500000000001
2025-04,344,25,319,0,-6338.97,-7186.52
2025-05,645,81,564,0,-4609.94,-11796.46
2025-06,534,83,451,0,-603.7099999999999,-12400.169999999998
2025-07,644,71,573,0,-4811.39,-17211.559999999998
2025-08,671,40,631,0,-7444.26,-24655.82
2025-09,400,37,363,0,-4578.01,-29233.83
2025-10,285,27,258,0,-4741.79,-33975.62
2025-11,600,61,539,0,-11388.16,-45363.78
2025-12,487,103,384,0,1151.66,-44212.119999999995
2026-01,406,39,367,0,-9220.04,-53432.159999999996
2026-02,485,22,461,0,-32579.31,-86011.47
2026-03,456,123,333,0,23851.66,-62159.81
2026-04,416,67,349,0,-2513.84,-64673.649999999994
2026-05,522,119,403,0,11087.56,-53586.09
2026-06,498,162,336,0,24084.1,-29501.989999999998
2026-07,653,74,579,0,-8164.77,-37666.759999999995
2026-08,473,84,385,0,546.0900000000001,-37120.67
2026-09,362,43,204,0,1176.09,-35944.58
