Time,Ticket,Type,Volume,Price,S / L,T / P,Profit
2026-09-01 03:36,579843859,SELL,0.01,4442.45,4444.05,4435.18,-1.5899999999999999
2026-09-01 03:41,579845762,BUY,0.01,4440.72,4440.21,4445.05,-0.38
2026-09-01 03:38,579846849,SELL,0.01,4444.73,4445.62,4440.72,4.01
2026-09-01 06:42,579854891,BUY,0.01,4447.98,4445.94,4464.4,-1.9100000000000001
2026-09-01 16:09,579625964,BUY,0.01,4396.5,4368.99,4518.56,-27.16
2026-09-01 16:09,579678103,BUY,0.01,4396.5,4370.3,4505.68,-25.85
2026-09-01 16:09,579694604,BUY,0.01,4396.5,4370.06,4505.68,-26.09
2026-09-01 16:09,579847698,BUY,0.01,4396.5,4355.6,4518.56,-40.55
2026-09-01 07:00,579857703,BUY,0.01,4446.57,4445.8,4448.74,-0.75
2026-09-01 07:04,579857903,BUY,0.01,4446.57,4446.06,4448.91,-0.4
2026-09-01 07:41,579859802,BUY,0.01,4443.92,4442.04,4449.24,5.44
2026-09-01 09:00,579867359,BUY,0.01,4450.92,4446.6,4478.83,-4.29
2026-09-01 08:52,579872217,SELL,0.01,4460.06,4460.95,4452.86,-0.79
2026-09-01 08:51,579872422,SELL,0.01,4458.83,4458.88,4452.4,-0.05
2026-09-01 15:30,579993349,BUY,0.01,4424.15,4406.21,4464.55,-17.92
2026-09-01 15:30,579996918,BUY,0.01,4424.15,4406.48,4464.55,-17.65
2026-09-01 15:30,580008335,BUY,0.01,4424.15,4406.27,4463.44,-17.86
2026-09-01 16:04,580025783,BUY,0.01,4412.0,4392.19,4467.06,-19.42
2026-09-02 20:20,580380852,SELL,0.01,4340.01,4340.03,4334.22,0.89
2026-09-02 08:17,580423505,SELL,0.01,4331.84,4336.39,4319.04,12.92
2026-09-02 11:38,580504929,SELL,0.01,4289.15,4289.56,4279.03,-0.41
2026-09-02 12:04,580514966,BUY,0.01,4302.92,4302.53,4306.06,-0.07
2026-09-02 13:50,580541608,BUY,0.01,4323.71,4323.06,4328.95,-0.57
2026-09-02 14:36,580555180,BUY,0.01,4318.46,4317.6,4340.83,-0.79
2026-09-02 16:53,580565553,BUY,0.01,4316.99,4316.45,4323.77,-0.43
2026-09-03 13:22,581035312,BUY,0.01,4424.69,4423.75,4432.28,-0.93
2026-09-03 11:47,581040091,BUY,0.01,4426.0,4425.39,4430.1,4.15
2026-09-03 13:00,581063334,SELL,0.01,4437.91,4438.35,4434.38,-0.44
2026-09-03 14:07,581096738,BUY,0.01,4431.81,4430.91,4443.16,-0.89
2026-09-03 18:19,581128966,BUY,0.01,4422.17,4421.36,4428.71,-0.75
2026-09-03 19:15,581181308,SELL,0.01,4432.77,4433.71,4425.25,-0.94
2026-09-04 20:30,581205524,BUY,0.01,4427.1,4425.79,4436.99,0.92
2026-09-03 19:31,581212032,BUY,0.01,4431.85,4430.48,4435.7,2.2
2026-09-03 20:16,581226986,BUY,0.01,4442.3,4441.2,4453.62,-1.1
2026-09-03 22:48,581365929,BUY,0.01,4476.09,4476.09,4487.67,0.09
2026-09-04 02:23,581440999,BUY,0.01,4483.89,4482.84,4492.33,-0.9
2026-09-04 12:30,581548156,SELL,0.01,4472.64,4473.23,4467.86,-0.55
2026-09-04 12:28,581548982,SELL,0.01,4470.74,4470.84,4467.55,-0.02
2026-09-04 20:48,581814059,SELL,0.01,4390.14,4391.67,4370.0,-1.33
2026-09-07 19:46,582427795,SELL,0.01,4390.54,4394.85,4378.38,-4.31
2026-09-09 21:24,582687319,SELL,0.01,4426.0,4427.64,4412.78,-1.62
2026-09-09 01:02,583040533,SELL,0.01,4398.55,4399.17,4393.58,-0.44
2026-09-09 13:37,583084547,SELL,0.01,4391.12,4395.07,4357.13,-3.88
2026-09-09 13:10,583110153,SELL,0.01,4385.28,4386.28,4377.17,-0.99
2026-09-09 11:17,583197752,BUY,0.01,4376.88,4375.78,4385.78,-1.0
2026-09-09 16:03,583290548,BUY,0.01,4407.16,4406.41,4413.25,-0.74
2026-09-09 18:48,583363870,SELL,0.01,4398.83,4399.41,4394.12,-0.58
