Group,Trades,W,L,WR(%),PnL
12,45917,5868,40040,12.8,6266.38
16,698,114,581,16.3,1759.03
23,1115,440,675,39.5,80.31
1,179,32,147,17.9,45.43
14,68,0,68,0.0,-165.83
22,49,4,45,8.2,-234.44
11,54482,21176,33290,38.9,-463.75
10,54481,21175,33290,38.9,-641.71
2,368,72,296,19.6,-1134.37
17,258,37,204,14.3,-2573.86
21,412,60,352,14.6,-4554.15
9,10440,1640,8781,15.7,-6270.56
18,10437,1275,9139,12.2,-8610.76
5,26864,10401,16416,38.7,-9977.81
4,9081,2443,6632,26.9,-10932.19
24,2274,360,1910,15.8,-15883.03
3,12697,4814,7870,37.9,-16952.6
7,66998,25960,41009,38.7,-17043.39
13,5535,1042,4486,18.8,-18857.09
15,38277,11898,26352,31.1,-20340.42
8,15742,1284,14431,8.2,-106011.02
6,13120,1478,11618,11.3,-1607676.31
