Group,R1_14.23_SL_PnL,R1_14.23_SL_WR,R2_13.23_SL_PnL,R2_13.23_SL_WR,R3_14.23_BOTH_PnL,R3_14.23_BOTH_WR,R4_13.23_BOTH_PnL,R4_13.23_BOTH_WR
1,496.81,16.7,-80.05,17.8,-282.69,32.8,558.03,8.3
2,-1285.49,56.0,-1030.87,61.4,-84.81,32.9,643.61,25.0
3,-16536.87,37.9,-17425.72,45.1,-6373.81,33.9,-21308.61,17.3
4,-4189.74,31.6,-5881.07,38.1,-1818.67,33.0,-35944.58,14.2
5,-6472.24,38.7,-12232.93,45.5,12327.82,35.9,782.67,13.6
6,-237111.34,15.7,-258976.85,15.9,-156321.72,19.4,-398213.41,20.3
7,-16964.68,38.8,-18465.41,46.0,4002.87,35.0,37443.0,11.4
8,1193955.77,12.8,1176538.3,13.3,1275046.41,16.2,1022990.1,16.3
9,-250054.79,35.3,-254690.36,35.7,-192376.83,39.6,-914848.43,41.3
10,-851.46,38.9,-1816.1,46.1,9422.17,35.2,58005.56,10.1
11,-902.86,38.9,-1650.94,46.1,9429.5,35.2,57860.37,10.1
12,5150478.18,24.6,5112921.32,24.7,5281311.94,27.6,2529565.65,27.8
13,-17369.89,15.8,-18579.1,20.2,-11816.49,31.8,18987.08,10.5
14,-2336.81,25.9,-4960.46,29.3,-1832.15,30.3,-5011.97,12.3
15,-18646.2,39.4,-21775.0,46.5,3564.11,35.3,-23212.11,14.6
16,-161633.07,29.9,-147837.24,29.4,-1566340.57,40.7,-2233689.0,40.4
17,9557.48,3.1,13949.87,3.1,9137.58,3.1,13380.34,3.1
18,-26154.9,18.8,-22062.39,21.7,-10803.51,22.8,14253.72,16.7
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-1451.31,21.4,-3277.06,24.0,-930.67,27.5,-1488.65,15.9
21,-2489.17,13.1,-4304.91,15.5,-2313.27,18.7,-4451.31,12.4
22,522.64,16.3,3295.11,32.7,-170.45,36.7,-255.78,28.6
24,-10236.62,13.5,-17067.52,16.2,-1281.45,28.1,13.12,13.6
