Date,Trades,Win,Loss,Net_PnL,Cumulative_PnL
2014-03-17,3,3,0,600.0,600.0
2014-03-18,18,6,12,0.0,600.0
2014-03-19,4,4,0,800.0,1400.0
2014-03-23,3,0,3,-300.0,1100.0
2014-03-26,24,14,10,1800.0,2900.0
2014-03-30,4,0,4,-400.0,2500.0
2014-04-07,2,2,0,400.0,2900.0
2014-04-09,12,6,6,600.0,3500.0
2014-04-12,9,6,3,900.0,4400.0
2014-04-13,17,8,9,700.0,5100.0
2014-04-14,19,8,11,500.0,5600.0
2014-04-20,6,3,3,300.0,5900.0
2014-04-21,10,10,0,2000.0,7900.0
2014-04-23,33,15,18,1200.0,9100.0
2014-05-01,6,3,3,300.0,9400.0
2014-05-04,5,5,0,1000.0,10400.0
2014-05-10,6,6,0,1200.0,11600.0
2014-05-26,73,51,22,8000.0,19600.0
2014-05-27,62,32,30,3400.0,23000.0
2014-05-28,20,3,17,-1100.0,21900.0
2014-05-29,7,0,7,-700.0,21200.0
2014-06-11,31,16,15,1700.0,22900.0
2014-06-12,3,0,3,-300.0,22600.0
2014-06-15,24,9,15,300.0,22900.0
2014-06-16,5,1,4,-200.0,22700.0
2014-06-18,42,25,17,3300.0,26000.0
2014-07-09,50,36,14,5800.0,31800.0
2014-07-13,10,1,9,-700.0,31100.0
2014-07-14,35,21,14,2800.0,33900.0
2014-07-16,8,8,0,1600.0,35500.0
2014-07-23,25,25,0,5000.0,40500.0
2014-07-30,25,12,13,1100.0,41600.0
2014-08-05,7,7,0,1400.0,43000.0
2014-08-06,9,9,0,1800.0,44800.0
2014-08-07,22,18,4,3200.0,48000.0
2014-08-19,2,2,0,400.0,48400.0
2014-08-20,83,31,52,1000.0,49400.0
2014-08-27,2,2,0,400.0,49800.0
2014-09-01,51,33,18,4800.0,54600.0
2014-09-02,4,0,4,-400.0,54200.0
2014-09-03,12,12,0,2400.0,56600.0
2014-09-07,6,3,3,300.0,56900.0
2014-09-08,4,3,1,500.0,57400.0
2014-09-09,10,10,0,2000.0,59400.0
2014-09-10,13,3,10,-400.0,59000.0
2014-09-11,9,6,3,900.0,59900.0
2014-09-16,11,6,5,700.0,60600.0
2014-09-21,9,6,3,900.0,61500.0
2014-09-24,5,0,5,-500.0,61000.0
2014-09-29,6,6,0,1200.0,62200.0
2014-10-02,56,35,21,4900.0,67100.0
2014-10-04,23,5,18,-800.0,66300.0
2014-10-05,7,0,7,-700.0,65600.0
2014-10-06,3,3,0,600.0,66200.0
2014-10-07,6,3,3,300.0,66500.0
2014-10-12,5,2,3,100.0,66600.0
2014-10-14,17,13,4,2200.0,68800.0
2014-10-20,12,6,6,600.0,69400.0
2014-10-28,27,15,12,1800.0,71200.0
2014-10-29,73,30,43,1700.0,72900.0
2014-10-30,21,9,12,600.0,73500.0
2014-11-04,12,12,0,2400.0,75900.0
2014-11-06,15,4,11,-300.0,75600.0
2014-11-13,8,5,3,700.0,76300.0
2014-11-17,12,9,3,1500.0,77800.0
2014-11-20,3,3,0,600.0,78400.0
2014-11-29,37,13,24,200.0,78600.0
2014-11-30,32,7,25,-1100.0,77500.0
2014-12-08,40,29,11,4700.0,82200.0
2014-12-16,9,9,0,1800.0,84000.0
2014-12-21,18,9,9,900.0,84900.0
2014-12-29,1,1,0,200.0,85100.0
2015-01-01,3,0,3,-300.0,84800.0
2015-01-05,41,27,14,4000.0,88800.0
2015-01-08,4,0,4,-400.0,88400.0
2015-01-10,4,4,0,800.0,89200.0
2015-01-11,40,22,18,2600.0,91800.0
2015-01-12,39,24,15,3300.0,95100.0
2015-01-13,3,3,0,600.0,95700.0
